# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/consulta_especial_sequencia;20240705;3;3;0;8.666666666666666;0;0;0
/consulta_especial_tecadv;20240701;3;3;0;18;0;0;0
/consulta_especial_tecadv;20240704;3;3;0;8;0;0;0
/consulta_especial_tecnico;20240702;3;3;0;354.3333333333333;0;0;0
/consulta_jogo/658000000;20240707;3;1;0;8.666666666666666;0;0;0
/consulta_tecadv/113000000;20240701;3;3;0;20.333333333333332;0;0;0
/consulta_tecadv/113000000;20240704;3;3;0;9.666666666666666;0;0;0
/curiosidade;20240701;3;2;0;64;0;0;0
/estadio;20240704;3;3;0;29.666666666666668;0;0;0
/generico_campeonato/500303863;20240701;3;3;0;29.666666666666668;0;0;0
/geral;20240704;3;3;0;16.333333333333332;0;0;0
/link_adversario/168;20240706;3;3;0;8.666666666666666;0;0;0
/link_jogador/1189;20240705;3;1;1;0;0;0;0
/link_jogador/2350;20240703;3;2;1;0;0;0;0
/link_jogador/2404;20240704;3;2;2;0;0;0;0
/link_jogador/2421;20240704;3;2;1;0.3333333333333333;0;0;0
/link_jogador/595;20240705;3;3;3;97;0;0;0
/link_jogador/950;20240705;3;1;0;0;0;0;0
/link_jogo/2328;20240702;3;3;2;102;0;0;0
/link_jogo/3039;20240702;3;3;3;50;0;0;0
/link_jogo/4994;20240701;3;3;1;8.666666666666666;0;0;0
/link_jogo/8796;20240705;3;2;0;51.333333333333336;0;0;0
/marcas_historicas;20240707;3;1;0;11.666666666666666;0;0;0
/mostra_arbitro;20240702;3;2;0;0;0;0;0
/mostra_arbitro;20240707;3;1;0;0;0;0;0
/mostra_campeonato;20240703;3;3;0;44.333333333333336;0;0;0
/mostra_especial/;20240704;3;3;0;8.333333333333334;0;0;0
/mostra_especial_jogo;20240707;3;1;0;136;0;0;0
/mostra_ranking/801000000000;20240702;3;2;0;0;0;0;0
/mostra_ranking/900000000000;20240705;3;2;0;102;0;0;0
/mostra_rkg/;20240705;3;3;0;39.666666666666664;0;0;0
/mostra_sequencia2;20240701;3;2;0;18;0;0;0
/mostra_tecadv;20240704;3;3;0;20.666666666666668;0;0;0
/mostra_tecnico;20240705;3;3;0;21.666666666666668;0;0;0
/tecnico;20240704;3;3;0;7.666666666666667;0;0;0
/tecnico;20240705;3;3;0;5.666666666666667;0;0;0
/arbitro;20240702;2;2;0;5;0;0;0
/arbitro;20240705;2;2;0;19;0;0;0
/camisa;20240706;2;1;0;11;0;0;0
/campeonato;20240701;2;2;0;28.5;0;0;0
/consolida_turno;20240704;2;1;0;0;0;0;0
/consulta_camisa/400001000;20240706;2;1;0;18;0;0;0
/consulta_especial/100103000;20240703;2;2;0;17.5;0;0;0
/consulta_especial/101382000;20240702;2;1;1;0;0;0;0
/consulta_especial_adversario;20240705;2;2;0;9;0;0;0
/consulta_especial_campeonato;20240705;2;2;0;10.5;0;0;0
/consulta_especial_gerais;20240701;2;1;0;0;0;0;0
/consulta_especial_gols;20240706;2;1;0;12.5;0;0;0
/consulta_especial_jogos;20240701;2;2;0;16;0;0;0
/consulta_especial_jogos;20240705;2;2;0;14;0;0;0
/consulta_especial_jogos;20240706;2;2;0;5.5;0;0;0
/consulta_especial_tecadv;20240702;2;2;0;8;0;0;0
/consulta_jogador/104999000;20240701;2;2;0;16.5;0;0;0
/consulta_jogador/104999000;20240705;2;2;0;7.5;0;0;0
/consulta_jogador/268100000;20240704;2;2;0;18.5;0;0;0
/consulta_jogo/655000000;20240701;2;2;0;16.5;0;0;0
/consulta_ranking/800102000000;20240704;2;2;0;3;0;0;0
/consulta_ranking/800103000000;20240707;2;1;0;6.5;0;0;0
/consulta_ranking/900126000000;20240705;2;2;0;3;0;0;0
/consulta_ranking/900126000000;20240707;2;2;0;15.5;0;0;0
/estadio;20240703;2;2;0;4.5;0;0;0
/estadio_todos;20240704;2;2;0;326;0;0;0
/generico_campeonato/500103000;20240705;2;2;0;8.5;0;0;0
/generico_campeonato/500103000;20240707;2;1;0;89;0;0;0
/geral;20240702;2;2;0;8.5;0;0;0
/geral;20240703;2;2;0;17;0;0;0
/geral;20240706;2;2;0;25;0;0;0
/link_adversario/115;20240703;2;2;0;18;0;0;0
/link_adversario/147;20240701;2;2;2;11;0;0;0
/link_adversario/510;20240704;2;1;1;0;0;0;0
/link_adversario/511;20240701;2;2;1;104;0;0;0
/link_arbitro/1345;20240705;2;2;0;36;0;0;0
/link_assist/2140;20240701;2;1;0;0;0;0;0
/link_camisa/116;20240707;2;2;0;18;0;0;0
