# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240304
# Data de termino: 20240428
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/campeonato;20240319;17;19
/estadio;20240319;5;7
/jogador;20240319;24;32
/tecnico;20240319;2;2
/adversario;20240318;80;89
/arbitro;20240318;0;3
/campeonato;20240318;13;14
/estadio;20240318;0;1
/jogador;20240318;9;12
/tecnico;20240318;2;4
/adversario;20240317;16;16
/campeonato;20240317;2;2
/estadio;20240317;1;1
/jogador;20240317;6;7
/adversario;20240316;5;5
/arbitro;20240316;3;3
/campeonato;20240316;5;8
/estadio;20240316;2;2
/jogador;20240316;8;9
/tecnico;20240316;2;2
/adversario;20240315;5;7
/arbitro;20240315;7;8
/campeonato;20240315;3;4
/estadio;20240315;4;4
/jogador;20240315;15;17
/adversario;20240314;9;13
/arbitro;20240314;8;8
/campeonato;20240314;9;9
/estadio;20240314;1;5
/jogador;20240314;7;12
/adversario;20240313;9;11
/arbitro;20240313;3;3
/campeonato;20240313;5;7
/estadio;20240313;0;1
/jogador;20240313;13;14
/tecnico;20240313;0;1
/adversario;20240312;8;11
/arbitro;20240312;0;4
/campeonato;20240312;3;4
/estadio;20240312;0;2
/jogador;20240312;10;14
/adversario;20240311;6;7
/arbitro;20240311;0;1
/campeonato;20240311;7;7
/estadio;20240311;2;3
/jogador;20240311;18;19
/tecnico;20240311;2;2
/adversario;20240310;15;19
/arbitro;20240310;1;1
/campeonato;20240310;2;2
/estadio;20240310;1;1
/jogador;20240310;11;16
/tecnico;20240310;3;4
/adversario;20240309;16;17
/arbitro;20240309;9;11
/campeonato;20240309;8;8
/estadio;20240309;1;2
/jogador;20240309;11;19
/tecnico;20240309;13;13
/adversario;20240308;13;14
/arbitro;20240308;4;4
/campeonato;20240308;15;15
/jogador;20240308;4;6
/tecnico;20240308;6;7
/adversario;20240307;8;9
/arbitro;20240307;3;3
/campeonato;20240307;4;4
/estadio;20240307;2;3
/jogador;20240307;13;16
/tecnico;20240307;4;6
/adversario;20240306;19;21
/arbitro;20240306;0;1
/campeonato;20240306;5;7
/estadio;20240306;1;1
/jogador;20240306;13;19
/tecnico;20240306;4;4
/adversario;20240305;8;8
/arbitro;20240305;0;1
/campeonato;20240305;4;5
/estadio;20240305;1;1
/jogador;20240305;15;19
/tecnico;20240305;0;1
/adversario;20240304;32;36
/arbitro;20240304;3;4
/campeonato;20240304;5;8
/estadio;20240304;2;2
/jogador;20240304;14;22
/tecnico;20240304;2;4
