# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240318
# Data de termino: 20240324
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240318;49;54;0.7397260273972602;0.8571428571428571;99.41269841269842;986;0;0
Organic Search;20240319;46;61;0.7922077922077922;1;224.80327868852459;1547;0;0
Organic Search;20240320;40;53;0.7794117647058824;1;412.6792452830189;2985;0;0
Organic Search;20240324;38;39;0.7358490566037735;0.8478260869565217;187.56521739130434;787;0;0
Organic Search;20240323;34;30;0.6521739130434783;0.7317073170731707;191.1951219512195;787;0;0
Organic Search;20240322;31;33;0.717391304347826;0.825;136.1;642;0;0
Organic Search;20240321;24;32;0.7111111111111111;1.032258064516129;518.9677419354839;1336;0;0
Direct;20240318;22;64;0.7529411764705882;1.1428571428571428;188.5;2227;0;0
Direct;20240319;15;68;0.7640449438202247;1.2142857142857142;254.73214285714286;2054;0;0
Direct;20240320;11;36;0.8181818181818182;1.3333333333333333;303.1111111111111;1270;0;0
Direct;20240322;10;34;0.723404255319149;1.2592592592592593;233.62962962962962;1008;0;0
Direct;20240324;6;19;0.76;1;272.6842105263158;1304;0;0
Direct;20240321;4;23;0.7931034482758621;1.0952380952380953;165.42857142857142;875;0;0
Direct;20240323;4;26;0.7647058823529411;1.4444444444444444;294.72222222222223;688;0;0
Referral;20240320;2;2;1;1;1102;123;0;0
Referral;20240318;1;2;1;1;262;176;0;0
Referral;20240321;1;0;0;0;5;7;0;0
Referral;20240323;1;2;0.6666666666666666;1;203;93;0;0
Organic Social;20240324;0;1;1;1;36;18;0;0
