# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240715
# Data de termino: 20240721
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
web / desktop;20240716;116;104;27;0.2076923076923077;0.23275862068965517;80.6896551724138;1821;0;0
web / desktop;20240715;110;97;24;0.19672131147540983;0.21818181818181817;41.654545454545456;862;0;0
web / mobile;20240721;100;79;92;0.7419354838709677;0.92;83.17;1345;0;0
web / desktop;20240721;73;54;39;0.45348837209302323;0.5342465753424658;80.82191780821918;1044;0;0
web / desktop;20240720;57;44;26;0.3939393939393939;0.45614035087719296;251.50877192982455;2002;0;0
web / desktop;20240718;55;27;59;0.855072463768116;1.0727272727272728;272.27272727272725;1574;0;0
web / mobile;20240718;51;34;42;0.65625;0.8235294117647058;93.58823529411765;979;0;0
web / mobile;20240717;44;32;36;0.75;0.8181818181818182;56.29545454545455;506;0;0
web / mobile;20240719;36;23;31;0.775;0.8611111111111112;119.88888888888889;558;0;0
web / mobile;20240720;35;21;29;0.7073170731707317;0.8285714285714286;79.88571428571429;338;0;0
web / desktop;20240719;32;14;32;0.7441860465116279;1;193.40625;830;0;0
web / mobile;20240715;30;19;27;0.75;0.9;104.43333333333334;613;0;0
web / desktop;20240717;27;12;26;0.7428571428571429;0.9629629629629629;115.70370370370371;595;0;0
web / mobile;20240716;26;22;20;0.6060606060606061;0.7692307692307693;70.23076923076923;259;0;0
web / tablet;20240718;1;1;1;0.3333333333333333;1;0;8;0;0
web / tablet;20240719;1;1;1;0.3333333333333333;1;1;10;0;0
