# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231113
# Data de termino: 20231119
Grupo de canais padrao do primeiro usuario;Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20231114;62;55;0.6875;0.7746478873239436;100.35211267605634;1028;0;0
Organic Search;20231115;58;58;0.7341772151898734;0.8285714285714286;62.042857142857144;1196;0;0
Organic Search;20231116;44;48;0.7272727272727273;0.8727272727272727;56.29090909090909;588;0;0
Organic Search;20231119;43;50;0.8064516129032258;0.9803921568627451;157.50980392156862;893;0;0
Organic Search;20231113;40;39;0.6724137931034483;0.78;92.1;897;0;0
Organic Search;20231117;38;37;0.6491228070175439;0.8222222222222222;106.75555555555556;988;0;0
Organic Search;20231118;29;34;0.7906976744186046;0.8947368421052632;135.73684210526315;1570;0;0
Direct;20231114;13;40;0.6451612903225806;1.0810810810810811;234.78378378378378;1345;0;0
Direct;20231115;13;57;0.7808219178082192;1.2391304347826086;186.19565217391303;1783;0;0
Direct;20231113;12;43;0.7413793103448276;1.162162162162162;313.7567567567568;1738;0;0
Direct;20231117;12;50;0.8064516129032258;1.3157894736842106;343.7368421052632;2318;0;0
Direct;20231116;11;44;0.7586206896551724;1.0731707317073171;186.6829268292683;1914;0;0
Direct;20231118;11;34;0.6181818181818182;1.096774193548387;147.29032258064515;1802;0;0
Direct;20231119;10;37;0.74;1.088235294117647;295.52941176470586;2113;0;0
Organic Social;20231117;4;1;0.25;0.25;8.75;16;0;0
Referral;20231118;4;3;0.75;0.75;151.5;117;0;0
Referral;20231113;3;3;1;1;96;42;0;0
Organic Social;20231116;2;2;1;1;16.5;14;0;0
Referral;20231114;2;1;0.5;0.5;95;43;0;0
Referral;20231115;1;1;1;1;3264;926;0;0
Referral;20231116;0;1;1;1;85;12;0;0
