# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Nome do evento;Data;Contagem de eventos;Total de usuarios;Contagem de eventos por usuario;Receita total
page_view;20240712;1029;79;14.492957746478874;0
user_engagement;20240712;889;64;13.890625;0
page_view;20240711;788;99;8.382978723404255;0
user_engagement;20240711;666;80;8.430379746835444;0
page_view;20240708;657;78;8.532467532467532;0
page_view;20240713;599;258;2.3490196078431373;0
page_view;20240710;551;64;9.032786885245901;0
page_view;20240709;516;82;6.701298701298701;0
user_engagement;20240708;502;56;8.964285714285714;0
page_view;20240714;482;79;6.259740259740259;0
scroll;20240711;424;68;6.424242424242424;0
user_engagement;20240710;417;55;7.722222222222222;0
user_engagement;20240709;415;67;6.287878787878788;0
user_engagement;20240714;399;45;8.866666666666667;0
user_engagement;20240713;363;36;10.083333333333334;0
scroll;20240708;324;59;5.491525423728813;0
scroll;20240709;321;65;4.938461538461539;0
scroll;20240710;313;43;7.4523809523809526;0
scroll;20240712;309;55;5.722222222222222;0
form_submit;20240712;281;31;9.064516129032258;0
session_start;20240713;272;258;1.0666666666666667;0
first_visit;20240713;238;238;1;0
scroll;20240714;220;38;5.7894736842105265;0
form_submit;20240713;170;21;8.095238095238095;0
scroll;20240713;167;40;4.282051282051282;0
form_submit;20240714;153;22;6.954545454545454;0
form_submit;20240711;146;50;2.92;0
form_submit;20240708;145;33;4.393939393939394;0
session_start;20240711;135;99;1.4361702127659575;0
form_submit;20240709;120;41;2.926829268292683;0
session_start;20240712;117;78;1.6714285714285715;0
session_start;20240708;115;78;1.4935064935064934;0
session_start;20240709;114;84;1.4430379746835442;0
form_start;20240711;111;50;2.22;0
form_submit;20240710;105;32;3.28125;0
form_start;20240712;101;32;3.15625;0
form_start;20240708;97;36;2.6944444444444446;0
session_start;20240714;95;79;1.2337662337662338;0
form_start;20240709;87;41;2.1219512195121952;0
form_start;20240714;87;23;3.782608695652174;0
click;20240711;82;16;5.125;0
session_start;20240710;82;64;1.3442622950819672;0
form_start;20240710;78;33;2.3636363636363638;0
click;20240712;77;8;9.625;0
first_visit;20240714;59;59;1;0
click;20240710;55;4;13.75;0
click;20240714;55;7;7.857142857142857;0
first_visit;20240711;50;50;1;0
form_start;20240713;50;21;2.380952380952381;0
first_visit;20240709;46;46;1;0
first_visit;20240708;45;45;1;0
first_visit;20240712;41;41;1;0
first_visit;20240710;27;27;1;0
click;20240708;24;10;2.4;0
click;20240709;19;5;3.8;0
click;20240713;15;3;5;0
