# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
#  
# Data de inicio: 20240527
# Data de termino: 20240602
Nº dia;Novos usuarios
0000;61
0001;51
0002;78
0003;62
0004;46
0005;64
0006;62

# Data de inicio: 20240527
# Data de termino: 20240602
Nº dia;Usuarios recorrentes
0000;53
0001;48
0002;48
0003;50
0004;63
0005;49
0006;40

#  
# Data de inicio: 20240527
# Data de termino: 20240602
Coorte;Dia 1;Dia 7
0;0.01639344262295082;0
1;0.0196078431372549;0
2;0.025974025974025976;0
3;0.08064516129032258;0
4;0.022222222222222223;0
5;0.015625;0
6;0;0

#  
# Data de inicio: 20240527
# Data de termino: 20240602
Coorte;Dia 1;Dia 7
0;70;0
1;0;0
2;398;0
3;109.6;0
4;296;0
5;67;0
6;0;0

#  
# Data de inicio: 20240422
# Data de termino: 20240602
Coorte;Usuarios
0000;1
0001;0.02598870056497175
0002;0.016583108368684922
0003;0.009094503756425464
0004;0.010869565217391304
0005;0.007844756399669695
0006;0.009381663113006396
0007;0.010897994768962511
0008;0.00761307657859382
0009;0.009686346863468635
0010;0.006083294337856809
0011;0.0057859209257473485
0012;0.007992007992007992
0013;0.008298755186721992
0014;0.006944444444444444
0015;0.004422332780541736
0016;0.0033975084937712344
0017;0.0029154518950437317
0018;0.004214328717639976
0019;0.005108556832694764
0020;0.005277044854881266
0021;0.004118050789293068
0022;0.003599712023038157
0023;0.006787330316742082
0024;0.0039032006245121
0025;0.00487012987012987
0026;0.003499562554680665
0027;0.0018198362147406734
0028;0.009442870632672332
0029;0.0039603960396039604
0030;0.005175983436853002
0031;0
0032;0.00245398773006135
0033;0.0039164490861618795
0034;0
0035;0.001692047377326565
0036;0
0037;0
0038;0
0039;0
0040;0
0041;0

#  
# Data de inicio: 20240422
# Data de termino: 20240602
Coorte;Tempo medio de engajamento
0000;95.68968816176265
0001;304.8285714285715
0002;123.83333333333334
0003;143.7
0004;156.93589743589743
0005;131.4078947368421
0006;105.48198198198199
0007;148.55324074074076
0008;98.65714285714286
0009;124.98529411764706
0010;169.6818181818182
0011;61.453125
0012;36.354838709677416
0013;116.25555555555556
0014;76.61494252873564
0015;88.05357142857143
0016;31.98148148148148
0017;25.96153846153846
0018;137.1
0019;31.1875
0020;25.97826086956522
0021;39.63636363636363
0022;46.73809523809524
0023;94.1
0024;23.31578947368421
0025;23.703703703703706
0026;37.1764705882353
0027;7.5625
0028;84.28888888888888
0029;13.714285714285714
0030;23.73076923076923
0031;0
0032;194.45454545454547
0033;23.2
0034;0
0035;6.625
0036;0
0037;0
0038;0
0039;0
0040;0
0041;0

#  
# Data de inicio: 20240204
# Data de termino: 20240602
Coorte;LTV
0000;0
0001;0
0002;0
0003;0
0004;0
0005;0
0006;0
0007;0
0008;0
0009;0
0010;0
0011;0
0012;0
0013;0
0014;0
0015;0
0016;0
0017;0
0018;0
0019;0
0020;0
0021;0
0022;0
0023;0
0024;0
0025;0
0026;0
0027;0
0028;0
0029;0
0030;0
0031;0
0032;0
0033;0
0034;0
0035;0
0036;0
0037;0
0038;0
0039;0
0040;0
0041;0
0042;0
0043;0
0044;0
0045;0
0046;0
0047;0
0048;0
0049;0
0050;0
0051;0
0052;0
0053;0
0054;0
0055;0
0056;0
0057;0
0058;0
0059;0
0060;0
0061;0
0062;0
0063;0
0064;0
0065;0
0066;0
0067;0
0068;0
0069;0
0070;0
0071;0
0072;0
0073;0
0074;0
0075;0
0076;0
0077;0
0078;0
0079;0
0080;0
0081;0
0082;0
0083;0
0084;0
0085;0
0086;0
0087;0
0088;0
0089;0
0090;0
0091;0
0092;0
0093;0
0094;0
0095;0
0096;0
0097;0
0098;0
0099;0
0100;0
0101;0
0102;0
0103;0
0104;0
0105;0
0106;0
0107;0
0108;0
0109;0
0110;0
0111;0
0112;0
0113;0
0114;0
0115;0
0116;0
0117;0
0118;0
0119;0
