# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240722
# Data de termino: 20240728
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Organic Search;20240725;58;71;0.7553191489361702;0.922077922077922;148.33766233766235;1554;0;0;0
Organic Search;20240728;46;42;0.65625;0.7241379310344828;112.6896551724138;1082;0;0;0
Organic Search;20240724;42;48;0.7619047619047619;0.8888888888888888;103.94444444444444;687;0;0;0
Organic Search;20240726;39;38;0.7307692307692307;0.7916666666666666;93.54166666666667;589;0;0;0
Organic Search;20240727;34;32;0.6808510638297872;0.8;70.625;440;0;0;0
Organic Search;20240722;32;40;0.6349206349206349;0.9302325581395349;149.8372093023256;696;0;0;0
Organic Search;20240723;31;29;0.58;0.7073170731707317;119.41463414634147;625;0;0;0
Direct;20240724;25;72;0.7659574468085106;1.0909090909090908;160.74242424242425;1875;0;0;0
Direct;20240725;21;81;0.7864077669902912;1.3278688524590163;434.4918032786885;3767;0;0;0
Direct;20240723;16;61;0.8243243243243243;1.3863636363636365;407.34090909090907;2522;0;0;0
Direct;20240722;13;61;0.7625;1.1730769230769231;211.3653846153846;1812;0;0;0
Direct;20240728;13;65;0.6842105263157895;1.3829787234042554;331.4468085106383;1563;0;0;0
Direct;20240727;9;42;0.65625;1.135135135135135;130.0810810810811;868;0;0;0
Organic Social;20240724;9;2;0.2222222222222222;0.2222222222222222;8.666666666666666;35;0;0;0
Direct;20240726;7;39;0.7222222222222222;1.3448275862068966;267.37931034482756;1351;0;0;0
Organic Social;20240722;3;2;0.2222222222222222;0.5;5.25;27;0;0;0
Referral;20240725;2;2;1;1;40.5;10;0;0;0
Organic Social;20240725;1;0;0;0;0;3;0;0;0
Referral;20240723;1;2;1;1;43;14;0;0;0
Referral;20240727;1;1;1;1;366;51;0;0;0
Referral;20240728;1;0;0;0;4;4;0;0;0
Organic Social;20240727;0;1;1;1;10;8;0;0;0
Referral;20240724;0;2;1;1;142.5;71;0;0;0
