# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/adversario;20231124;24;22;0;33;208333333333336;0;0
/adversario;20231125;41;37;0;33;36585365853659;0;0
/adversario;20231126;21;19;0;64;9047619047619;0;0
/adversario;20231127;21;21;0;28;428571428571427;0;0
/adversario;20231128;17;14;0;23;352941176470587;0;0
/adversario;20231129;52;47;0;25;25;0;0
/adversario;20231130;31;28;0;28;096774193548388;0;0
/adversario;20231201;19;18;0;26;57894736842105;0;0
/adversario;20231202;13;13;1;57;76923076923077;0;0
/adversario;20231203;22;21;0;33;90909090909091;0;0
/adversario;20231204;9;9;0;62;55555555555556;0;0
/adversario;20231205;22;22;0;18;181818181818183;0;0
/adversario;20231206;21;18;0;76;80952380952381;0;0
/adversario;20231207;21;18;0;49;523809523809526;0;0
/adversario;20231208;17;17;0;57;11764705882353;0;0
/adversario;20231209;12;11;0;38;75;0;0
/adversario;20231210;8;7;0;80;625;0;0
/adversario;20231211;6;4;0;66;0;0
/adversario;20231212;6;5;0;9;333333333333334;0;0
/adversario;20231213;17;15;0;41;23529411764706;0;0
/adversario;20231214;15;13;0;51;06666666666667;0;0
/adversario;20231215;39;36;0;16;076923076923077;0;0
/adversario;20231216;14;14;1;20;857142857142858;0;0
/adversario;20231217;17;15;1;35;23529411764706;0;0
/adversario;20231218;27;26;0;76;88888888888889;0;0
/adversario;20231219;43;39;1;27;558139534883722;0;0
/adversario;20231220;21;20;1;36;523809523809526;0;0
/adversario;20231221;13;13;0;42;30769230769231;0;0
/adversario;20231222;17;14;0;32;88235294117647;0;0
/adversario;20231223;10;7;0;33;0;0
/adversario;20231224;2;2;0;17;0;0
/adversario;20231225;5;5;0;53;0;0
/adversario;20231226;3;3;0;17;666666666666668;0;0
/adversario;20231227;8;8;0;14;5;0;0
/adversario;20231228;5;5;0;42;6;0;0
/adversario;20231229;4;4;0;7;5;0;0
/adversario;20231230;4;3;0;21;25;0;0
