# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240401
# Data de termino: 20240407
Nome do evento;Data;Contagem de eventos;Total de usuarios;Contagem de eventos por usuario;Receita total
user_engagement;20240405;1829;59;31;0
page_view;20240405;1323;66;20.353846153846153;0
page_view;20240403;925;120;7.838983050847458;0
scroll;20240405;915;56;16.339285714285715;0
user_engagement;20240403;904;107;8.60952380952381;0
page_view;20240402;742;88;8.729411764705882;0
page_view;20240407;616;66;9.777777777777779;0
user_engagement;20240402;592;69;8.705882352941176;0
page_view;20240404;591;77;8.32394366197183;0
scroll;20240403;536;87;6.160919540229885;0
user_engagement;20240404;477;60;7.95;0
page_view;20240406;451;56;8.351851851851851;0
user_engagement;20240407;442;54;8.185185185185185;0
scroll;20240402;439;55;7.9818181818181815;0
page_view;20240401;430;58;8.11320754716981;0
user_engagement;20240406;361;48;7.680851063829787;0
scroll;20240404;313;56;5.796296296296297;0
user_engagement;20240401;311;42;7.404761904761905;0
scroll;20240407;298;47;6.478260869565218;0
scroll;20240401;241;37;6.513513513513513;0
scroll;20240406;202;40;5.05;0
form_submit;20240407;183;29;6.310344827586207;0
form_submit;20240403;175;42;4.166666666666667;0
session_start;20240403;160;122;1.3559322033898304;0
form_submit;20240405;149;37;4.027027027027027;0
form_submit;20240404;133;27;4.925925925925926;0
form_submit;20240406;127;28;4.535714285714286;0
form_submit;20240402;125;32;3.90625;0
form_start;20240405;113;37;3.054054054054054;0
form_start;20240403;111;44;2.522727272727273;0
form_start;20240404;107;29;3.689655172413793;0
session_start;20240402;99;87;1.1785714285714286;0
click;20240404;98;7;14;0
session_start;20240405;96;66;1.476923076923077;0
form_start;20240407;93;30;3.1;0
session_start;20240407;92;66;1.4603174603174602;0
form_start;20240402;91;34;2.676470588235294;0
session_start;20240404;88;77;1.2394366197183098;0
click;20240407;86;7;12.285714285714286;0
session_start;20240406;81;57;1.5;0
first_visit;20240403;80;80;1;0
form_submit;20240401;75;19;3.9473684210526314;0
click;20240403;74;13;5.6923076923076925;0
form_start;20240406;70;28;2.5;0
session_start;20240401;66;58;1.2452830188679245;0
form_start;20240401;60;20;3;0
click;20240402;59;9;6.555555555555555;0
first_visit;20240402;56;56;1;0
first_visit;20240404;44;44;1;0
first_visit;20240407;41;41;1;0
first_visit;20240405;33;33;1;0
first_visit;20240401;31;31;1;0
first_visit;20240406;27;27;1;0
click;20240401;26;6;4.333333333333333;0
click;20240405;23;8;2.875;0
click;20240406;23;4;5.75;0
