# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Goleiros com mais jogos;20240509;4;3;0;14;0;0
Informacoes Gerais;20240508;4;3;0;6.25;0;0
Joueur;20240511;4;1;0;61.25;0;0
Maiores Artilheiros;20240510;4;4;0;101.25;0;0
Mais jogos no(a) Libertadores da America;20240509;4;2;0;22.75;0;0
Mais jogos no(a) Libertadores da America;20240510;4;3;0;38.5;0;0
Manoel 2024;20240509;4;4;0;14.75;0;0
Marcelo 2024;20240511;4;4;1;9;0;0
Martinelli 2024;20240509;4;4;0;7.5;0;0
Sequencias - Libertadores da America;20240510;4;3;0;22.75;0;0
Tec - Fernando Diniz;20240511;4;4;0;66.25;0;0
Todos os jogos em campeonato;20240510;4;4;0;15.5;0;0
Todos os jogos no(a) Libertadores da America;20240510;4;4;0;27;0;0
Treinador com mais jogos;20240510;4;4;0;45.25;0;0
Tecnico;20240511;4;4;0;3.75;0;0
Arbitros;20240508;4;4;0;5;0;0
(not set);20240509;3;3;0;16;0;0
Adversarios Chile;20240509;3;3;0;15.666666666666666;0;0
Adversarios do mesmo pais em campeonato;20240509;3;3;0;13.666666666666666;0;0
Andre 2024;20240510;3;3;0;9;0;0
Aproveitamento Tecnicos no;20240510;3;3;0;69.33333333333333;0;0
Artilheiros Estrangeiros;20240510;3;3;0;23;0;0
Artilheiros dos Seculos;20240510;3;2;0;15;0;0
Botafogo 0 X 6 Fluminense;20240509;3;3;0;460;0;0
Botafogo SP 1 X 1 Fluminense;20240507;3;3;3;10;0;0
Brasileiro;20240507;3;1;0;13.333333333333334;0;0
Brasileiro;20240510;3;1;0;730.6666666666666;0;0
Brasileiro 2024;20240510;3;2;0;12;0;0
Curiosidades e Titulos;20240508;3;3;0;9;0;0
Curiosidades e Titulos;20240512;3;3;0;48;0;0
Especiais Adversarios;20240511;3;2;0;12.666666666666666;0;0
Especiais Campeonatos;20240511;3;3;0;30.666666666666668;0;0
Especiais Estadios;20240512;3;3;0;2.3333333333333335;0;0
Especiais Historicos;20240510;3;3;0;44;0;0
Especiais Historicos;20240511;3;3;0;37;0;0
Especiais Jogos;20240512;3;3;0;12.333333333333334;0;0
Felipe Melo 2024;20240510;3;3;0;13.333333333333334;0;0
Felipe Melo 2024;20240511;3;2;0;21;0;0
Flamengo 0 X 0 Fluminense;20240512;3;2;0;133;0;0
Flamengo 1 X 1 Fluminense;20240509;3;3;0;56;0;0
Fluminense 1 X 1 Figueirense;20240507;3;3;0;6;0;0
Fluminense 1 X 1 Ipatinga;20240507;3;3;0;26.333333333333332;0;0
Fluminense 1 X 1 Vasco;20240509;3;2;0;67;0;0
Fluminense 2 X 0 America;20240507;3;2;0;13.333333333333334;0;0
Fluminense 2 X 0 Bangu;20240511;3;1;0;0.6666666666666666;0;0
Fluminense 2 X 0 Botafogo;20240508;3;1;0;71;0;0
Fluminense 2 X 1 Colo Colo;20240508;3;2;0;1;0;0
Fluminense 2 X 2 Botafogo;20240509;3;2;1;5.333333333333333;0;0
Fluminense 2 X 3 ABC;20240508;3;3;2;59;0;0
Fluminense 3 X 2 Vasco;20240509;3;3;0;8.666666666666666;0;0
Fluminense 6 X 0 Adesg;20240506;3;3;2;13.666666666666666;0;0
Fluminense x Alianza Lima-Peru;20240511;3;3;0;28.333333333333332;0;0
Fluminense x Cerro Portenho-Paraguai;20240511;3;3;0;41.333333333333336;0;0
Fluminense x Colo Colo-Chile;20240506;3;3;0;69.66666666666667;0;0
Fluminense x Colo Colo-Chile;20240511;3;3;0;78.33333333333333;0;0
Fluminense x Everton-Chile;20240509;3;2;0;2.6666666666666665;0;0
Fluminense x Paris Saint Germain-Franca;20240508;3;3;3;36.666666666666664;0;0
Fluminense x Paris Saint Germain-Franca;20240510;3;3;3;15.666666666666666;0;0
Fluminense x Paris Saint Germain-Franca;20240511;3;3;3;22.666666666666668;0;0
Fluminense x Penarol-Uruguai;20240510;3;3;0;34;0;0
Fluminense x Sao Paulo-SP;20240510;3;3;0;27;0;0
Fluminense x Union La Calera-Chile;20240509;3;3;0;17.666666666666668;0;0
Fluminense x Universidad de Chile-Chile;20240509;3;3;0;8.666666666666666;0;0
Fred 2022;20240509;3;2;0;620.3333333333334;0;0
Fabio 2024;20240510;3;3;0;9.666666666666666;0;0
German Cano 2024;20240507;3;2;2;24.666666666666668;0;0
Goleiros com mais jogos;20240510;3;3;0;33.333333333333336;0;0
Informacoes Gerais;20240511;3;3;0;14.333333333333334;0;0
Jhon Arias 2024;20240509;3;3;0;10;0;0
Jhon Arias 2024;20240510;3;3;0;9;0;0
Joueur;20240510;3;1;0;45.333333333333336;0;0
Libertadores da America;20240511;3;3;0;176.33333333333334;0;0
Libertadores da America contra times do(a) Chile;20240509;3;2;0;29.333333333333332;0;0
Lista de Adversario do mesmo pais;20240509;3;3;0;8.333333333333334;0;0
Mais jogos em Campeonato;20240510;3;3;0;6.666666666666667;0;0
Mais jogos no elenco atual;20240507;3;3;0;70.66666666666667;0;0
Mais jogos no elenco atual;20240510;3;3;0;105.66666666666667;0;0
Maracana;20240512;3;3;0;3;0;0
Marcelo 2024;20240509;3;3;0;15.333333333333334;0;0
Maurinho 1963;20240511;3;2;0;9.666666666666666;0;0
Parraro 1980;20240509;3;3;3;29;0;0
Paulo Henrique Ganso 2024;20240510;3;3;0;35.666666666666664;0;0
Publico;20240510;3;1;0;20;0;0
Ranking de Campanhas;20240512;3;2;0;56.333333333333336;0;0
