# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240422
# Data de termino: 20240428
Nome do evento;Data;Contagem de eventos;Total de usuarios;Contagem de eventos por usuario;Receita total
page_view;20240422;1119;119;9.81578947368421;0
page_view;20240425;1019;185;5.5989010989010985;0
page_view;20240428;984;146;6.786206896551724;0
user_engagement;20240422;955;99;9.646464646464647;0
page_view;20240424;906;104;8.882352941176471;0
page_view;20240427;882;98;9.284210526315789;0
user_engagement;20240425;859;146;5.883561643835616;0
page_view;20240426;847;112;7.770642201834862;0
user_engagement;20240428;821;119;6.9576271186440675;0
page_view;20240423;774;96;8.505494505494505;0
user_engagement;20240426;689;100;6.959595959595959;0
user_engagement;20240427;667;77;8.662337662337663;0
user_engagement;20240424;664;89;7.545454545454546;0
scroll;20240422;649;91;7.292134831460674;0
user_engagement;20240423;550;83;6.626506024096385;0
scroll;20240426;512;89;5.885057471264368;0
scroll;20240424;504;80;6.461538461538462;0
scroll;20240425;501;121;4.175;0
scroll;20240428;501;89;5.629213483146067;0
scroll;20240427;449;72;6.414285714285715;0
scroll;20240423;407;75;5.575342465753424;0
form_submit;20240424;253;45;5.622222222222222;0
form_submit;20240427;253;43;5.883720930232558;0
session_start;20240425;230;183;1.2777777777777777;0
form_submit;20240428;201;59;3.406779661016949;0
form_submit;20240425;195;62;3.1451612903225805;0
form_submit;20240422;194;52;3.730769230769231;0
form_submit;20240426;183;49;3.7346938775510203;0
session_start;20240428;169;145;1.1818181818181819;0
session_start;20240422;163;118;1.4424778761061947;0
click;20240423;155;11;14.090909090909092;0
session_start;20240426;151;114;1.3727272727272728;0
form_submit;20240423;149;40;3.725;0
form_start;20240425;143;63;2.2698412698412698;0
click;20240424;141;9;15.666666666666666;0
session_start;20240427;135;98;1.4210526315789473;0
first_visit;20240425;133;133;1;0
session_start;20240424;132;104;1.2941176470588236;0
form_start;20240426;127;51;2.4901960784313726;0
form_start;20240424;121;45;2.688888888888889;0
form_start;20240427;121;46;2.630434782608696;0
form_start;20240428;119;59;2.016949152542373;0
session_start;20240423;119;96;1.3076923076923077;0
form_start;20240422;118;52;2.269230769230769;0
first_visit;20240428;106;106;1;0
form_start;20240423;94;43;2.186046511627907;0
click;20240426;72;12;6;0
click;20240427;69;10;6.9;0
first_visit;20240426;63;63;1;0
click;20240422;62;8;7.75;0
first_visit;20240422;62;62;1;0
first_visit;20240424;62;62;1;0
click;20240428;59;17;3.4705882352941178;0
first_visit;20240423;53;53;1;0
first_visit;20240427;53;53;1;0
click;20240425;14;8;1.75;0
