# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240311
# Data de termino: 20240317
Categoria da plataforma / dispositivo;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
web / mobile;20240317;61;51;54;0.6835443037974683;0.8852459016393442;141.08196721311475;755;0;0
web / mobile;20240314;52;41;45;0.7894736842105263;0.8653846153846154;119.32692307692308;1349;0;0
web / mobile;20240316;50;41;45;0.6617647058823529;0.9;128.02;1521;0;0
web / mobile;20240315;39;29;32;0.7111111111111111;0.8205128205128205;59.256410256410255;393;0;0
web / desktop;20240311;38;19;44;0.7457627118644068;1.1578947368421053;201.42105263157896;1358;0;0
web / mobile;20240313;35;25;29;0.6904761904761905;0.8285714285714286;104.05714285714286;679;0;0
web / desktop;20240313;33;16;40;0.851063829787234;1.2121212121212122;157.12121212121212;1400;0;0
web / desktop;20240315;32;10;33;0.7333333333333333;1.03125;187.53125;1133;0;0
web / mobile;20240312;32;21;26;0.6666666666666666;0.8125;70.96875;491;0;0
web / desktop;20240314;30;11;37;0.8043478260869565;1.2333333333333334;238.33333333333334;1501;0;0
web / desktop;20240312;29;12;37;0.8222222222222222;1.2758620689655173;255.44827586206895;1509;0;0
web / mobile;20240311;28;23;21;0.5384615384615384;0.75;107.67857142857143;482;0;0
web / desktop;20240317;24;13;23;0.7931034482758621;0.9583333333333334;104;394;0;0
web / desktop;20240316;22;10;18;0.782608695652174;0.8181818181818182;289.95454545454544;1004;0;0
web / tablet;20240312;1;1;0;0;0;4;6;0;0
