# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20231106
# Data de termino: 20231112
Grupo de canais padrao do primeiro usuario;Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20231106;67;65;0.7926829268292683;0.8441558441558441;94.20779220779221;1357;0;0
Organic Search;20231108;51;61;0.7093023255813954;0.8970588235294118;183.26470588235293;1835;0;0
Organic Search;20231111;51;63;0.863013698630137;1;138.65079365079364;1446;0;0
Organic Search;20231110;47;56;0.8;0.9333333333333333;89.48333333333333;986;0;0
Organic Search;20231109;44;54;0.7714285714285715;0.9473684210526315;160.71929824561403;1366;0;0
Organic Search;20231107;42;51;0.8095238095238095;0.9444444444444444;111.75925925925925;1254;0;0
Direct;20231109;36;68;0.6868686868686869;1.0461538461538462;217.64615384615385;2569;0;0
Organic Search;20231112;33;40;0.7843137254901961;0.975609756097561;93.8780487804878;693;0;0
Direct;20231107;26;69;0.8117647058823529;1.078125;184.8125;2278;0;0
Direct;20231106;22;54;0.6585365853658537;0.9310344827586207;154.86206896551724;1467;0;0
Direct;20231111;20;63;0.6702127659574468;1.1454545454545455;181.07272727272726;1924;0;0
Direct;20231108;19;55;0.6962025316455697;1.0185185185185186;130.07407407407408;1759;0;0
Direct;20231110;17;67;0.7282608695652174;1.098360655737705;139.4262295081967;1561;0;0
Direct;20231112;14;55;0.6790123456790124;1.2790697674418605;238.67441860465115;1757;0;0
Referral;20231108;4;2;0.5;0.5;64;58;0;0
Referral;20231111;3;2;0.6666666666666666;0.6666666666666666;19.666666666666668;25;0;0
Organic Social;20231110;2;2;1;1;44.5;26;0;0
Referral;20231110;2;3;1;1;152.33333333333334;185;0;0
Referral;20231107;1;1;1;1;207;19;0;0
Referral;20231106;0;1;1;1;254;65;0;0
