# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240324
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/campeonato;20240229;5;9
/campeonato_arbestado;20240229;0;1
/campeonato_cartao;20240229;0;1
/campeonato;20240301;9;15
/campeonato;20240302;9;10
/campeonato;20240303;21;26
/campeonato;20240304;5;8
/campeonato;20240305;4;5
/campeonato;20240306;5;7
/campeonato;20240307;4;4
/campeonato;20240308;15;15
/campeonato;20240309;8;8
/campeonato;20240310;2;2
/campeonato;20240311;7;7
/campeonato;20240312;3;4
/campeonato;20240313;5;7
/campeonato;20240314;9;9
/campeonato;20240315;3;4
/campeonato;20240316;5;8
/campeonato;20240317;2;2
/campeonato;20240318;13;14
/campeonato;20240319;17;19
/campeonato;20240320;12;13
/campeonato;20240321;3;4
/campeonato;20240322;3;3
/campeonato;20240323;5;5
/campeonato;20240324;4;6
