# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/jogador;20231120;27;24;0;37;25925925925926;0;0
/jogador;20231121;18;15;0;61;111111111111114;0;0
/jogador;20231122;19;15;0;29;57894736842105;0;0
/jogador;20231123;31;23;0;21;161290322580644;0;0
/jogador;20231124;13;12;0;66;38461538461539;0;0
/jogador_batedor/672240000000;20231124;1;1;0;20;0;0
/jogador;20231125;31;26;0;64;58064516129032;0;0
/jogador_cartao/670240000000;20231125;1;1;0;1;0;0
/jogador_cartao/671240000000;20231125;1;1;0;2;0;0
/jogador;20231126;28;23;0;158;78571428571428;0;0
/jogador;20231127;20;15;0;64;6;0;0
/jogador;20231128;19;16;0;18;736842105263158;0;0
/jogador;20231129;19;17;0;13;0;0
/jogador;20231130;22;19;0;26;136363636363637;0;0
/jogador;20231201;15;13;1;39;666666666666664;0;0
/jogador_batedor/672240000000;20231201;1;1;0;1;0;0
/jogador_cartao/670240000000;20231201;1;1;0;1;0;0
/jogador;20231202;16;14;0;42;625;0;0
/jogador;20231203;20;17;0;31;2;0;0
/jogador;20231204;15;14;1;25;0;0
/jogador_batedor/672240000000;20231204;1;1;0;1;0;0
/jogador;20231205;21;20;0;22;571428571428573;0;0
/jogador;20231206;16;12;0;56;75;0;0
/jogador;20231207;12;9;0;13;75;0;0
/jogador;20231208;16;14;0;59;875;0;0
/jogador_batedor/672240000000;20231208;1;1;0;4;0;0
/jogador;20231209;13;11;0;14;23076923076923;0;0
/jogador;20231210;19;16;1;28;789473684210527;0;0
/jogador;20231211;22;15;0;56;0;0
/jogador;20231212;27;16;0;90;0;0
/jogador;20231213;23;17;0;83;95652173913044;0;0
/jogador_cartao/671240000000;20231213;1;1;0;0;0;0
/jogador;20231214;9;8;0;44;666666666666664;0;0
/jogador;20231215;9;10;0;15;11111111111111;0;0
/jogador;20231216;13;10;0;14;923076923076923;0;0
/jogador;20231217;15;11;0;54;333333333333336;0;0
/jogador;20231218;27;21;0;81;62962962962963;0;0
/jogador;20231219;18;18;1;51;5;0;0
/jogador;20231220;14;11;0;14;5;0;0
/jogador;20231221;9;9;0;86;44444444444444;0;0
/jogador_cartao/670240000000;20231221;1;1;0;1;0;0
/jogador;20231222;38;36;0;26;42105263157895;0;0
/jogador;20231223;13;12;1;53;23076923076923;0;0
/jogador;20231224;17;14;0;14;235294117647058;0;0
/jogador;20231225;13;12;0;31;76923076923077;0;0
/jogador;20231226;24;16;1;29;25;0;0
/jogador;20231227;18;13;0;91;5;0;0
/jogador;20231228;19;15;0;15;368421052631579;0;0
/jogador;20231229;13;12;0;90;53846153846153;0;0
/jogador;20231230;19;17;0;22;473684210526315;0;0
/jogador;20231231;16;12;1;28;25;0;0
/jogador;20240101;13;13;1;47;15384615384615;0;0
/jogador;20240102;27;18;0;56;7037037037037;0;0
/jogador;20240103;19;13;0;41;94736842105263;0;0
/jogador_cartao/671240000000;20240103;1;1;0;27;0;0
/jogador;20240104;35;27;3;45;17142857142857;0;0
/jogador;20240105;19;14;0;98;57894736842105;0;0
/jogador;20240106;25;15;0;88;2;0;0
/jogador;20240107;20;11;0;69;75;0;0
/jogador;20240108;18;11;0;43;833333333333336;0;0
/jogador;20240109;25;21;0;63;12;0;0
/jogador;20240110;20;13;0;25;35;0;0
/jogador;20240111;27;18;0;74;44444444444444;0;0
/jogador;20240112;20;17;1;55;55;0;0
/jogador_cartao/671240000000;20240112;1;1;0;1;0;0
/jogador;20240113;23;14;0;73;43478260869566;0;0
/jogador;20240114;23;16;0;65;69565217391305;0;0
/jogador;20240115;11;9;0;92;0;0
/jogador;20240116;16;13;0;91;0;0
/jogador;20240117;13;10;0;18;384615384615383;0;0
/jogador;20240118;28;22;0;40;82142857142857;0;0
/jogador;20240119;17;14;1;32;529411764705884;0;0
/jogador;20240120;25;21;0;43;28;0;0
/jogador;20240121;41;31;0;37;78048780487805;0;0
/jogador_batedor/672240000000;20240121;1;1;0;1;0;0
/jogador_cartao/671240000000;20240121;1;1;0;3;0;0
/jogador;20240122;16;11;0;24;8125;0;0
/jogador;20240123;18;16;1;49;888888888888886;0;0
/jogador;20240124;25;22;0;68;0;0
/jogador;20240125;29;23;0;45;37931034482759;0;0
/jogador;20240126;27;20;0;45;25925925925926;0;0
/jogador;20240127;17;11;0;33;88235294117647;0;0
/jogador;20240128;11;7;1;45;0;0
/jogador;20240129;5;5;0;36;6;0;0
/jogador;20240130;21;19;0;73;52380952380952;0;0
/jogador_cartao/670240000000;20240130;1;1;0;36;0;0
/jogador;20240131;16;14;0;16;0;0
/jogador;20240201;33;25;0;36;36363636363637;0;0
/jogador;20240202;27;22;0;33;96296296296296;0;0
/jogador;20240203;22;20;0;39;40909090909091;0;0
/jogador;20240204;22;21;0;22;59090909090909;0;0
/jogador;20240205;19;16;0;41;526315789473685;0;0
/jogador;20240206;26;21;0;25;153846153846153;0;0
/jogador;20240207;17;15;0;31;176470588235293;0;0
/jogador;20240208;14;14;0;39;92857142857143;0;0
/jogador;20240209;28;26;0;16;321428571428573;0;0
/jogador;20240210;18;12;1;23;0;0
/jogador;20240211;11;10;0;45;0;0
/jogador;20240212;8;7;0;51;5;0;0
/jogador;20240213;10;9;0;13;5;0;0
/jogador;20240214;10;10;1;25;6;0;0
/jogador;20240215;14;9;0;132;07142857142858;0;0
/jogador;20240216;12;11;0;62;5;0;0
/jogador;20240217;19;17;1;16;42105263157895;0;0
