# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240610
# Data de termino: 20240616
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Organic Search;20240611;78;82;0.7884615384615384;0.8723404255319149;117.25531914893617;1439;0;0;0
Organic Search;20240615;65;63;0.6847826086956522;0.8513513513513513;51.932432432432435;698;0;0;0
Organic Search;20240612;41;47;0.7230769230769231;0.94;124.76;733;0;0;0
Organic Search;20240610;36;43;0.7543859649122807;0.8958333333333334;102.3125;907;0;0;0
Organic Search;20240613;32;41;0.7884615384615384;0.9111111111111111;67.57777777777778;438;0;0;0
Organic Search;20240614;32;35;0.6730769230769231;0.813953488372093;88.69767441860465;593;0;0;0
Organic Search;20240616;31;6;0.14634146341463414;0.17647058823529413;44.970588235294116;306;0;0;0
Direct;20240611;22;65;0.6701030927835051;1.1016949152542372;141.57627118644066;1301;0;0;0
Direct;20240613;12;50;0.704225352112676;1.5625;260.59375;1937;0;0;0
Direct;20240612;9;33;0.66;1.064516129032258;202.48387096774192;1004;0;0;0
Direct;20240615;9;44;0.7457627118644068;1.2571428571428571;180.0857142857143;819;0;0;0
Direct;20240610;8;38;0.7450980392156863;1.0857142857142856;155.2;669;0;0;0
Direct;20240614;4;54;0.7105263157894737;1.5;285.94444444444446;2111;0;0;0
Direct;20240616;4;9;0.225;0.36;136.6;500;0;0;0
Organic Social;20240615;3;1;0.3333333333333333;0.3333333333333333;234.33333333333334;114;0;0;0
Organic Social;20240613;1;5;0.7142857142857143;2.5;317;183;0;0;0
Referral;20240612;1;0;0;0;5;8;0;0;0
Referral;20240613;1;0;0;0;6;4;0;0;0
Referral;20240614;1;1;0.5;0.5;154.5;54;0;0;0
Organic Social;20240612;0;3;0.75;3;623;126;0;0;0
Organic Social;20240614;0;0;0;0;0;3;0;0;0
Referral;20240610;0;0;0;0;0;2;0;0;0
Referral;20240611;0;0;0;0;0;2;0;0;0
Referral;20240615;0;1;1;1;1477;207;0;0;0
Unassigned;20240616;0;0;0;0;25;68;0;0;0
