# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
/;20240509;93;79;42;23.93548387096774;0;0
/;20240510;92;72;23;15.858695652173912;0;0
/;20240511;53;41;17;12.528301886792454;0;0
/;20240512;50;40;20;23.7;0;0
/;20240508;49;43;12;54.285714285714285;0;0
/;20240506;44;34;11;13.909090909090908;0;0
/;20240507;39;34;9;17.58974358974359;0;0
/jogador;20240510;32;22;1;27.0625;0;0
/jogador;20240511;32;22;0;20.6875;0;0
/jogador;20240509;28;18;2;21.714285714285715;0;0
/mostra_jogador;20240510;27;16;0;47.7037037037037;0;0
/mostra_jogador;20240511;26;18;0;44.15384615384615;0;0
/mostra_jogador;20240507;24;19;0;32.666666666666664;0;0
/mostra_jogo;20240508;23;12;0;512.2608695652174;0;0
/jogador;20240507;22;20;0;27.90909090909091;0;0
/jogo;20240508;21;12;0;84.47619047619048;0;0
/mostra_jogo;20240510;20;16;0;91.35;0;0
/mostra_adversario;20240509;19;13;0;51.26315789473684;0;0
/adversario;20240509;18;12;0;71.38888888888889;0;0
/mostra_campeonato;20240510;18;13;0;190.22222222222223;0;0
/mostra_jogador;20240509;18;15;0;243.38888888888889;0;0
/campeonato;20240510;17;15;0;18.41176470588235;0;0
/jogo;20240512;17;9;0;93.76470588235294;0;0
/mostra_adversario;20240510;17;17;0;53.88235294117647;0;0
/mostra_adversario;20240512;17;16;0;52.588235294117645;0;0
/mostra_jogo;20240509;17;10;0;721.7058823529412;0;0
/consulta_especial_jogador;20240510;16;12;0;47.8125;0;0
/jogador;20240508;16;11;1;15.375;0;0
/adversario;20240506;15;11;0;92.86666666666666;0;0
/adversario;20240510;15;14;0;33.13333333333333;0;0
/consulta_especial_jogador;20240509;15;11;0;26.466666666666665;0;0
/jogador;20240506;15;14;1;25;0;0
/jogador;20240512;15;12;1;82;0;0
/jogo;20240509;15;9;1;127.86666666666666;0;0
/mostra_jogador;20240508;15;9;0;25.533333333333335;0;0
/mostra_jogo;20240511;15;8;0;730.4;0;0
/mostra_adversario;20240506;14;10;0;159.5;0;0
/mostra_jogador;20240512;14;10;0;58.42857142857143;0;0
/adversario;20240512;13;13;0;67.84615384615384;0;0
/jogo;20240510;13;12;0;41;0;0
/jogo;20240511;13;9;0;163;0;0
/mostra_adversario;20240508;13;10;0;24.923076923076923;0;0
/consulta_especial_jogador;20240507;12;9;1;14.25;0;0
/jogo;20240507;12;9;0;23.166666666666668;0;0
/mostra_jogo;20240512;12;6;0;957.4166666666666;0;0
/consulta_especial_jogador;20240511;11;9;0;75.0909090909091;0;0
/jogo;20240506;11;8;0;24.363636363636363;0;0
/mostra_jogador;20240506;11;10;1;64.27272727272727;0;0
/mostra_jogo;20240506;10;8;0;25.3;0;0
/arbitro;20240509;9;7;0;29.444444444444443;0;0
/campeonato;20240506;9;6;0;27.333333333333332;0;0
/campeonato;20240509;9;8;0;17.666666666666668;0;0
/consulta_especial_campeonato;20240510;9;8;0;16.11111111111111;0;0
/consulta_especial_jogador;20240506;9;6;0;21.555555555555557;0;0
/mostra_especial/;20240510;9;8;0;112.11111111111111;0;0
/mostra_jogo;20240507;9;8;0;150.88888888888889;0;0
/adversario;20240508;8;7;0;16.75;0;0
/arbitro;20240512;8;8;0;40.25;0;0
/campeonato;20240507;8;6;0;26.125;0;0
/mostra_arbitro;20240509;8;7;0;96.25;0;0
/mostra_arbitro;20240512;8;8;0;60.75;0;0
/mostra_campeonato;20240506;8;5;0;59;0;0
/mostra_campeonato;20240507;8;5;0;51.375;0;0
/mostra_estadio;20240512;8;7;0;33.5;0;0
/mostra_rkg/;20240509;8;6;0;87.875;0;0
/campeonato;20240511;7;6;0;15.285714285714286;0;0
/consulta_especial_adversario;20240510;7;7;0;14.428571428571429;0;0
/link_jogador/2421;20240506;7;5;2;25.714285714285715;0;0
/link_jogador/2421;20240509;7;7;6;46.714285714285715;0;0
/link_jogo/3039;20240506;7;7;7;35.42857142857143;0;0
/link_jogo/8783;20240510;7;6;0;19.428571428571427;0;0
/mostra_rkg/;20240510;7;6;0;44.714285714285715;0;0
/consulta_especial_adversario;20240509;6;4;0;36;0;0
/consulta_especial_adversario;20240512;6;6;0;10.833333333333334;0;0
/consulta_especial_jogos;20240508;6;6;0;12.5;0;0
/estadio_todos;20240510;6;6;0;29.666666666666668;0;0
/geral;20240510;6;6;0;26.666666666666668;0;0
/mostra_campeonato;20240509;6;5;0;244.83333333333334;0;0
