# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240429
# Data de termino: 20240505
Caminho da pagina e classe da tela;Data;Contagem de eventos;Visualizacoes
/adversario;20240430;60;63
/arbitro;20240504;53;60
/adversario;20240429;39;43
/jogador;20240501;29;37
/jogador;20240504;29;51
/adversario;20240504;26;31
/arbitro;20240501;22;22
/adversario;20240501;21;24
/estadio;20240501;18;18
/jogador;20240502;18;25
/adversario;20240503;17;22
/jogador;20240503;17;26
/jogador;20240429;16;27
/adversario;20240502;14;18
/jogador;20240430;14;17
/estadio;20240502;12;13
/arbitro;20240430;10;12
/adversario;20240505;9;11
/arbitro;20240503;9;13
/campeonato;20240503;8;12
/estadio;20240503;7;7
/estadio;20240504;7;11
/jogador;20240505;7;13
/tecnico;20240430;7;9
/campeonato;20240501;6;8
/campeonato;20240504;5;10
/campeonato;20240430;4;4
/estadio;20240430;4;5
/campeonato;20240429;3;7
/estadio;20240505;3;4
/tecnico;20240429;3;4
/arbitro;20240429;2;2
/arbitro;20240505;2;3
/campeonato;20240502;2;3
/campeonato;20240505;2;2
/estadio;20240429;2;3
/tecnico;20240501;2;7
/tecnico;20240502;2;3
/tecnico;20240503;2;3
/tecnico;20240504;2;7
/arbitro;20240502;1;1
/tecnico;20240505;0;1
