# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240520
# Data de termino: 20240526
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Organic Search;20240522;49;61;0.7176470588235294;0.953125;116.3125;1165;0;0;0
Organic Search;20240523;49;60;0.7407407407407407;0.9090909090909091;127.46969696969697;1770;0;0;0
Organic Search;20240520;42;52;0.8387096774193549;1.0196078431372548;99.88235294117646;720;0;0;0
Organic Search;20240526;42;7;0.09859154929577464;0.1346153846153846;124.59615384615384;946;0;0;0
Organic Search;20240524;41;50;0.7692307692307693;0.9433962264150944;108.69811320754717;1087;0;0;0
Organic Search;20240521;40;49;0.7424242424242424;0.9607843137254902;83.2156862745098;599;0;0;0
Direct;20240522;23;74;0.7628865979381443;1.2982456140350878;298.56140350877195;3221;0;0;0
Direct;20240523;22;63;0.7875;1.2115384615384615;349.90384615384613;3515;0;0;0
Direct;20240524;22;58;0.7733333333333333;1.3181818181818181;421.52272727272725;3531;0;0;0
Organic Search;20240525;22;33;0.7857142857142857;0.9705882352941176;176.11764705882354;910;0;0;0
Direct;20240520;20;44;0.7333333333333333;1.1578947368421053;731.078947368421;2352;0;0;0
Direct;20240521;14;54;0.7397260273972602;1.125;328.7291666666667;2217;0;0;0
Direct;20240526;12;7;0.12280701754385964;0.2692307692307692;413.6923076923077;959;0;0;0
Direct;20240525;10;41;0.7068965517241379;1.1388888888888888;452.8611111111111;1579;0;0;0
Organic Social;20240521;2;1;0.5;0.5;38.5;14;0;0;0
Referral;20240520;2;2;1;1;12;9;0;0;0
Referral;20240522;2;5;1;1;694.4;574;0;0;0
Organic Social;20240522;1;0;0;0;0;3;0;0;0
Organic Social;20240524;1;2;1;1;2.5;11;0;0;0
Referral;20240523;1;0;0;0;1;4;0;0;0
Referral;20240525;1;0;0;0;3;4;0;0;0
Referral;20240526;1;0;0;0;98;14;0;0;0
Unassigned;20240526;1;0;0;0;142.4857142857143;1166;0;0;0
Organic Social;20240526;0;1;0.3333333333333333;1;305;109;0;0;0
