# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240429
# Data de termino: 20240505
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Estatisticas Fluminense - Principal;2024050416;20;20;14;24.1;0;0
Estatisticas Fluminense - Principal;2024050116;14;14;6;40.42857142857143;0;0
Estatisticas Fluminense - Principal;2024043016;13;12;5;18.615384615384617;0;0
Estatisticas Fluminense - Principal;2024050118;13;13;1;27.692307692307693;0;0
Raphael Claus;2024050416;13;12;0;14.384615384615385;0;0
Arbitros;2024050416;12;12;0;36.666666666666664;0;0
Estatisticas Fluminense - Principal;2024050214;10;10;2;17;0;0
Estatisticas Fluminense - Principal;2024050412;10;10;6;35.9;0;0
Estatisticas Fluminense - Principal;2024050415;10;10;9;13.7;0;0
Estatisticas Fluminense - Principal;2024050420;10;9;3;31.5;0;0
Estatisticas Fluminense - Principal;2024050212;9;9;2;8.88888888888889;0;0
Estatisticas Fluminense - Principal;2024050311;9;9;3;20.88888888888889;0;0
Estatisticas Fluminense - Principal;2024050414;9;9;4;9.333333333333334;0;0
Estatisticas Fluminense - Principal;2024043014;8;7;0;4.625;0;0
Estatisticas Fluminense - Principal;2024043021;8;8;3;45.125;0;0
Estatisticas Fluminense - Principal;2024050110;8;7;7;5.875;0;0
Estatisticas Fluminense - Principal;2024050113;8;8;2;9.625;0;0
Estatisticas Fluminense - Principal;2024050115;8;6;3;12.5;0;0
Estatisticas Fluminense - Principal;2024050313;8;7;4;19.5;0;0
Estatisticas Fluminense - Principal;2024050413;8;8;4;35.375;0;0
German Cano 2024;2024050416;8;8;6;44;0;0
Estatisticas Fluminense - Principal;2024042916;7;6;1;2.4285714285714284;0;0
Estatisticas Fluminense - Principal;2024042918;7;6;3;22.714285714285715;0;0
Estatisticas Fluminense - Principal;2024050119;7;7;3;11.285714285714286;0;0
Estatisticas Fluminense - Principal;2024050219;7;6;2;27.571428571428573;0;0
Estatisticas Fluminense - Principal;2024050314;7;7;0;10.428571428571429;0;0
Estatisticas Fluminense - Principal;2024050315;7;7;1;14.571428571428571;0;0
Estatisticas Fluminense - Principal;2024050419;7;7;3;19;0;0
Estatisticas Fluminense - Principal;2024042909;6;6;2;27;0;0
Estatisticas Fluminense - Principal;2024042911;6;6;2;21.5;0;0
Estatisticas Fluminense - Principal;2024042920;6;6;3;44.5;0;0
Estatisticas Fluminense - Principal;2024042922;6;5;3;6.166666666666667;0;0
Estatisticas Fluminense - Principal;2024050323;6;5;1;5.333333333333333;0;0
Jogador;2024050118;6;6;0;23.333333333333332;0;0
Bilulu 1943;2024050314;5;5;4;37.8;0;0
Estatisticas Fluminense - Principal;2024042908;5;5;1;10.6;0;0
Estatisticas Fluminense - Principal;2024042912;5;4;1;20.6;0;0
Estatisticas Fluminense - Principal;2024042914;5;5;4;3.2;0;0
Estatisticas Fluminense - Principal;2024043010;5;5;1;22;0;0
Estatisticas Fluminense - Principal;2024043023;5;4;1;15.4;0;0
Estatisticas Fluminense - Principal;2024050111;5;5;1;9.8;0;0
Estatisticas Fluminense - Principal;2024050122;5;4;2;7.2;0;0
Estatisticas Fluminense - Principal;2024050213;5;5;0;23.8;0;0
Estatisticas Fluminense - Principal;2024050217;5;5;0;5;0;0
Estatisticas Fluminense - Principal;2024050312;5;4;3;10;0;0
Estatisticas Fluminense - Principal;2024050316;5;5;1;16.4;0;0
Estatisticas Fluminense - Principal;2024050319;5;4;0;24.2;0;0
Estatisticas Fluminense - Principal;2024050410;5;5;1;2.4;0;0
Estatisticas Fluminense - Principal;2024050417;5;5;2;28.4;0;0
