# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Cidade;Data;Usuarios;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total
Rio de Janeiro;20240516;69;34;71;0.7171717171717171;1.0289855072463767;211.42028985507247;2121;0;0
Rio de Janeiro;20240513;48;21;59;0.7866666666666666;1.2291666666666667;105.83333333333333;899;0;0
Rio de Janeiro;20240517;38;19;46;0.7931034482758621;1.2105263157894737;315.89473684210526;1832;0;0
Rio de Janeiro;20240515;37;14;45;0.7142857142857143;1.2162162162162162;266.64864864864865;2379;0;0
Rio de Janeiro;20240514;36;15;45;0.8653846153846154;1.25;322.1111111111111;1567;0;0
Rio de Janeiro;20240518;35;20;38;0.76;1.0857142857142856;129.5142857142857;863;0;0
Rio de Janeiro;20240519;25;14;36;0.75;1.44;178.56;886;0;0
(not set);20240516;11;6;10;0.6666666666666666;0.9090909090909091;121.72727272727273;204;0;0
(not set);20240515;10;8;7;0.5833333333333334;0.7;52.9;75;0;0
(not set);20240517;9;7;9;0.6428571428571429;1;89.11111111111111;104;0;0
Niteroi;20240513;8;3;8;0.7272727272727273;1;120.25;112;0;0
Niteroi;20240515;8;3;8;0.8;1;150.875;136;0;0
(not set);20240514;7;6;4;0.4;0.5714285714285714;107.42857142857143;75;0;0
Niteroi;20240516;7;4;8;0.8888888888888888;1.1428571428571428;171.42857142857142;162;0;0
Sao Paulo;20240516;7;6;4;0.5714285714285714;0.5714285714285714;21;31;0;0
Niteroi;20240517;6;1;5;0.7142857142857143;0.8333333333333334;97.5;73;0;0
Maceio;20240517;5;2;5;0.7142857142857143;1;57;80;0;0
Sao Paulo;20240513;5;4;2;0.4;0.4;9.8;16;0;0
Sao Paulo;20240517;5;3;5;0.625;1;27.4;26;0;0
(not set);20240518;4;2;3;0.5;0.75;68;53;0;0
(not set);20240519;4;3;2;0.5;0.5;13.25;14;0;0
Brasilia;20240513;4;2;5;0.5555555555555556;1.25;281;208;0;0
Niteroi;20240519;4;3;3;0.75;0.75;37.75;27;0;0
Salvador;20240516;4;2;4;0.8;1;359.75;202;0;0
Sao Paulo;20240514;4;4;3;0.75;0.75;48.25;27;0;0
(not set);20240513;3;2;3;0.75;1;54;34;0;0
Belo Horizonte;20240516;3;2;2;0.6666666666666666;0.6666666666666666;35.666666666666664;20;0;0
Brasilia;20240515;3;1;3;0.75;1;23.333333333333332;32;0;0
Duque de Caxias;20240513;3;1;2;0.6666666666666666;0.6666666666666666;143;21;0;0
Niteroi;20240514;3;1;4;1;1.3333333333333333;456.3333333333333;122;0;0
Niteroi;20240518;3;3;3;0.6;1;123;38;0;0
Salvador;20240513;3;1;3;1;1;59;37;0;0
Salvador;20240514;3;3;3;1;1;26;15;0;0
Sao Paulo;20240515;3;3;1;0.3333333333333333;0.3333333333333333;28;24;0;0
Sao Paulo;20240518;3;2;2;0.6666666666666666;0.6666666666666666;23.333333333333332;17;0;0
Sao Paulo;20240519;3;3;1;0.3333333333333333;0.3333333333333333;10.333333333333334;12;0;0
Araruama;20240515;2;0;2;1;1;54;21;0;0
Belo Horizonte;20240514;2;2;2;1;1;19.5;11;0;0
Brasilia;20240517;2;2;2;1;1;311.5;83;0;0
Brasilia;20240518;2;1;5;0.7142857142857143;2.5;965.5;302;0;0
Campinas;20240513;2;2;0;0;0;0;6;0;0
Curitiba;20240513;2;2;2;1;1;53;10;0;0
Curitiba;20240516;2;2;2;1;1;38;16;0;0
Duque de Caxias;20240514;2;1;1;0.5;0.5;14.5;7;0;0
Duque de Caxias;20240516;2;1;4;0.8;2;79;69;0;0
Florianopolis;20240513;2;2;1;0.5;0.5;26.5;8;0;0
Formosa;20240513;2;2;1;0.5;0.5;10.5;8;0;0
Fortaleza;20240516;2;2;0;0;0;5.5;10;0;0
Fortaleza;20240519;2;2;2;1;1;18.5;8;0;0
Goiania;20240513;2;1;2;0.6666666666666666;1;190.5;52;0;0
Goiania;20240514;2;0;3;1;1.5;310.5;152;0;0
Goiania;20240516;2;1;2;0.3333333333333333;1;107.5;25;0;0
Itaborai;20240516;2;1;2;1;1;49;17;0;0
Joao Pessoa;20240513;2;2;2;1;1;14;9;0;0
Juiz de Fora;20240514;2;0;2;1;1;75.5;34;0;0
Lisbon;20240518;2;1;1;0.5;0.5;4.5;6;0;0
Maceio;20240516;2;2;1;0.5;0.5;22;8;0;0
Manaus;20240513;2;1;2;0.5;1;709;89;0;0
Manaus;20240516;2;1;3;0.75;1.5;206.5;62;0;0
Nova Friburgo;20240513;2;2;1;0.5;0.5;46;28;0;0
Petropolis;20240515;2;1;2;1;1;273.5;103;0;0
Salvador;20240518;2;2;1;0.5;0.5;4.5;7;0;0
Salvador;20240519;2;1;2;1;1;131.5;45;0;0
Santo Andre;20240513;2;2;2;1;1;35.5;14;0;0
Santos;20240519;2;0;1;0.5;0.5;122.5;62;0;0
Sao Jose;20240516;2;2;1;0.5;0.5;11.5;9;0;0
Serra;20240516;2;2;2;1;1;114;16;0;0
Serra;20240518;2;1;1;0.5;0.5;15.5;14;0;0
Serra;20240519;2;0;2;0.5;1;13;16;0;0
Sete Lagoas;20240514;2;0;3;0.75;1.5;243.5;88;0;0
Vila Velha;20240516;2;1;3;1;1.5;178.5;40;0;0
Vila Velha;20240519;2;0;1;0.5;0.5;45.5;28;0;0
Vitoria;20240519;2;1;2;1;1;1467;607;0;0
62530;20240514;1;1;1;1;1;182;26;0;0
62530;20240517;1;1;1;1;1;30;12;0;0
84166;20240518;1;1;1;1;1;51;7;0;0
Amadora;20240514;1;0;1;1;1;56;16;0;0
Amadora;20240517;1;0;1;1;1;80;13;0;0
Ananindeua;20240519;1;1;1;1;1;32;4;0;0
Angatuba;20240514;1;1;1;1;1;17;4;0;0
Aracaju;20240516;1;1;0;0;0;8;4;0;0
Aracaju;20240517;1;1;1;1;1;16;4;0;0
Aracaju;20240518;1;0;0;0;0;0;3;0;0
Aracuai;20240516;1;1;0;0;0;0;3;0;0
Araruama;20240514;1;1;1;1;1;566;81;0;0
Araruama;20240516;1;0;1;0.5;1;92;23;0;0
Araruama;20240517;1;0;1;1;1;9;11;0;0
Ariquemes;20240516;1;1;1;1;1;110;8;0;0
Armacao dos Buzios;20240518;1;1;1;0.5;1;32;10;0;0
Assis Chateaubriand;20240514;1;1;0;0;0;2;4;0;0
Asuncion;20240518;1;1;0;0;0;9;5;0;0
Bacabal;20240516;1;1;1;1;1;36;4;0;0
Baillargues;20240513;1;0;3;1;3;169;28;0;0
Barcelona;20240516;1;1;1;1;1;11;4;0;0
Barra do Pirai;20240513;1;1;1;1;1;0;4;0;0
Barra do Pirai;20240514;1;1;1;1;1;554;62;0;0
Barueri;20240518;1;1;1;1;1;28;5;0;0
Bauru;20240518;1;1;1;1;1;37;5;0;0
Belem;20240514;1;1;1;1;1;18;5;0;0
Belem;20240515;1;1;1;1;1;7;4;0;0
Belem;20240518;1;0;1;1;1;97;16;0;0
Belem;20240519;1;0;1;1;1;1;3;0;0
Belford Roxo;20240515;1;1;1;1;1;72;20;0;0
Belo Horizonte;20240517;1;1;1;1;1;17;6;0;0
Belo Horizonte;20240518;1;1;1;1;1;881;206;0;0
Betim;20240514;1;0;1;1;1;26;7;0;0
Biguacu;20240516;1;1;0;0;0;9;5;0;0
