Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios
Graficos;20230919;3;3;0
Graficos;20230921;3;3;0
John Kennedy 2023;20230920;3;3;0
Maior Artilheiro em Ano;20230921;3;2;0
Maiores Artilheiros;20230923;3;3;0
Maracana;20230919;3;3;0
Marcas Historicas Atuais;20230921;3;3;0
Marcelo 2004;20230918;3;2;0
Marcelo 2023;20230923;3;3;0
Media de gols sofridos;20230922;3;1;0
Nino 2023;20230923;3;3;0
Paysandu Cricket 1 X 6 Fluminense;20230919;3;2;0
Ranking dos gols - Falta nos seculos;20230923;3;3;0
Raphael Claus;20230918;3;3;0
Raphael Claus;20230919;3;2;0
Raphael Claus;20230921;3;3;0
Samuel Xavier 2023;20230923;3;2;0
Team Buchan 2 X 3 Fluminense;20230922;3;1;0
Tec - Dorival Junior;20230921;3;1;0
Tecnico;20230921;3;3;0
Vasco 4 X 2 Fluminense;20230923;3;3;0
Wallace 1995;20230920;3;3;0
Waterman 1910;20230923;3;2;0
Arbitros;20230921;3;3;0
Ultimos 5980 jogos;20230921;3;2;0
Ultimos Jogos;20230921;3;3;0
(not set);20230918;2;2;0
Adidas;20230923;2;2;0
Affonso Castro 1910;20230922;2;1;0
Alessandro 2004;20230918;2;1;0
Alexandre Lopes 2000;20230920;2;1;0
Alexsander 2023;20230920;2;2;0
Amistoso Internacional 1955;20230918;2;1;0
America 0 X 3 Fluminense;20230921;2;2;0
Anderson Daronco;20230919;2;1;0
Andrei 2002;20230921;2;1;0
Aproveitamento Tecnicos no;20230921;2;2;0
Artilheiros Estrangeiros;20230921;2;2;0
Artilheiros contra Cruzeiro;20230918;2;1;0
Artilheiros em 2001;20230921;2;1;0
Artilheiros em 2002;20230921;2;1;0
Artilheiros em 2003;20230921;2;1;0
Artilheiros em 2004;20230921;2;1;0
Artilheiros em 2005;20230921;2;1;0
Artilheiros em 2006;20230921;2;1;0
Artilheiros em 2007;20230921;2;1;0
Artilheiros em 2008;20230921;2;1;0
Artilheiros em 2023;20230921;2;2;0
Athletico PR 2 X 2 Fluminense;20230923;2;2;0
Atletico GO 1 X 4 Fluminense;20230923;2;1;0
Barradao;20230919;2;1;0
Beto 2002;20230921;2;1;0
Boavista 0 X 0 Fluminense;20230921;2;2;0
Botafogo 0 X 2 Fluminense;20230921;2;2;0
Botafogo 3 X 3 Fluminense;20230920;2;2;0
Botafogo SP 1 X 1 Fluminense;20230919;2;2;2
Brasileiro - Maracana;20230919;2;1;0
Brasileiro Serie B 1998;20230922;2;2;2
Brasileiro Serie B 1998;20230924;2;2;2
Braulio da Silva Machado;20230921;2;1;0
Brunel 1975;20230918;2;1;1
Brunel 1975;20230920;2;2;2
Caio Martins;20230921;2;1;1
Camisa;20230918;2;2;0
Camisa;20230920;2;2;0
Camisa;20230921;2;2;0
Camisa ano a ano;20230923;2;2;0
Carioca 2023;20230920;2;2;0
Carlinhos 2008;20230921;2;1;0
Carlos Alberto 2007;20230921;2;1;0
Castilho 1965;20230923;2;2;0
Corinthians 2 X 0 Fluminense;20230921;2;2;0
Coritiba 2 X 0 Fluminense;20230918;2;2;0
Cruzeiro - Maracana;20230919;2;2;0
Cruzeiro 0 X 2 Fluminense;20230919;2;2;0
Cruzeiro 1 X 0 Fluminense;20230923;2;1;0
Cruzeiro 1 X 1 Fluminense;20230924;2;1;0
Cruzeiro 1 X 2 Fluminense;20230924;2;2;2
Cruzeiro 3 X 4 Fluminense;20230924;2;1;0
Curiosidades e Titulos;20230920;2;2;0
Curiosidades e Titulos;20230924;2;2;0
Delei 1987;20230920;2;1;0
Detalhamento dos Gols;20230921;2;2;0
Detalhamento dos Gols;20230922;2;1;0
Detalhamento dos gols - Barriga;20230922;2;1;0
Detalhamento dos gols - Cabeca;20230922;2;1;0
Diego Cavalieri 2017;20230922;2;2;0
Diogo Barbosa 2023;20230923;2;2;0
Dodo 2008;20230919;2;1;0
Dodo 2008;20230921;2;1;0
Edemilson 1990;20230923;2;1;0
Elenco por em Ano;20230920;2;1;0
Elenco por em Ano;20230923;2;2;0
Emerson de Almeida Ferreira;20230918;2;1;0
Especiais Campeonatos;20230923;2;2;0
Especiais Estadios;20230919;2;2;0
Especiais Estadios;20230920;2;2;0
Especiais Gerais;20230923;2;2;0
Especiais Jogos;20230923;2;2;0
Especiais Resultados;20230922;2;1;0
Estadio x Campeonato;20230921;2;2;0
Estadios;20230920;2;2;0
Felipe Melo 2023;20230919;2;2;0
Felipe Melo 2023;20230920;2;2;0
Felipe Melo 2023;20230921;2;2;0
Flamengo 0 X 2 Fluminense;20230921;2;2;0
Flamengo 1 X 1 Fluminense;20230921;2;2;0
Flamengo 2 X 0 Fluminense;20230918;2;1;0
Fluminense 0 X 0 Vasco;20230923;2;2;0
Fluminense 0 X 1 Botafogo;20230921;2;2;0
Fluminense 0 X 1 Vasco;20230924;2;2;0
Fluminense 0 X 2 Boca Juniors;20230922;2;1;0
Fluminense 0 X 2 Cruzeiro;20230919;2;1;0
Fluminense 0 X 3 Gremio;20230921;2;1;0
Fluminense 0 X 4 Botafogo;20230924;2;1;0
Fluminense 0 X 4 Percy Acott;20230922;2;2;0
Fluminense 1 X 0 Arsenal de Sarandi;20230921;2;1;0
Fluminense 1 X 0 Bayern de Munique;20230918;2;2;2
Fluminense 1 X 0 Bayern de Munique;20230919;2;2;2
Fluminense 1 X 0 Bayern de Munique;20230924;2;2;1
Fluminense 1 X 0 Botafogo;20230923;2;2;0
Fluminense 1 X 0 Cruzeiro;20230919;2;2;0
Fluminense 1 X 0 Cruzeiro;20230920;2;2;0
Fluminense 1 X 0 Flamengo;20230920;2;2;0
Fluminense 1 X 0 Flamengo;20230924;2;2;1
Fluminense 1 X 0 Sao Caetano;20230918;2;1;0
Fluminense 1 X 1 Atletico MG;20230919;2;2;2
Fluminense 1 X 1 Boca Juniors;20230923;2;1;0
Fluminense 1 X 1 Corinthians;20230924;2;1;0
Fluminense 1 X 1 Olaria;20230921;2;1;0
Fluminense 1 X 3 Cruzeiro;20230919;2;1;0
Fluminense 10 X 0 Football & Athletic;20230922;2;1;0
Fluminense 10 X 1 Paysandu Cricket;20230918;2;2;2
Fluminense 2 X 0 Argentinos Juniors;20230921;2;2;0
Fluminense 2 X 0 Internacional;20230921;2;2;0
Fluminense 2 X 1 Palmeiras;20230922;2;2;0
Fluminense 2 X 2 Corinthians;20230921;2;2;0
Fluminense 2 X 3 ABC;20230924;2;2;2
Fluminense 3 X 0 Internacional;20230924;2;2;0
Fluminense 3 X 1 America MG;20230919;2;1;0
Fluminense 3 X 1 America MG;20230921;2;2;0
Fluminense 3 X 1 Boca Juniors;20230919;2;1;0
Fluminense 3 X 1 Botafogo;20230924;2;1;0
Fluminense 3 X 1 Portuguesa;20230924;2;2;0
Fluminense 3 X 1 Toluca;20230919;2;2;1
Fluminense 4 X 0 Bonsucesso;20230919;2;1;0
Fluminense 4 X 0 Juventude;20230921;2;2;0
Fluminense 4 X 1 Cruzeiro;20230919;2;2;0
Fluminense 4 X 1 Flamengo;20230919;2;0;0
Fluminense 4 X 1 Flamengo;20230920;2;1;0
Fluminense 4 X 1 Flamengo;20230921;2;1;0
Fluminense 4 X 3 Figueirense;20230922;2;2;0
Fluminense 5 X 1 Cruzeiro;20230921;2;1;0
Fluminense 6 X 0 America;20230921;2;2;0
Fluminense x A. A. Internacional-RJ;20230918;2;2;0
Fluminense x A. A. Internacional-RJ;20230924;2;2;0
Fluminense x A.I.K.-Suecia;20230921;2;2;0
Fluminense x AZ 67 Alkmaar-Holanda;20230921;2;2;0
Fluminense x Adaleti Instambul-Turquia;20230921;2;2;0
Fluminense x Alianza Atletico-Peru;20230921;2;2;0
Fluminense x America MG-MG;20230919;2;2;0
Fluminense x America Mexico-Mexico;20230921;2;2;0
Fluminense x America-RJ;20230919;2;2;0
Fluminense x Ararat Yerevan-Armenia;20230921;2;2;0
Fluminense x Arsenal-Inglaterra;20230921;2;2;0
Fluminense x Athletico PR-PR;20230918;2;2;0
Fluminense x Atletico GO-GO;20230921;2;2;0
Fluminense x Atletico MG-MG;20230918;2;2;0
Fluminense x Atletico de Bilbao-Espanha;20230921;2;2;0
Fluminense x Atletico de Madrid-Espanha;20230921;2;2;0
Fluminense x Atvidabergs-Suecia;20230921;2;2;0
Fluminense x Bad Ems-Alemanha;20230921;2;2;0
Fluminense x Bangu-RJ;20230923;2;2;0
Fluminense x Barcelona-Espanha;20230921;2;2;0
Fluminense x Bayern de Munique-Alemanha;20230921;2;2;0
Fluminense x Botafogo-RJ;20230921;2;2;0
Fluminense x Botafogo-RJ;20230924;2;2;0
Fluminense x CSA-AL;20230923;2;2;2
Fluminense x Caldense-MG;20230919;2;2;0
Fluminense x Campo Grande-RJ;20230919;2;2;0
Fluminense x Comb. Becar/Varella-CS;20230920;2;1;0
Fluminense x Corinthians-SP;20230922;2;2;0
Fluminense x Dukla-Republica Tcheca;20230920;2;2;0
Fluminense x Ferencvaros-Hungria;20230924;2;2;1
Fluminense x Fortaleza-CE;20230919;2;2;0
Fluminense x Fortaleza-CE;20230921;2;2;0
Fluminense x Gimnasia Y Esgrima-Argentina;20230924;2;2;0
Fluminense x Gremio-RS;20230918;2;2;0
Fluminense x Gremio-RS;20230920;2;2;0
Fluminense x Internacional SC-SC;20230921;2;2;0
Fluminense x Internacional-RS;20230918;2;2;0
Fluminense x Internacional-RS;20230920;2;2;0
Fluminense x Internacional-RS;20230924;2;2;0
Fluminense x Nacional PB-PB;20230919;2;1;0
Fluminense x Olimpia-Paraguai;20230924;2;2;0
Fluminense x Palmeiras-SP;20230918;2;2;0
Fluminense x Palmeiras-SP;20230922;2;2;0
Fluminense x Paris Saint Germain-Franca;20230921;2;2;2
Fluminense x Paris Saint Germain-Franca;20230924;2;2;1
Fluminense x Rio Cricket-RJ;20230922;2;2;1
Fluminense x Santos-SP;20230918;2;2;0
Fluminense x Sporting Cristal-Peru;20230924;2;2;0
Fluminense x Sao Paulo-SP;20230918;2;2;0
Fluminense x Sao Raimundo-AM;20230920;2;2;2
Fluminense x Sao Raimundo-AM;20230921;2;1;1
Fluminense x Vasco-RJ;20230919;2;1;0
Fluminense x Vasco-RJ;20230920;2;2;0
Fluminense x Agua Verde-PR;20230919;2;2;0
Fluminense x Austria Viena-Austria;20230921;2;2;0
Flavio 2003;20230921;2;1;0
Flavio Roberto 1985;20230919;2;1;0
Fornecedor de Material Esportivo;20230923;2;2;0
Fabio 2023;20230920;2;2;0
Gabryel Martins 2022;20230918;2;1;0
German Cano 2023;20230920;2;2;0
German Cano 2023;20230921;2;2;0
German Cano 2023 - Botafogo;20230924;2;1;0
Gerson 2016;20230921;2;2;0
Getulio 1955;20230918;2;2;0
Goias 0 X 3 Fluminense;20230923;2;1;0
Goleadas;20230924;2;1;0
Goleiros com mais jogos;20230923;2;2;0
Gols do Andrei;20230921;2;1;0
Gols do Marquinho;20230921;2;2;0
Gols do Nathan;20230921;2;2;0
Gols do Petkovic;20230921;2;1;0
Gols do Preto Casagrande;20230923;2;1;0
Gols do Ramon;20230921;2;1;0
Gols do Rodolfo;20230921;2;1;0
Gols do Roger;20230921;2;2;0
Gols do Thiago Neves;20230921;2;1;0
Graficos;20230920;2;2;0
Graficos;20230923;2;2;0
Henry Crashley 1912;20230924;2;1;0
Informacoes Gerais;20230923;2;2;0
Internacional 1 X 0 Fluminense;20230924;2;2;0
Jack Robinson 1908;20230920;2;2;0
Jadilson 2003;20230921;2;1;0
Jancarlos 2005;20230921;2;1;0
Jhon Arias 2023;20230921;2;2;0
Jogos em Estadio por ano;20230921;2;2;0
Jogos em dd/mm;20230920;2;2;0
Jogos no(a) Maracana em 2023;20230921;2;2;0
John Kennedy 2023;20230923;2;2;0
Jorginho 2001;20230921;2;2;0
Joao Paulo Araujo;20230924;2;1;1
Joao Pedro 2019;20230919;2;1;0
Keno 2023;20230921;2;2;0
Keno 2023;20230923;2;2;0
Laranjeiras;20230924;2;2;1
Leo Fernandez 2023;20230920;2;2;0
Leo Fernandez 2023;20230922;2;1;0
Leo Fernandez 2023;20230923;2;2;0
Lima 2023;20230920;2;2;0
Lima 2023;20230923;2;2;0
Lino 2005;20230921;2;1;0
Maciel 1998;20230919;2;1;0
Madureira 0 X 1 Fluminense;20230921;2;2;0
Maior Artilheiro contra Adversario;20230919;2;2;0
Maiores Artilheiros;20230919;2;2;0
Maiores Publicos - Classicos;20230922;2;1;1
Mais jogos nos Seculos;20230923;2;1;0
Mais jogos sem levar gol;20230921;2;2;0
Mais jogos sem levar gol;20230922;2;1;0
Mais jogos sem levar gol;20230923;2;2;0
Mais treinou em Campeonato;20230922;2;2;0
Mais vitorias no seculo;20230919;2;1;0
Manchester United 0 X 0 Fluminense;20230922;2;1;0
Mano 1999;20230921;2;1;0
Maracana;20230921;2;2;0
Maracana;20230923;2;2;0
Marcelo 2023;20230920;2;1;0
Marcos Junior 2018;20230921;2;2;0
Marlon 2023;20230923;2;2;0
Marquinho 2017;20230921;2;2;0
Martinelli 2023;20230923;2;2;0
Martinez 2003;20230919;2;1;0
Mascotes;20230919;2;2;0
Mattei di Macerata;20230919;2;1;0
Moto Club 1 X 1 Fluminense;20230921;2;1;0
Nathan 2022;20230921;2;2;0
Nene 2021;20230921;2;2;0
Nino 2023;20230920;2;2;0
Nautico 1 X 2 Fluminense;20230920;2;1;0
Olimpia 1 X 3 Fluminense;20230921;2;2;0
Olimpia 1 X 3 Fluminense;20230923;2;2;0
Oscar Cox 1908;20230922;2;2;0
Palmeiras 1 X 2 Fluminense;20230923;2;1;0
Paris Saint Germain 0 X 1 Fluminense;20230923;2;2;1
Paulo Cesar 2009;20230921;2;1;0
Paulo Goulart 1985;20230921;2;2;0
Paulo Henrique Ganso 2023;20230920;2;2;0
Paulo Henrique Ganso 2023;20230921;2;2;0
Paulo Henrique Ganso 2023;20230923;2;2;0
Paulo Victor 1988;20230919;2;2;1
Paulo Victor 1988;20230923;2;2;1
Paysandu 2 X 0 Fluminense;20230919;2;2;2
Paysandu 2 X 0 Fluminense;20230920;2;2;2
Petkovic 2006;20230921;2;1;0
Pires 1993;20230923;2;2;0
Preto Casagrande 2005;20230921;2;1;0
Ramon 2004;20230921;2;1;0
Ricardo Lopes 1986;20230920;2;1;1
Rio Football Club 0 X 8 Fluminense;20230921;2;2;0
Rodolfo 2004;20230921;2;1;0
Roger 2004;20230921;2;2;0
Romario 2004;20230921;2;2;0
Sequencia Invicta de Goleiros;20230922;2;1;0
Sequencias;20230920;2;1;0
Sao Cristovao 0 X 0 Fluminense;20230924;2;1;0
Sao Paulo 1 X 4 Fluminense;20230923;2;1;0
Tec - Abel;20230920;2;2;0
Thiago Neves 2013;20230921;2;1;0
Thiago Neves 2013;20230923;2;2;0
Thiago Silva 2008;20230921;2;1;0
Todas as camisas;20230923;2;1;0
Todos os Jogos apitados por Luis Carlos Antunes;20230918;2;1;0
Todos os Jogos contra Cruzeiro-MG;20230920;2;2;0
Todos os Jogos contra Deportivo Galicia-Venezuela;20230922;2;2;0
Todos os Jogos contra Internacional-RS;20230921;2;2;0
Todos os Jogos contra Internacional-RS;20230922;2;1;0
Todos os Jogos contra Internacional-RS;20230924;2;2;0
Todos os Jogos do Felipe Melo;20230918;2;1;0
Todos os Jogos do Felipe Melo;20230921;2;1;0
Todos os Jogos do Marcelo;20230921;2;1;0
Todos os Jogos no(a) Maracana;20230921;2;1;0
Todos os jogos de Adversario;20230921;2;2;0
Todos os jogos de Adversario;20230924;2;2;0
Todos os jogos em campeonato;20230921;2;2;0
Todos os jogos no(a) Libertadores da America;20230921;2;2;0
Tecnico;20230920;2;2;0
Tecnico;20230922;2;2;0
Universidad de Quito 1 X 2 Fluminense;20230922;2;2;0
Vasco 0 X 0 Fluminense;20230924;2;2;0
Vasco 1 X 2 Fluminense;20230924;2;1;0
Victor Gonzalez 1962;20230918;2;1;1
Voluntarios da Patria;20230921;2;2;0
Washington 2010;20230921;2;1;0
Welfare 1924;20230919;2;2;0
Wright 1904;20230922;2;1;0
Yan 2002;20230921;2;1;0
Yony Gonzales 2023;20230923;2;2;0
Zada 2003;20230921;2;1;0
Arbitros;20230924;2;2;0
Ultimos Jogos;20230920;2;1;0
(not set);20230922;1;1;0
(not set);20230923;1;1;0
12º Jogador;20230918;1;1;0
12º Jogador em 2008;20230918;1;1;0
12º Jogador em 2023;20230918;1;1;0
12º Jogador em Ano;20230918;1;1;0
2 ª passagem de Fernando Diniz;20230921;1;1;0
30 Arbitros que mais apitaram;20230922;1;1;0
36 Maiores idolos;20230918;1;1;0
36 Maiores idolos;20230923;1;1;0
A. A. Palmeiras 3 X 1 Fluminense;20230923;1;1;0
A. Clements;20230918;1;1;0
ABC 0 X 1 Fluminense;20230918;1;1;0
ABC 1 X 2 Fluminense;20230918;1;1;0
AZ 67 Alkmaar 2 X 2 Fluminense;20230921;1;1;0
AZ 67 Alkmaar 2 X 2 Fluminense;20230924;1;1;0
Aarne Erikson;20230918;1;1;0
Abel 1976;20230919;1;1;0
Abel 1976;20230921;1;1;0
Abel Hernandez 2021;20230921;1;1;0
Adalberto 1955;20230918;1;1;0
Ademir Menezes 1947;20230923;1;1;0
Ademir Menezes 1947 - Gols por Ano;20230923;1;1;0
Adolpho Simonsen 1905;20230918;1;1;0
Adversario por ano;20230921;1;1;0
Adversario por ano;20230924;1;1;0
Adversario x Adversarios nos turnos;20230920;1;1;0
Adversario x Campeonato;20230919;1;1;0
Adversario x Campeonato;20230920;1;1;0
Adversario x Campeonato;20230922;1;1;0
Adversario x Campeonato x Estadio;20230918;1;1;0
Adversario x Estadio;20230918;1;1;0
Adversario x Estadio;20230921;1;1;0
Adversario x Arbitro;20230921;1;1;0
Adversarios Brasil;20230920;1;1;0
Adversarios por tempo determinado;20230919;1;1;0
Ailton 1996;20230922;1;1;0
Ailton Cruz 1999;20230919;1;1;1
Ajaccio 2 X 5 Fluminense;20230924;1;1;0
Ajax 2 X 2 Fluminense;20230924;1;1;0
Ajax 3 X 0 Fluminense;20230921;1;1;0
Al Ahli Saudi 2 X 3 Fluminense;20230921;1;1;0
Alan 2006;20230921;1;1;0
Alan 2023;20230923;1;1;0
Alberto 1958;20230918;1;1;0
Aldo 1987;20230920;1;1;0
Alessandro 2004;20230919;1;1;0
Alex 1997;20230921;1;1;0
Alex Dale 1909;20230918;1;1;0
Alex Martins 1907;20230918;1;1;0
Alex Oliveira 2003;20230921;1;1;0
Alex Oliveira 2003;20230923;1;1;0
Alexandre 1983;20230920;1;1;0
Alexandre Gama 1990;20230919;1;1;1
Alexandre Jesus 2023;20230923;1;1;0
Alexsander 2023;20230921;1;1;0
Alexsander 2023 - Maracana;20230923;1;1;0
Alfredo 1954;20230918;1;1;0
Alfredo Gomes;20230918;1;1;0
Alianza de Lima 2 X 2 Fluminense;20230918;1;1;0
Amarante 1911;20230918;1;1;0
Amarante 1911;20230921;1;1;0
Amarelos do Andre - 2023;20230923;1;1;0
Amarelos do Tuta - 2006;20230921;1;1;0
Ambrois 1955;20230918;1;1;0
Americano 0 X 4 Fluminense;20230924;1;1;0
Americano 1 X 2 Fluminense;20230922;1;1;0
Americano 1 X 2 Fluminense;20230924;1;1;0
Americano 2 X 3 Fluminense;20230921;1;1;0
Americano RJ 1 X 5 Fluminense;20230921;1;1;0
Amigao;20230920;1;1;0
Amistoso 1939;20230923;1;1;0
Amistoso 1969;20230921;1;1;0
Amistoso Interestadual 1918;20230924;1;1;0
Amistoso Interestadual 1939;20230923;1;1;0
Amistoso Interestadual 1946;20230923;1;1;0
Amistoso Interestadual 1947;20230923;1;1;0
Amistoso Interestadual 1967;20230922;1;1;0
Amistoso Interestadual 1969;20230920;1;1;0
Amistoso Internacional;20230921;1;1;0
Amistoso Internacional 1908;20230924;1;1;0
Amistoso Internacional 1909;20230924;1;1;0
Amistoso Internacional 1910;20230924;1;1;0
Amistoso Internacional 1911;20230924;1;1;0
Amistoso Internacional 1918;20230924;1;1;0
Amistoso Internacional 1950;20230924;1;1;0
Amistoso Internacional 1975;20230924;1;1;0
Amistoso Internacional 1977;20230921;1;1;0
America 0 X 1 Fluminense;20230919;1;1;0
America 0 X 2 Fluminense;20230920;1;1;0
America 0 X 2 Fluminense;20230923;1;1;0
America 1 X 0 Fluminense;20230919;1;1;0
America 1 X 0 Fluminense;20230921;1;1;0
America 1 X 0 Fluminense;20230923;1;1;0
America 1 X 2 Fluminense;20230923;1;1;0
America 1 X 3 Fluminense;20230921;1;1;0
America 1 X 3 Fluminense;20230924;1;1;0
America 2 X 1 Fluminense;20230922;1;1;0
America 2 X 3 Fluminense;20230918;1;1;0
America 2 X 4 Fluminense;20230923;1;1;0
America 4 X 4 Fluminense;20230923;1;1;0
America MG 0 X 0 Fluminense;20230921;1;1;0
America MG 0 X 3 Fluminense;20230918;1;1;0
America MG 0 X 3 Fluminense;20230921;1;1;0
America SC 2 X 1 Fluminense;20230920;1;1;0
America Tres Rios 2 X 3 Fluminense;20230918;1;1;0
Amilcar Ferreira;20230923;1;1;0
Anacleto Pietrobom;20230920;1;1;1
Andarai 1 X 5 Fluminense;20230924;1;1;0
Anderson Daronco;20230918;1;1;0
Anderson Daronco;20230922;1;1;0
Andrei 2002;20230920;1;1;0
Andrei 2002;20230923;1;1;0
Andres Matonte;20230923;1;1;0
Andre 1997;20230920;1;1;0
Andre 2023;20230921;1;1;0
