# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Eventos principais;Receita total;Taxa de eventos principais do usuario
Direct;20240713;216;24;0.09876543209876543;0.10480349344978165;14.646288209606986;1020;0;0;0
Organic Search;20240711;38;39;0.6610169491525424;0.8125;164.54166666666666;885;0;0;0
Organic Search;20240709;33;32;0.64;0.7804878048780488;82.14634146341463;529;0;0;0
Organic Search;20240708;32;37;0.74;0.7872340425531915;85.93617021276596;551;0;0;0
Organic Search;20240714;31;25;0.5813953488372093;0.6756756756756757;222.43243243243242;827;0;0;0
Organic Search;20240712;29;36;0.8372093023255814;1;163.63888888888889;702;0;0;0
Direct;20240714;28;23;0.4423076923076923;0.575;88.45;723;0;0;0
Organic Search;20240713;22;20;0.6896551724137931;0.7692307692307693;279.2692307692308;854;0;0;0
Organic Search;20240710;19;22;0.7333333333333333;0.7857142857142857;102.35714285714286;389;0;0;0
Direct;20240709;12;48;0.7868852459016393;1.3333333333333333;135.77777777777777;1093;0;0;0
Direct;20240712;12;51;0.6986301369863014;1.5;231.14705882352942;1988;0;0;0
Direct;20240708;11;39;0.6190476190476191;1.3928571428571428;211.57142857142858;1351;0;0;0
Direct;20240711;11;60;0.8;1.3333333333333333;171.66666666666666;1494;0;0;0
Direct;20240710;6;42;0.8076923076923077;1.3548387096774193;240.70967741935485;1230;0;0;0
Organic Social;20240708;2;0;0;0;2;7;0;0;0
Organic Social;20240710;2;1;0.5;0.5;5.5;9;0;0;0
Referral;20240709;1;0;0;0;7;4;0;0;0
Referral;20240711;1;1;1;1;234;23;0;0;0
Organic Social;20240709;0;1;0.5;1;24;12;0;0;0
Organic Social;20240712;0;3;1;3;282;154;0;0;0
