# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240122
# Data de termino: 20240128
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
Estatisticas Fluminense - Principal;2024012523;10;9;2;4.5;0;0
Estatisticas Fluminense - Principal;2024012522;8;8;1;3.125;0;0
Estatisticas Fluminense - Principal;2024012315;7;6;2;8.142857142857142;0;0
Estatisticas Fluminense - Principal;2024012614;7;7;4;7.428571428571429;0;0
Estatisticas Fluminense - Principal;2024012314;6;6;1;16.5;0;0
Estatisticas Fluminense - Principal;2024012417;6;5;1;4.666666666666667;0;0
Estatisticas Fluminense - Principal;2024012516;6;5;2;24.5;0;0
Estatisticas Fluminense - Principal;2024012520;6;6;2;4.333333333333333;0;0
Estatisticas Fluminense - Principal;2024012717;6;6;3;53.166666666666664;0;0
Ranking de anos;2024012313;6;5;1;66;0;0
Estatisticas Fluminense - Principal;2024012209;5;5;0;3.2;0;0
Estatisticas Fluminense - Principal;2024012210;5;5;0;8.4;0;0
Estatisticas Fluminense - Principal;2024012211;5;5;1;5;0;0
Estatisticas Fluminense - Principal;2024012216;5;4;1;2.8;0;0
Estatisticas Fluminense - Principal;2024012219;5;5;0;6.6;0;0
Estatisticas Fluminense - Principal;2024012414;5;5;2;3.8;0;0
Estatisticas Fluminense - Principal;2024012420;5;5;1;2.2;0;0
Estatisticas Fluminense - Principal;2024012421;5;5;2;3.4;0;0
Estatisticas Fluminense - Principal;2024012510;5;5;1;12.6;0;0
Estatisticas Fluminense - Principal;2024012513;5;5;0;2.6;0;0
Estatisticas Fluminense - Principal;2024012517;5;5;1;6;0;0
Estatisticas Fluminense - Principal;2024012519;5;4;1;7.6;0;0
Estatisticas Fluminense - Principal;2024012718;5;5;1;3.6;0;0
Adversarios;2024012519;4;4;0;5.75;0;0
Estatisticas Fluminense - Principal;2024012215;4;4;0;1.75;0;0
Estatisticas Fluminense - Principal;2024012221;4;4;1;4.75;0;0
Estatisticas Fluminense - Principal;2024012310;4;4;1;1.5;0;0
Estatisticas Fluminense - Principal;2024012312;4;4;0;3;0;0
Estatisticas Fluminense - Principal;2024012316;4;3;1;3.5;0;0
Estatisticas Fluminense - Principal;2024012413;4;4;1;4.75;0;0
Estatisticas Fluminense - Principal;2024012416;4;4;0;2;0;0
Estatisticas Fluminense - Principal;2024012418;4;4;2;6.5;0;0
Estatisticas Fluminense - Principal;2024012419;4;4;2;7;0;0
Estatisticas Fluminense - Principal;2024012422;4;4;1;2.25;0;0
Estatisticas Fluminense - Principal;2024012423;4;4;3;2;0;0
Estatisticas Fluminense - Principal;2024012511;4;4;0;1.5;0;0
Estatisticas Fluminense - Principal;2024012512;4;4;1;12;0;0
Estatisticas Fluminense - Principal;2024012601;4;4;2;3;0;0
Estatisticas Fluminense - Principal;2024012602;4;4;2;4;0;0
Estatisticas Fluminense - Principal;2024012603;4;4;0;2.75;0;0
Estatisticas Fluminense - Principal;2024012608;4;4;1;3.5;0;0
Estatisticas Fluminense - Principal;2024012611;4;4;0;5.25;0;0
Estatisticas Fluminense - Principal;2024012612;4;4;0;3.5;0;0
Estatisticas Fluminense - Principal;2024012619;4;4;1;13.5;0;0
Estatisticas Fluminense - Principal;2024012621;4;4;0;11.75;0;0
Estatisticas Fluminense - Principal;2024012723;4;4;1;0.75;0;0
Estatisticas Fluminense - Principal;2024012810;4;4;0;5;0;0
Fluminense x Audax-RJ;2024012519;4;3;0;4.75;0;0
Jogador;2024012221;4;4;0;16.75;0;0
Jogador;2024012414;4;4;0;37.25;0;0
Jogador;2024012513;4;4;0;57;0;0
Jogador;2024012612;4;4;0;22.25;0;0
Jogador;2024012614;4;4;0;20;0;0
Jogador;2024012714;4;3;0;49.25;0;0
Adversarios;2024012416;3;3;0;13.666666666666666;0;0
Adversarios;2024012418;3;3;0;16.333333333333332;0;0
Adversarios;2024012419;3;3;0;25.666666666666668;0;0
Adversarios;2024012502;3;2;0;9.666666666666666;0;0
Adversarios;2024012523;3;3;0;7.333333333333333;0;0
Adversarios;2024012600;3;3;0;15.333333333333334;0;0
Adversarios;2024012621;3;3;0;60.333333333333336;0;0
Campeonatos;2024012314;3;3;0;60.666666666666664;0;0
Campeonatos;2024012415;3;2;0;17.666666666666668;0;0
Campeonatos;2024012517;3;3;0;77.33333333333333;0;0
Campeonatos;2024012522;3;3;0;65.33333333333333;0;0
Consultas Especiais;2024012217;3;3;0;21.333333333333332;0;0
Estatisticas Fluminense - Principal;2024012208;3;3;0;8;0;0
Estatisticas Fluminense - Principal;2024012214;3;3;1;1;0;0
Estatisticas Fluminense - Principal;2024012217;3;3;1;4.666666666666667;0;0
Estatisticas Fluminense - Principal;2024012220;3;3;1;6.333333333333333;0;0
Estatisticas Fluminense - Principal;2024012222;3;3;0;2.6666666666666665;0;0
Estatisticas Fluminense - Principal;2024012311;3;3;3;6;0;0
Estatisticas Fluminense - Principal;2024012317;3;2;1;1;0;0
Estatisticas Fluminense - Principal;2024012322;3;3;3;37;0;0
Estatisticas Fluminense - Principal;2024012410;3;3;1;2;0;0
Estatisticas Fluminense - Principal;2024012415;3;3;1;4;0;0
Estatisticas Fluminense - Principal;2024012501;3;3;0;7.333333333333333;0;0
Estatisticas Fluminense - Principal;2024012507;3;2;1;1.6666666666666667;0;0
Estatisticas Fluminense - Principal;2024012509;3;3;2;1.3333333333333333;0;0
Estatisticas Fluminense - Principal;2024012518;3;3;1;2.6666666666666665;0;0
Estatisticas Fluminense - Principal;2024012521;3;3;2;16.333333333333332;0;0
Estatisticas Fluminense - Principal;2024012600;3;3;0;2;0;0
Estatisticas Fluminense - Principal;2024012607;3;2;1;2;0;0
Estatisticas Fluminense - Principal;2024012613;3;3;0;2.6666666666666665;0;0
Estatisticas Fluminense - Principal;2024012615;3;3;0;1.3333333333333333;0;0
Estatisticas Fluminense - Principal;2024012710;3;3;0;2.3333333333333335;0;0
Estatisticas Fluminense - Principal;2024012714;3;2;0;3;0;0
Estatisticas Fluminense - Principal;2024012716;3;3;2;0;0;0
Estatisticas Fluminense - Principal;2024012800;3;3;0;8.333333333333334;0;0
Estatisticas Fluminense - Principal;2024012811;3;3;2;2.3333333333333335;0;0
Fluminense x Audax-RJ;2024012523;3;3;0;7.333333333333333;0;0
Fluminense x Audax-RJ;2024012600;3;3;0;38;0;0
Fluminense x Audax-RJ;2024012602;3;3;0;331.3333333333333;0;0
Jogador;2024012315;3;3;0;25.666666666666668;0;0
Jogador;2024012422;3;3;0;12.333333333333334;0;0
Jogador;2024012520;3;3;0;11;0;0
Jogador;2024012522;3;3;0;8;0;0
Jogador;2024012523;3;3;0;29.666666666666668;0;0
Jogador;2024012613;3;3;0;13;0;0
Jogador;2024012622;3;3;0;60.666666666666664;0;0
Jogador;2024012710;3;3;0;16.333333333333332;0;0
Jogador;2024012721;3;3;0;81.66666666666667;0;0
Jogador;2024012810;3;3;1;23.333333333333332;0;0
Jogo;2024012211;3;2;0;33.333333333333336;0;0
Jogo;2024012219;3;3;0;133.33333333333334;0;0
Jogo;2024012419;3;3;0;30;0;0
Jogo;2024012512;3;3;0;5.666666666666667;0;0
Jogo;2024012615;3;3;0;13.666666666666666;0;0
Selecao Curacao 0 X 0 Fluminense;2024012410;3;3;3;15;0;0
Tec - Marcao;2024012602;3;3;0;5.666666666666667;0;0
Arbitros;2024012321;3;3;3;98;0;0
Adversarios;2024012220;2;2;0;14;0;0
Adversarios;2024012421;2;2;0;6.5;0;0
Adversarios;2024012501;2;2;0;5;0;0
Adversarios;2024012513;2;2;0;14.5;0;0
Adversarios;2024012521;2;2;0;97;0;0
