# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240408
# Data de termino: 20240414
Grupo principal de canais do primeiro usuario (Agrupamento de canais padrao);Data;Novos usuarios;Sessoes engajadas;Taxa de engajamento;Sessoes engajadas por usuario;Tempo medio de engajamento;Contagem de eventos;Conversoes;Receita total
Organic Search;20240409;75;68;0.7157894736842105;0.7816091954022989;45.02298850574713;773;0;0
Organic Search;20240413;73;84;0.7777777777777778;0.9882352941176471;143.10588235294117;1581;0;0
Organic Search;20240410;57;71;0.797752808988764;1;359.5211267605634;1870;0;0
Organic Search;20240412;50;55;0.7638888888888888;0.859375;118.96875;1710;0;0
Organic Search;20240414;37;42;0.7368421052631579;0.8936170212765957;215.06382978723406;1034;0;0
Organic Search;20240411;30;43;0.7678571428571429;0.9555555555555556;116.28888888888889;773;0;0
Organic Search;20240408;26;44;0.8301886792452831;1.2571428571428571;207.25714285714287;992;0;0
Direct;20240409;23;65;0.7738095238095238;1.1607142857142858;194.32142857142858;1792;0;0
Direct;20240410;14;61;0.7530864197530864;1.1090909090909091;257.4909090909091;2016;0;0
Direct;20240414;14;39;0.7647058823529411;1.2580645161290323;315.4193548387097;1163;0;0
Direct;20240413;12;42;0.7636363636363637;1;236.4047619047619;1259;0;0
Direct;20240408;11;53;0.7910447761194029;1.358974358974359;177.66666666666666;1182;0;0
Direct;20240411;9;36;0.7659574468085106;1.0285714285714285;227.31428571428572;1391;0;0
Direct;20240412;8;32;0.8;1.2307692307692308;376.4230769230769;1683;0;0
Organic Social;20240408;1;1;1;1;0;4;0;0
Organic Social;20240409;1;0;0;0;6;4;0;0
Referral;20240409;1;3;1;1.5;197.5;74;0;0
Referral;20240411;1;2;0.5;1;172.5;53;0;0
Referral;20240413;1;1;1;1;16;4;0;0
Organic Social;20240410;0;0;0;0;0;2;0;0
Referral;20240408;0;1;1;1;4;7;0;0
Referral;20240410;0;1;1;1;36;14;0;0
