# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
#  
# Data de inicio: 20240429
# Data de termino: 20240505
Nº dia;Novos usuarios
0000;60
0001;60
0002;117
0003;50
0004;48
0005;103
0006;44

# Data de inicio: 20240429
# Data de termino: 20240505
Nº dia;Usuarios recorrentes
0000;43
0001;49
0002;55
0003;61
0004;56
0005;70
0006;36

#  
# Data de inicio: 20240429
# Data de termino: 20240505
Coorte;Dia 1;Dia 7
0;0.016666666666666666;0
1;0.03333333333333333;0
2;0.02608695652173913;0
3;0.02040816326530612;0
4;0.0625;0
5;0.019417475728155338;0
6;0;0

#  
# Data de inicio: 20240429
# Data de termino: 20240505
Coorte;Dia 1;Dia 7
0;447;0
1;124.5;0
2;133;0
3;67;0
4;187.33333333333334;0
5;70;0
6;0;0

#  
# Data de inicio: 20240325
# Data de termino: 20240505
Coorte;Usuarios
0000;1
0001;0.02586549940310386
0002;0.014985824220332119
0003;0.008875739644970414
0004;0.014667817083692839
0005;0.007933010136624064
0006;0.007892293407613741
0007;0.0071633237822349575
0008;0.00983284169124877
0009;0.006742738589211619
0010;0.0048
0011;0.004966887417218543
0012;0.005955926146515783
0013;0.004944375772558714
0014;0.0076677316293929714
0015;0.004657351962741184
0016;0.0027643400138217
0017;0.004402054292002935
0018;0.00847457627118644
0019;0.005608974358974359
0020;0.00590717299578059
0021;0.005449591280653951
0022;0.007582938388625593
0023;0.00796812749003984
0024;0.00544069640914037
0025;0.003484320557491289
0026;0.0036540803897685747
0027;0.0039946737683089215
0028;0.006144393241167435
0029;0.004893964110929853
0030;0.0017482517482517483
0031;0.003669724770642202
0032;0.009765625
0033;0.008547008547008548
0034;0
0035;0
0036;0.009966777408637873
0037;0.00784313725490196
0038;0.009478672985781991
0039;0.006289308176100629
0040;0.00909090909090909
0041;0

#  
# Data de inicio: 20240325
# Data de termino: 20240505
Coorte;Tempo medio de engajamento
0000;79.0196701415358
0001;264.10515873015873
0002;194.16666666666666
0003;306.875
0004;160.46581196581195
0005;63.1578947368421
0006;79.25225225225226
0007;60.28240740740742
0008;58.00476190476191
0009;37.36764705882353
0010;110.48484848484848
0011;50.640625
0012;41.41935483870968
0013;43.46666666666667
0014;34.43103448275862
0015;27.107142857142858
0016;26.85185185185185
0017;35.07692307692308
0018;54.79333333333334
0019;41.375
0020;27.82608695652174
0021;111.6590909090909
0022;59.357142857142854
0023;91.975
0024;17.342105263157894
0025;2.7777777777777777
0026;16
0027;9.8125
0028;24.4
0029;40.25
0030;1.5384615384615385
0031;3.9166666666666665
0032;66.9090909090909
0033;22.4
0034;0
0035;0
0036;100.14285714285714
0037;45.833333333333336
0038;23
0039;13.5
0040;67
0041;0

#  
# Data de inicio: 20240107
# Data de termino: 20240505
Coorte;LTV
0000;0
0001;0
0002;0
0003;0
0004;0
0005;0
0006;0
0007;0
0008;0
0009;0
0010;0
0011;0
0012;0
0013;0
0014;0
0015;0
0016;0
0017;0
0018;0
0019;0
0020;0
0021;0
0022;0
0023;0
0024;0
0025;0
0026;0
0027;0
0028;0
0029;0
0030;0
0031;0
0032;0
0033;0
0034;0
0035;0
0036;0
0037;0
0038;0
0039;0
0040;0
0041;0
0042;0
0043;0
0044;0
0045;0
0046;0
0047;0
0048;0
0049;0
0050;0
0051;0
0052;0
0053;0
0054;0
0055;0
0056;0
0057;0
0058;0
0059;0
0060;0
0061;0
0062;0
0063;0
0064;0
0065;0
0066;0
0067;0
0068;0
0069;0
0070;0
0071;0
0072;0
0073;0
0074;0
0075;0
0076;0
0077;0
0078;0
0079;0
0080;0
0081;0
0082;0
0083;0
0084;0
0085;0
0086;0
0087;0
0088;0
0089;0
0090;0
0091;0
0092;0
0093;0
0094;0
0095;0
0096;0
0097;0
0098;0
0099;0
0100;0
0101;0
0102;0
0103;0
0104;0
0105;0
0106;0
0107;0
0108;0
0109;0
0110;0
0111;0
0112;0
0113;0
0114;0
0115;0
0116;0
0117;0
0118;0
0119;0
