Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Rio Grande do Sul;20230810;3;2;5;5;2023-08-10
Santa Catarina;20230828;3;0;3;3;2023-08-28
Sao Paulo;20230806;3;10;13;13;2023-08-06
Sao Paulo;20230808;3;15;17;17;2023-08-08
Sao Paulo;20230816;3;6;9;9;2023-08-16
Sao Paulo;20230823;3;9;12;12;2023-08-23
Sao Paulo;20230824;3;21;25;24;2023-08-24
Sao Paulo;20230906;3;8;11;11;2023-09-06
Sao Paulo;20230909;3;4;8;8;2023-09-09
Sao Paulo;20230910;3;8;10;10;2023-09-10
Sao Paulo;20230911;3;7;10;10;2023-09-11
(not set);20230808;2;1;3;3;2023-08-08
Federal District;20230806;2;6;7;7;2023-08-06
Federal District;20230811;2;3;5;5;2023-08-11
Federal District;20230812;2;0;2;2;2023-08-12
Federal District;20230815;2;2;4;4;2023-08-15
Federal District;20230823;2;4;7;6;2023-08-23
Federal District;20230824;2;4;6;6;2023-08-24
Federal District;20230830;2;2;5;4;2023-08-30
Federal District;20230907;2;1;3;3;2023-09-07
Federal District;20230910;2;0;2;2;2023-09-10
Federal District;20230918;2;4;6;6;2023-09-18
Lisbon;20230809;2;0;2;2;2023-08-09
Lisbon;20230825;2;0;2;2;2023-08-25
Lisbon;20230828;2;0;2;2;2023-08-28
Ontario;20230915;2;1;3;3;2023-09-15
Alagoas;20230821;2;2;3;3;2023-08-21
Alagoas;20230829;2;0;2;2;2023-08-29
Alagoas;20230831;2;1;2;2;2023-08-31
Alagoas;20230902;2;0;2;2;2023-09-02
Alagoas;20230905;2;0;2;2;2023-09-05
Bahia;20230813;2;3;4;4;2023-08-13
Bahia;20230814;2;2;3;3;2023-08-14
Bahia;20230829;2;4;6;6;2023-08-29
Bahia;20230907;2;2;4;4;2023-09-07
Ceara;20230806;2;0;2;2;2023-08-06
Ceara;20230810;2;3;4;4;2023-08-10
Ceara;20230811;2;1;3;3;2023-08-11
Ceara;20230812;2;2;4;3;2023-08-12
Ceara;20230903;2;1;3;3;2023-09-03
Espirito Santo;20230809;2;2;4;4;2023-08-09
Espirito Santo;20230810;2;4;6;6;2023-08-10
Espirito Santo;20230815;2;0;2;2;2023-08-15
Espirito Santo;20230819;2;4;5;5;2023-08-19
Espirito Santo;20230820;2;2;4;4;2023-08-20
Espirito Santo;20230822;2;1;3;3;2023-08-22
Espirito Santo;20230825;2;2;4;4;2023-08-25
Espirito Santo;20230828;2;0;2;2;2023-08-28
Espirito Santo;20230906;2;0;2;2;2023-09-06
Espirito Santo;20230918;2;1;2;2;2023-09-18
Mato Grosso do Sul;20230908;2;0;2;2;2023-09-08
Minas Gerais;20230805;2;8;11;11;2023-08-05
Minas Gerais;20230811;2;2;6;4;2023-08-11
Minas Gerais;20230817;2;1;4;3;2023-08-17
Minas Gerais;20230819;2;5;6;6;2023-08-19
Minas Gerais;20230822;2;4;6;6;2023-08-22
Minas Gerais;20230827;2;5;7;7;2023-08-27
Minas Gerais;20230903;2;2;4;4;2023-09-03
Minas Gerais;20230905;2;3;5;5;2023-09-05
Minas Gerais;20230908;2;2;5;5;2023-09-08
Minas Gerais;20230912;2;1;3;3;2023-09-12
Minas Gerais;20230914;2;4;6;6;2023-09-14
Minas Gerais;20230915;2;7;7;7;2023-09-15
Minas Gerais;20230916;2;3;5;4;2023-09-16
Para;20230809;2;0;2;2;2023-08-09
Para;20230825;2;1;3;3;2023-08-25
Paraiba;20230804;2;2;3;3;2023-08-04
Paraiba;20230825;2;0;2;2;2023-08-25
Parana;20230829;2;4;5;5;2023-08-29
Parana;20230830;2;5;6;6;2023-08-30
Parana;20230831;2;4;6;5;2023-08-31
Parana;20230903;2;1;3;3;2023-09-03
Parana;20230905;2;1;3;3;2023-09-05
Parana;20230913;2;1;3;3;2023-09-13
Parana;20230917;2;1;3;3;2023-09-17
Piaui;20230827;2;0;2;2;2023-08-27
Rio Grande do Sul;20230807;2;4;7;7;2023-08-07
Rio Grande do Sul;20230824;2;1;4;4;2023-08-24
Rio Grande do Sul;20230826;2;3;5;5;2023-08-26
Rio Grande do Sul;20230827;2;0;2;2;2023-08-27
Rio Grande do Sul;20230904;2;2;4;4;2023-09-04
Rio Grande do Sul;20230905;2;2;4;4;2023-09-05
Rio Grande do Sul;20230912;2;0;2;2;2023-09-12
Santa Catarina;20230805;2;2;3;3;2023-08-05
Santa Catarina;20230811;2;1;3;3;2023-08-11
Santa Catarina;20230813;2;1;3;3;2023-08-13
Santa Catarina;20230825;2;3;4;4;2023-08-25
Santa Catarina;20230918;2;0;2;2;2023-09-18
Sao Paulo;20230803;2;8;8;8;2023-08-03
Sao Paulo;20230804;2;7;9;8;2023-08-04
Sao Paulo;20230805;2;14;17;16;2023-08-05
Sao Paulo;20230807;2;6;8;8;2023-08-07
Sao Paulo;20230815;2;5;7;7;2023-08-15
Sao Paulo;20230817;2;6;7;7;2023-08-17
Sao Paulo;20230819;2;6;9;8;2023-08-19
Sao Paulo;20230820;2;11;12;12;2023-08-20
Sao Paulo;20230821;2;6;7;7;2023-08-21
Sao Paulo;20230822;2;15;18;16;2023-08-22
Sao Paulo;20230904;2;4;6;6;2023-09-04
Sao Paulo;20230913;2;6;9;8;2023-09-13
Sao Paulo;20230915;2;18;20;20;2023-09-15
Ulyanovsk Oblast;20230807;2;0;2;2;2023-08-07
(not set);20230807;1;1;3;3;2023-08-07
(not set);20230809;1;2;3;3;2023-08-09
(not set);20230810;1;0;2;2;2023-08-10
(not set);20230819;1;1;1;1;2023-08-19
(not set);20230824;1;0;1;1;2023-08-24
(not set);20230828;1;1;2;2;2023-08-28
(not set);20230830;1;2;2;2;2023-08-30
(not set);20230901;1;0;1;1;2023-09-01
(not set);20230904;1;0;1;1;2023-09-04
(not set);20230909;1;0;1;1;2023-09-09
(not set);20230911;1;2;3;3;2023-09-11
Alberta;20230831;1;0;1;1;2023-08-31
Bavaria;20230828;1;0;1;1;2023-08-28
Buenos Aires;20230915;1;1;1;1;2023-09-15
Central Department;20230831;1;0;1;1;2023-08-31
Cordoba;20230822;1;0;1;1;2023-08-22
Emilia-Romagna;20230805;1;0;1;1;2023-08-05
Emilia-Romagna;20230819;1;0;1;1;2023-08-19
Emilia-Romagna;20230826;1;0;1;1;2023-08-26
England;20230914;1;1;1;1;2023-09-14
England;20230915;1;2;2;2;2023-09-15
England;20230918;1;1;1;1;2023-09-18
Federal District;20230803;1;2;2;2;2023-08-03
Federal District;20230804;1;3;3;3;2023-08-04
Federal District;20230807;1;5;7;6;2023-08-07
Federal District;20230808;1;6;7;7;2023-08-08
Federal District;20230810;1;7;8;8;2023-08-10
Federal District;20230814;1;2;3;3;2023-08-14
Federal District;20230818;1;3;3;3;2023-08-18
Federal District;20230819;1;5;6;5;2023-08-19
Federal District;20230829;1;3;4;4;2023-08-29
Federal District;20230909;1;1;2;2;2023-09-09
Federal District;20230913;1;1;2;2;2023-09-13
Federal District;20230917;1;0;2;1;2023-09-17
Georgia;20230827;1;0;1;1;2023-08-27
Ile-de-France;20230917;1;0;1;1;2023-09-17
Lazio;20230908;1;0;1;1;2023-09-08
Lisbon;20230807;1;0;1;1;2023-08-07
Lisbon;20230813;1;0;1;1;2023-08-13
Lisbon;20230817;1;1;1;1;2023-08-17
Lisbon;20230819;1;0;2;1;2023-08-19
Lisbon;20230823;1;0;1;1;2023-08-23
Lisbon;20230824;1;0;1;1;2023-08-24
Lisbon;20230901;1;0;1;1;2023-09-01
Lisbon;20230911;1;0;1;1;2023-09-11
Lombardy;20230806;1;1;1;1;2023-08-06
Lombardy;20230828;1;0;1;1;2023-08-28
Lombardy;20230908;1;0;1;1;2023-09-08
Lombardy;20230911;1;0;1;1;2023-09-11
Lombardy;20230917;1;0;1;1;2023-09-17
Massachusetts;20230823;1;1;1;1;2023-08-23
Massachusetts;20230825;1;0;1;1;2023-08-25
Massachusetts;20230827;1;0;1;1;2023-08-27
Massachusetts;20230901;1;0;1;1;2023-09-01
Massachusetts;20230902;1;0;1;1;2023-09-02
Massachusetts;20230903;1;0;1;1;2023-09-03
Massachusetts;20230904;1;0;1;1;2023-09-04
Massachusetts;20230905;1;0;1;1;2023-09-05
Massachusetts;20230908;1;0;1;1;2023-09-08
Massachusetts;20230913;1;0;1;1;2023-09-13
Massachusetts;20230917;1;0;1;1;2023-09-17
Mexico City;20230824;1;0;1;1;2023-08-24
New York;20230916;1;1;1;1;2023-09-16
North Sumatra;20230828;1;0;1;1;2023-08-28
Nouvelle-Aquitaine;20230825;1;1;1;1;2023-08-25
Nouvelle-Aquitaine;20230908;1;1;1;1;2023-09-08
Nouvelle-Aquitaine;20230910;1;1;1;1;2023-09-10
Ontario;20230908;1;1;1;1;2023-09-08
Ontario;20230914;1;0;1;1;2023-09-14
Pichincha;20230904;1;1;1;1;2023-09-04
Porto District;20230816;1;0;1;1;2023-08-16
Porto District;20230904;1;1;1;1;2023-09-04
Porto District;20230906;1;1;2;2;2023-09-06
Porto District;20230907;1;0;1;1;2023-09-07
Porto District;20230908;1;0;1;1;2023-09-08
Porto District;20230914;1;0;1;1;2023-09-14
Republic of Bashkortostan;20230806;1;0;1;1;2023-08-06
Republic of Bashkortostan;20230807;1;0;1;1;2023-08-07
Santa Cruz Province;20230808;1;1;1;1;2023-08-08
Sardinia;20230908;1;0;1;1;2023-09-08
Acre;20230821;1;1;1;1;2023-08-21
Alagoas;20230812;1;1;1;1;2023-08-12
Alagoas;20230815;1;0;1;1;2023-08-15
Alagoas;20230816;1;0;1;1;2023-08-16
Alagoas;20230817;1;0;1;1;2023-08-17
Alagoas;20230818;1;0;1;1;2023-08-18
Alagoas;20230819;1;0;1;1;2023-08-19
Alagoas;20230820;1;0;1;1;2023-08-20
Alagoas;20230823;1;0;1;1;2023-08-23
Alagoas;20230825;1;0;1;1;2023-08-25
Alagoas;20230826;1;0;1;1;2023-08-26
Alagoas;20230830;1;0;1;1;2023-08-30
Alagoas;20230901;1;0;1;1;2023-09-01
Alagoas;20230903;1;1;2;2;2023-09-03
Alagoas;20230904;1;0;1;1;2023-09-04
Alagoas;20230907;1;1;2;2;2023-09-07
Alagoas;20230911;1;2;3;3;2023-09-11
Alagoas;20230912;1;0;1;1;2023-09-12
Amazonas;20230817;1;1;1;1;2023-08-17
Amazonas;20230825;1;1;1;1;2023-08-25
Amazonas;20230831;1;2;3;3;2023-08-31
Amazonas;20230903;1;1;1;1;2023-09-03
Amazonas;20230904;1;0;2;2;2023-09-04
Amazonas;20230912;1;1;3;3;2023-09-12
Amazonas;20230913;1;1;3;3;2023-09-13
Bahia;20230803;1;4;4;4;2023-08-03
Bahia;20230804;1;3;3;3;2023-08-04
Bahia;20230806;1;1;2;2;2023-08-06
Bahia;20230807;1;1;2;2;2023-08-07
