Cidade;Data;Usuarios;Novos usuarios;Total;DT
Sao Paulo;20230816;6;3;9;2023-08-16
Sao Paulo;20230830;6;5;11;2023-08-30
Sao Paulo;20230918;6;5;11;2023-09-18
(not set);20230815;5;5;10;2023-08-15
(not set);20230905;5;4;9;2023-09-05
(not set);20230906;5;3;8;2023-09-06
(not set);20230909;5;3;8;2023-09-09
(not set);20230918;5;4;9;2023-09-18
Brasilia;20230813;5;4;9;2023-08-13
Brasilia;20230819;5;5;10;2023-08-19
Brasilia;20230826;5;1;6;2023-08-26
Brasilia;20230903;5;1;6;2023-09-03
Brasilia;20230911;5;2;7;2023-09-11
Niteroi;20230808;5;3;8;2023-08-08
Niteroi;20230816;5;4;9;2023-08-16
Niteroi;20230821;5;4;9;2023-08-21
Sao Paulo;20230803;5;5;10;2023-08-03
Sao Paulo;20230829;5;4;9;2023-08-29
Sao Paulo;20230906;5;5;10;2023-09-06
Sao Paulo;20230908;5;4;9;2023-09-08
Sao Paulo;20230910;5;4;9;2023-09-10
Sao Paulo;20230912;5;4;9;2023-09-12
(not set);20230814;4;3;7;2023-08-14
(not set);20230816;4;3;7;2023-08-16
(not set);20230829;4;3;7;2023-08-29
(not set);20230904;4;2;6;2023-09-04
(not set);20230908;4;4;8;2023-09-08
(not set);20230910;4;4;8;2023-09-10
(not set);20230911;4;3;7;2023-09-11
(not set);20230914;4;4;8;2023-09-14
Belem;20230908;4;3;7;2023-09-08
Brasilia;20230806;4;4;8;2023-08-06
Brasilia;20230811;4;2;6;2023-08-11
Brasilia;20230815;4;2;6;2023-08-15
Brasilia;20230827;4;1;5;2023-08-27
Brasilia;20230829;4;3;7;2023-08-29
Brasilia;20230830;4;2;6;2023-08-30
Curitiba;20230830;4;3;7;2023-08-30
Fortaleza;20230810;4;3;7;2023-08-10
Fortaleza;20230831;4;3;7;2023-08-31
Juiz de Fora;20230827;4;3;7;2023-08-27
Juiz de Fora;20230828;4;0;4;2023-08-28
Niteroi;20230803;4;4;8;2023-08-03
Niteroi;20230806;4;2;6;2023-08-06
Niteroi;20230809;4;1;5;2023-08-09
Niteroi;20230811;4;2;6;2023-08-11
Niteroi;20230813;4;4;8;2023-08-13
Niteroi;20230904;4;0;4;2023-09-04
Niteroi;20230908;4;2;6;2023-09-08
Niteroi;20230913;4;1;5;2023-09-13
Niteroi;20230914;4;2;6;2023-09-14
Salvador;20230829;4;2;6;2023-08-29
Sao Goncalo;20230907;4;2;6;2023-09-07
Sao Goncalo;20230910;4;1;5;2023-09-10
Sao Paulo;20230812;4;4;8;2023-08-12
Sao Paulo;20230817;4;3;7;2023-08-17
Sao Paulo;20230819;4;2;6;2023-08-19
Sao Paulo;20230913;4;4;8;2023-09-13
(not set);20230811;3;3;6;2023-08-11
(not set);20230817;3;3;6;2023-08-17
(not set);20230822;3;2;5;2023-08-22
(not set);20230823;3;2;5;2023-08-23
(not set);20230830;3;2;5;2023-08-30
Belem;20230918;3;2;5;2023-09-18
Belo Horizonte;20230808;3;3;6;2023-08-08
Belo Horizonte;20230813;3;3;6;2023-08-13
Brasilia;20230804;3;3;6;2023-08-04
Brasilia;20230814;3;2;5;2023-08-14
Brasilia;20230816;3;0;3;2023-08-16
Brasilia;20230817;3;3;6;2023-08-17
Brasilia;20230818;3;3;6;2023-08-18
Brasilia;20230907;3;1;4;2023-09-07
Brasilia;20230908;3;0;3;2023-09-08
Campinas;20230824;3;2;5;2023-08-24
Curitiba;20230821;3;2;5;2023-08-21
Curitiba;20230829;3;2;5;2023-08-29
Curitiba;20230831;3;2;5;2023-08-31
Duque de Caxias;20230827;3;2;5;2023-08-27
Duque de Caxias;20230831;3;1;4;2023-08-31
Fortaleza;20230811;3;1;4;2023-08-11
Fortaleza;20230903;3;1;4;2023-09-03
Goiania;20230819;3;3;6;2023-08-19
Juiz de Fora;20230809;3;1;4;2023-08-09
Juiz de Fora;20230820;3;0;3;2023-08-20
Juiz de Fora;20230824;3;1;4;2023-08-24
Manaus;20230831;3;2;5;2023-08-31
Manaus;20230912;3;1;4;2023-09-12
Marica;20230813;3;3;6;2023-08-13
Niteroi;20230804;3;3;6;2023-08-04
Niteroi;20230805;3;3;6;2023-08-05
Niteroi;20230807;3;1;4;2023-08-07
Niteroi;20230817;3;1;4;2023-08-17
Niteroi;20230818;3;2;5;2023-08-18
Niteroi;20230819;3;3;6;2023-08-19
Niteroi;20230820;3;0;3;2023-08-20
Niteroi;20230826;3;1;4;2023-08-26
Niteroi;20230829;3;0;3;2023-08-29
Niteroi;20230830;3;1;4;2023-08-30
Niteroi;20230831;3;1;4;2023-08-31
Niteroi;20230906;3;1;4;2023-09-06
Niteroi;20230912;3;3;6;2023-09-12
Niteroi;20230918;3;0;3;2023-09-18
Nova Friburgo;20230823;3;2;5;2023-08-23
Nova Iguacu;20230825;3;2;5;2023-08-25
Nova Iguacu;20230830;3;2;5;2023-08-30
Nova Iguacu;20230915;3;2;5;2023-09-15
Petropolis;20230828;3;2;5;2023-08-28
Petropolis;20230918;3;0;3;2023-09-18
Recife;20230918;3;2;5;2023-09-18
Salvador;20230804;3;3;6;2023-08-04
Salvador;20230824;3;2;5;2023-08-24
Salvador;20230906;3;1;4;2023-09-06
Salvador;20230915;3;1;4;2023-09-15
Sao Goncalo;20230820;3;3;6;2023-08-20
Sao Goncalo;20230824;3;1;4;2023-08-24
Sao Goncalo;20230825;3;2;5;2023-08-25
Sao Goncalo;20230906;3;2;5;2023-09-06
Sao Goncalo;20230912;3;2;5;2023-09-12
Sao Goncalo;20230914;3;1;4;2023-09-14
Sao Joao de Meriti;20230821;3;3;6;2023-08-21
Sao Paulo;20230807;3;1;4;2023-08-07
Sao Paulo;20230821;3;2;5;2023-08-21
Vila Velha;20230916;3;2;5;2023-09-16
(not set);20230803;2;1;3;2023-08-03
(not set);20230818;2;2;4;2023-08-18
Araraquara;20230904;2;1;3;2023-09-04
Araruama;20230916;2;2;4;2023-09-16
Areal;20230903;2;2;4;2023-09-03
Barbacena;20230819;2;2;4;2023-08-19
Belem;20230805;2;2;4;2023-08-05
Belem;20230807;2;1;3;2023-08-07
Belem;20230901;2;1;3;2023-09-01
Belem;20230912;2;2;4;2023-09-12
Belem;20230914;2;2;4;2023-09-14
Belem;20230915;2;1;3;2023-09-15
Belem;20230916;2;1;3;2023-09-16
Belford Roxo;20230831;2;2;4;2023-08-31
Belo Horizonte;20230804;2;1;3;2023-08-04
Belo Horizonte;20230819;2;2;4;2023-08-19
Belo Horizonte;20230820;2;1;3;2023-08-20
Belo Horizonte;20230823;2;1;3;2023-08-23
Belo Horizonte;20230825;2;2;4;2023-08-25
Belo Horizonte;20230826;2;1;3;2023-08-26
Belo Horizonte;20230901;2;2;4;2023-09-01
Belo Horizonte;20230904;2;1;3;2023-09-04
Belo Horizonte;20230905;2;2;4;2023-09-05
Belo Horizonte;20230914;2;1;3;2023-09-14
Blumenau;20230822;2;2;4;2023-08-22
