Título;Extenso;Sessões;Usuários;Novos usuários;Data
Especiais Jogos;20230805;6;5;0;05/08/2023
Fluminense 2 X 0 Argentino Juniors;20230808;6;5;0;08/08/2023
Fluminense 3 X 1 Toluca;20230804;6;4;4;04/08/2023
Fluminense x Cuiaba-MT;20230806;6;6;0;06/08/2023
Fluminense x Flamengo-RJ;20230806;6;6;0;06/08/2023
Fluminense x Olimpia-Paraguai;20230809;6;5;0;09/08/2023
Fluminense x Vasco-RJ;20230804;6;4;0;04/08/2023
German Cano 2023;20230804;6;4;1;04/08/2023
Gremio 4 X 5 Fluminense;20230812;6;4;0;12/08/2023
Jhon Arias 2023;20230806;6;6;0;06/08/2023
Mascotes;20230808;6;6;5;08/08/2023
Todos os jogos de Adversario;20230806;6;4;0;06/08/2023
Arbitros;20230810;6;6;0;10/08/2023
Argentino Juniors 1 X 1 Fluminense;20230808;5;3;0;08/08/2023
Campeonatos;20230804;5;5;0;04/08/2023
Danielzinho 2023;20230809;5;5;0;09/08/2023
Especiais Adversarios;20230807;5;5;0;07/08/2023
Especiais Campeonatos;20230807;5;5;0;07/08/2023
Especiais Campeonatos;20230808;5;5;0;08/08/2023
Especiais Campeonatos;20230809;5;4;0;09/08/2023
Especiais Estadios;20230806;5;5;0;06/08/2023
Especiais Estadios;20230809;5;5;0;09/08/2023
Especiais Gerais;20230809;5;5;0;09/08/2023
Especiais Jogadores;20230803;5;5;0;03/08/2023
Especiais Jogadores;20230804;5;5;0;04/08/2023
Especiais Jogos;20230808;5;3;0;08/08/2023
Especiais Jogos;20230809;5;5;0;09/08/2023
Fluminense 0 X 1 Argentino Juniors;20230807;5;5;2;07/08/2023
Fluminense 0 X 1 Argentinos Juniors;20230809;5;5;5;09/08/2023
Fluminense 1 X 0 Bayern de Munique;20230806;5;4;4;06/08/2023
Fluminense 2 X 0 Argentinos Juniors;20230809;5;5;0;09/08/2023
Fluminense 2 X 0 Argentinos Juniors;20230810;5;5;0;10/08/2023
Fluminense 2 X 1 Palmeiras;20230807;5;3;0;07/08/2023
Fluminense 2 X 3 ABC;20230810;5;5;4;10/08/2023
Fluminense x Botafogo-RJ;20230807;5;3;0;07/08/2023
Fluminense x Flamengo-RJ;20230804;5;4;0;04/08/2023
Fluminense x Gremio-RS;20230807;5;4;0;07/08/2023
Fluminense x Gremio-RS;20230809;5;4;0;09/08/2023
Fabio 2023;20230808;5;5;0;08/08/2023
German Cano 2023;20230807;5;4;0;07/08/2023
Graficos;20230803;5;5;0;03/08/2023
Graficos;20230809;5;5;0;09/08/2023
Informacoes Gerais;20230803;5;5;0;03/08/2023
Informacoes Gerais;20230805;5;4;0;05/08/2023
Informacoes Gerais;20230807;5;5;0;07/08/2023
Jogador x Campeonato;20230810;5;4;0;10/08/2023
John Kennedy 2023;20230807;5;4;0;07/08/2023
Kashima Antlers 2 X 0 Fluminense;20230804;5;2;2;04/08/2023
Maiores Artilheiros;20230803;5;5;0;03/08/2023
Mais jogos no elenco atual;20230806;5;5;0;06/08/2023
Mais jogos no elenco atual;20230808;5;4;0;08/08/2023
Mais jogos no elenco atual;20230809;5;3;0;09/08/2023
Marcelo 2023;20230806;5;4;0;06/08/2023
Proximos Jogos;20230811;5;4;0;11/08/2023
Ramon Abatti Abel;20230805;5;4;0;05/08/2023
Rio Cricket 1 X 7 Fluminense;20230810;5;5;0;10/08/2023
Samuel Xavier 2023;20230811;5;5;1;11/08/2023
Tec - Fernando Diniz;20230803;5;4;0;03/08/2023
Ultimos Jogos;20230811;5;3;0;11/08/2023
Adversario x Campeonato;20230806;4;2;0;06/08/2023
America 0 X 2 Fluminense;20230807;4;3;0;07/08/2023
Artilheiros Estrangeiros;20230806;4;4;0;06/08/2023
Artilheiros no(a) Libertadores da America;20230811;4;4;0;11/08/2023
Brunel 1975;20230804;4;4;4;04/08/2023
Brunel 1975;20230807;4;3;3;07/08/2023
Curiosidades e Titulos;20230803;4;4;0;03/08/2023
Danielzinho 2023;20230808;4;4;0;08/08/2023
Defensores del Chaco;20230811;4;4;0;11/08/2023
Defensores del Chaco;20230812;4;3;0;12/08/2023
Especiais Adversarios;20230804;4;4;0;04/08/2023
Especiais Adversarios;20230808;4;4;0;08/08/2023
Especiais Campeonatos;20230803;4;3;0;03/08/2023
Especiais Estadios;20230804;4;4;0;04/08/2023
Especiais Gerais;20230807;4;4;0;07/08/2023
Especiais Gerais;20230812;4;4;0;12/08/2023
Especiais Jogos;20230803;4;3;0;03/08/2023
Especiais Jogos;20230810;4;3;0;10/08/2023
Especiais Tecnico;20230806;4;4;0;06/08/2023
Estadios;20230803;4;4;0;03/08/2023
Estadios;20230804;4;4;0;04/08/2023
