Título;Extenso;Sessões;Usuários;Novos usuários;Data
Fluminense x Selecao Argelia-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Bulgaria-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Camaroes-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Chile-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Coreia-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao El Salvador-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Emirados-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Fluminense-CS;20230808;1;1;0;08/08/2023
Fluminense x Selecao Italia-CS;20230806;1;1;0;06/08/2023
Fluminense x Selecao Italia-CS;20230808;1;1;0;08/08/2023
Fluminense x Selecao Italia-CS;20230809;1;1;0;09/08/2023
Fluminense x Selecao Japao-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Kuwait-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Nigeria-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Olimpica da Hungria-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Olimpica URSS-CS;20230808;1;1;0;08/08/2023
Fluminense x Selecao Olimpica URSS-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Paraguai-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Peru-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Russia-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Senegal-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Suriname-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Suecia-CS;20230808;1;1;0;08/08/2023
Fluminense x Selecao Suecia-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Sao Paulo-SP;20230808;1;1;0;08/08/2023
Fluminense x Selecao Sao Paulo-SP;20230812;1;1;0;12/08/2023
Fluminense x Selecao Turquia-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Uruguai-CS;20230810;1;1;0;10/08/2023
Fluminense x Selecao Zambia-CS;20230810;1;1;0;10/08/2023
Fluminense x Servette-Suica;20230808;1;1;0;08/08/2023
Fluminense x Shakhtar Donetsk-Ucrania;20230808;1;1;0;08/08/2023
Fluminense x Shooting Star-Nigeria;20230808;1;1;0;08/08/2023
Fluminense x Sinop-MT;20230806;1;1;0;06/08/2023
Fluminense x Southampton-Inglaterra;20230808;1;1;0;08/08/2023
Fluminense x Spal-Italia;20230808;1;1;0;08/08/2023
Fluminense x Sport-PE;20230806;1;1;0;06/08/2023
Fluminense x Sport-PE;20230808;1;1;0;08/08/2023
Fluminense x Sporting Cristal-Peru;20230804;1;1;0;04/08/2023
Fluminense x Sporting Cristal-Peru;20230806;1;1;0;06/08/2023
Fluminense x Sporting Cristal-Peru;20230807;1;1;0;07/08/2023
Fluminense x Sporting Cristal-Peru;20230808;1;1;0;08/08/2023
Fluminense x Sporting Cristal-Peru;20230812;1;1;0;12/08/2023
Fluminense x Sporting Gijon-Espanha;20230808;1;1;0;08/08/2023
Fluminense x Sporting Luanda-Angola;20230808;1;1;0;08/08/2023
Fluminense x Sporting-Portugal;20230808;1;1;0;08/08/2023
Fluminense x Sportivo LuqueÃ±o-Paraguai;20230808;1;1;0;08/08/2023
Fluminense x Standard Liege-Belgica;20230808;1;1;0;08/08/2023
Fluminense x Stationery Store-Nigeria;20230808;1;1;0;08/08/2023
Fluminense x Sucre-Peru;20230808;1;1;0;08/08/2023
Fluminense x Sao Caetano-SP;20230808;1;1;0;08/08/2023
Fluminense x Sao Caetano-SP;20230809;1;1;0;09/08/2023
Fluminense x Sao Cristovao-RJ;20230805;1;1;1;05/08/2023
Fluminense x Sao Cristovao-RJ;20230806;1;1;0;06/08/2023
Fluminense x Sao Cristovao-RJ;20230812;1;1;0;12/08/2023
Fluminense x Sao Paulo-SP;20230803;1;1;0;03/08/2023
Fluminense x Sao Paulo-SP;20230805;1;1;0;05/08/2023
Fluminense x Sao Paulo-SP;20230807;1;1;0;07/08/2023
Fluminense x Sao Paulo-SP;20230808;1;1;0;08/08/2023
Fluminense x Sao Paulo-SP;20230809;1;1;0;09/08/2023
Fluminense x Sao Paulo-SP;20230812;1;1;0;12/08/2023
Fluminense x Sao Raimundo-AM;20230804;1;1;1;04/08/2023
Fluminense x Sao Raimundo-AM;20230805;1;1;1;05/08/2023
Fluminense x Sao Raimundo-AM;20230806;1;1;1;06/08/2023
Fluminense x Sao Raimundo-AM;20230808;1;1;1;08/08/2023
Fluminense x Sao Raimundo-AM;20230809;1;1;1;09/08/2023
Fluminense x Sao Raimundo-AM;20230812;1;1;1;12/08/2023
Fluminense x Tampico-Mexico;20230808;1;1;0;08/08/2023
Fluminense x Tanta-Egito;20230808;1;1;0;08/08/2023
Fluminense x Tarancon-Espanha;20230808;1;1;0;08/08/2023
Fluminense x The Strongest-Bolivia;20230808;1;1;0;08/08/2023
Fluminense x The Strongest-Bolivia;20230812;1;1;0;12/08/2023
Fluminense x Tigres-RJ;20230807;1;1;0;07/08/2023
Fluminense x Tip Nac-Guatemala;20230808;1;1;0;08/08/2023
Fluminense x Toluca-Mexico;20230808;1;1;0;08/08/2023
Fluminense x Torino-Italia;20230808;1;1;0;08/08/2023
Fluminense x Transwall-Suriname;20230808;1;1;0;08/08/2023
Fluminense x Transwall-Suriname;20230810;1;1;0;10/08/2023
Fluminense x Treze-PB;20230806;1;1;1;06/08/2023
Fluminense x Treze-PB;20230811;1;1;1;11/08/2023
Fluminense x Troyes-Franca;20230808;1;1;0;08/08/2023
Fluminense x Tuna Luso-PA;20230809;1;1;0;09/08/2023
Fluminense x Tupi-MG;20230812;1;1;0;12/08/2023
Fluminense x Udinese-Italia;20230807;1;1;0;07/08/2023
Fluminense x Udinese-Italia;20230808;1;1;0;08/08/2023
Fluminense x Ulsan Hyundai-Coreia do Sul;20230808;1;1;0;08/08/2023
Fluminense x Union La Calera-Chile;20230808;1;1;0;08/08/2023
Fluminense x Union Santa Fe-Argentina;20230807;1;1;0;07/08/2023
Fluminense x Union Santa Fe-Argentina;20230808;1;1;0;08/08/2023
Fluminense x Universidad Catolica-Chile;20230804;1;1;0;04/08/2023
Fluminense x Universidad Catolica-Chile;20230807;1;1;1;07/08/2023
Fluminense x Universidad Catolica-Chile;20230808;1;1;0;08/08/2023
Fluminense x Universidad Catolica-Chile;20230812;1;1;0;12/08/2023
Fluminense x Universidad de Chile-Chile;20230804;1;1;0;04/08/2023
Fluminense x Universidad de Chile-Chile;20230808;1;1;0;08/08/2023
Fluminense x Universidad de Chile-Chile;20230812;1;1;0;12/08/2023
Fluminense x Universidad de Quito-Equador;20230808;1;1;0;08/08/2023
Fluminense x Universitario-Peru;20230808;1;1;0;08/08/2023
Fluminense x Universitario-Peru;20230812;1;1;0;12/08/2023
Fluminense x Union Espanola-Chile;20230808;1;1;0;08/08/2023
Fluminense x Valladolid-Espanha;20230808;1;1;0;08/08/2023
Fluminense x Valencia-Espanha;20230808;1;1;0;08/08/2023
Fluminense x Vancouver Whitecaps-Canada;20230808;1;1;0;08/08/2023
Fluminense x Vasco-RJ;20230803;1;1;0;03/08/2023
Fluminense x Vasco-RJ;20230812;1;1;0;12/08/2023
Fluminense x Vila Isabel-RJ;20230807;1;1;1;07/08/2023
Fluminense x Vila Nova GO-GO;20230808;1;1;0;08/08/2023
Fluminense x Vitoria BA-BA;20230807;1;1;0;07/08/2023
Fluminense x Vitoria BA-BA;20230812;1;1;0;12/08/2023
Fluminense x Vojvodina-Bosnia;20230808;1;1;0;08/08/2023
Fluminense x West Ham United-Inglaterra;20230808;1;1;0;08/08/2023
Fluminense x Young Africans-Tanzania;20230808;1;1;0;08/08/2023
Fluminense x Young Boys-Suica;20230808;1;1;0;08/08/2023
Fluminense x Zamora-Venezuela;20230804;1;1;0;04/08/2023
Fluminense x Zamora-Venezuela;20230808;1;1;0;08/08/2023
Fluminense x Zeljeznicar-Bosnia;20230808;1;1;0;08/08/2023
Fluminense x Agua Verde-PR;20230812;1;1;0;12/08/2023
Fluminense x Austria Viena-Austria;20230808;1;1;0;08/08/2023
Flavio 1971;20230809;1;1;0;09/08/2023
Flavio Renato 1985;20230807;1;1;0;07/08/2023
Fornecedor de Material Esportivo;20230808;1;1;0;08/08/2023
Fortaleza 0 X 0 Fluminense;20230810;1;1;0;10/08/2023
Fortaleza 0 X 1 Fluminense;20230807;1;1;0;07/08/2023
Fortaleza 0 X 1 Fluminense;20230811;1;1;0;11/08/2023
Fortaleza 1 X 1 Fluminense;20230811;1;1;0;11/08/2023
Fortaleza 4 X 2 Fluminense;20230810;1;1;0;10/08/2023
Fortaleza 4 X 2 Fluminense;20230811;1;1;0;11/08/2023
Fortes 1930;20230808;1;1;0;08/08/2023
Francana 0 X 2 Fluminense;20230807;1;1;0;07/08/2023
Francisco Horta em classicos;20230807;1;1;0;07/08/2023
Fred 2022;20230809;1;1;0;09/08/2023
Fred 2022;20230811;1;1;0;11/08/2023
Fred 2022 - German Cano 2023;20230808;1;1;0;08/08/2023
Frequencia de Placar - America/Atletico MG;20230809;1;1;0;09/08/2023
Frequencia de Placar Estadio em campeonato;20230810;1;1;0;10/08/2023
Frequencia de Placar em classicos;20230810;1;1;0;10/08/2023
Frequencia de Placares por Adversarios;20230809;1;1;0;09/08/2023
Friburguense 0 X 4 Fluminense;20230810;1;1;0;10/08/2023
Fumanchu 1979;20230807;1;1;0;07/08/2023
Fabio 2023;20230804;1;1;0;04/08/2023
Fabio 2023;20230805;1;1;0;05/08/2023
Fabio 2023;20230811;1;1;0;11/08/2023
Fabio 2023 - Gols sofridos por Campeonato;20230812;1;1;0;12/08/2023
Fabio Bala 2004;20230812;1;1;0;12/08/2023
Fabio Braga 2013;20230812;1;1;0;12/08/2023
Fabio Cordeiro 2002;20230808;1;1;1;08/08/2023
Felix 1978;20230807;1;1;0;07/08/2023
Felix 1978;20230811;1;1;0;11/08/2023
Gabardo 1935;20230810;1;1;0;10/08/2023
Gabino Rios;20230807;1;1;0;07/08/2023
Gabriel Pirani 2023;20230806;1;1;0;06/08/2023
Gabriel Teixeira 2022;20230806;1;1;0;06/08/2023
Gabriel Teixeira 2022;20230810;1;1;0;10/08/2023
Gabriel Teixeira 2022 - Gols por Ano;20230809;1;1;0;09/08/2023
Gabriel Teixeira 2022 - Gols por Campeonato;20230809;1;1;0;09/08/2023
Galhardo 1971;20230803;1;1;0;03/08/2023
Gallo 1911;20230807;1;1;0;07/08/2023
Gallo 1996;20230807;1;1;0;07/08/2023
Galvao 1987;20230812;1;1;0;12/08/2023
Galicia 2 X 0 Fluminense;20230812;1;1;0;12/08/2023
Gama 1 X 2 Fluminense;20230807;1;1;0;07/08/2023
Gama 2 X 1 Fluminense;20230807;1;1;0;07/08/2023
Geraldinho 1979;20230805;1;1;0;05/08/2023
Geraldo 1970;20230803;1;1;0;03/08/2023
Geraldao 1978;20230805;1;1;0;05/08/2023
Geraldao 1978;20230807;1;1;0;07/08/2023
German Cano - 14;20230807;1;1;0;07/08/2023
German Cano 2023;20230803;1;1;0;03/08/2023
German Cano 2023;20230811;1;1;0;11/08/2023
German Cano 2023 - Gols por Adversario;20230808;1;1;0;08/08/2023
German Cano 2023 - Gols por Adversario;20230809;1;1;0;09/08/2023
Germania 4 X 3 Fluminense;20230805;1;1;0;05/08/2023
Germania 4 X 3 Fluminense;20230807;1;0;0;07/08/2023
Gerson 1974;20230804;1;1;0;04/08/2023
Gerson 2016;20230806;1;1;0;06/08/2023
Getulio 1955;20230805;1;1;0;05/08/2023
Gilberto 1954;20230810;1;1;0;10/08/2023
Gilberto 1981;20230807;1;1;0;07/08/2023
Gilberto 2020;20230805;1;1;0;05/08/2023
Gilberto 2020;20230808;1;1;0;08/08/2023
Gilcimar 1982;20230807;1;1;0;07/08/2023
Gilson Genio 1979;20230805;1;1;0;05/08/2023
Gilson Nunes 1970;20230803;1;1;0;03/08/2023
Giovanni 2023;20230808;1;1;0;08/08/2023
Givanildo 1980;20230807;1;1;0;07/08/2023
Goias 1 X 0 Fluminense;20230807;1;1;0;07/08/2023
Goias 1 X 2 Fluminense;20230805;1;1;0;05/08/2023
Goias 2 X 0 Fluminense;20230810;1;1;0;10/08/2023
Goias 2 X 1 Fluminense;20230807;1;1;0;07/08/2023
Goias 2 X 2 Fluminense;20230807;1;1;0;07/08/2023
Goias 2 X 2 Fluminense;20230811;1;1;0;11/08/2023
Goias 2 X 3 Fluminense;20230811;1;1;0;11/08/2023
Goias 2 X 4 Fluminense;20230811;1;1;0;11/08/2023
Goias 3 X 0 Fluminense;20230811;1;1;0;11/08/2023
Goiania 1 X 0 Fluminense;20230805;1;1;0;05/08/2023
Goiania 1 X 4 Fluminense;20230812;1;1;0;12/08/2023
Gol numero 7244;20230804;1;1;1;04/08/2023
Gol numero 7244;20230808;1;1;1;08/08/2023
Goleadas;20230803;1;1;0;03/08/2023
Goleadas;20230812;1;1;0;12/08/2023
Goleadas em Brasileiros;20230803;1;1;0;03/08/2023
Goleiros com mais jogos;20230812;1;1;0;12/08/2023
Gols do Alan;20230806;1;1;0;06/08/2023
Gols do Arouca;20230810;1;1;0;10/08/2023
Gols do Cazares;20230808;1;1;0;08/08/2023
Gols do Cristovao;20230810;1;1;0;10/08/2023
Gols do Dodo;20230810;1;1;0;10/08/2023
Gols do German Cano;20230804;1;1;0;04/08/2023
Gols do German Cano;20230808;1;1;0;08/08/2023
Gols do German Cano;20230810;1;1;0;10/08/2023
Gols do Gilberto;20230809;1;1;0;09/08/2023
Gols do Jair Pereira;20230808;1;1;0;08/08/2023
Gols do John Kennedy;20230807;1;1;0;07/08/2023
Gols do John Kennedy;20230809;1;1;0;09/08/2023
Gols do John Kennedy;20230810;1;1;0;10/08/2023
Gols do Junior Cesar;20230810;1;1;0;10/08/2023
Gols do Lele;20230806;1;1;0;06/08/2023
Gols do Luiz Alberto;20230810;1;1;0;10/08/2023
Gols do Marcos Junior;20230806;1;1;0;06/08/2023
Gols do Mateus;20230807;1;1;0;07/08/2023
Gols do Mauricio;20230807;1;1;0;07/08/2023
Gols do Mauricio;20230810;1;1;0;10/08/2023
Gols do Mauricio Fernandes;20230807;1;1;0;07/08/2023
Gols do Mario Faria;20230807;1;1;0;07/08/2023
Gols do Rafael;20230810;1;1;0;10/08/2023
Gols do Robertinho;20230812;1;1;0;12/08/2023
Gols do Rodrigues Neto;20230805;1;1;0;05/08/2023
Gols do Roger;20230810;1;1;0;10/08/2023
Gols do Somalia;20230810;1;1;0;10/08/2023
Gols do Tarta;20230806;1;1;0;06/08/2023
Gols do Tarta;20230810;1;1;0;10/08/2023
Gols do Thiago Neves;20230810;1;1;0;10/08/2023
Gols do Thiago Silva;20230810;1;1;0;10/08/2023
Gols do Vitor Mendes;20230809;1;1;0;09/08/2023
Gols do Washington;20230810;1;1;0;10/08/2023
Gols do Welington Nem;20230806;1;1;0;06/08/2023
Gols do Wellington Silva;20230806;1;1;0;06/08/2023
Gols em Campeonato;20230812;1;1;0;12/08/2023
Gols mais rapidos;20230812;1;1;0;12/08/2023
Gols mais rapidos em jogos oficiais;20230812;1;1;0;12/08/2023
Goncalo 1965;20230807;1;1;0;07/08/2023
Goytacas 0 X 1 Fluminense;20230807;1;1;0;07/08/2023
Goytacas 1 X 0 Fluminense;20230807;1;1;0;07/08/2023
Goytacas 1 X 1 Fluminense;20230810;1;1;0;10/08/2023
Goytacas 1 X 4 Fluminense;20230807;1;1;0;07/08/2023
Grasshopper 0 X 0 Fluminense;20230806;1;1;0;06/08/2023
Grena 2011 - 2012;20230804;1;1;0;04/08/2023
Graficos;20230804;1;1;0;04/08/2023
Graficos;20230806;1;1;0;06/08/2023
Graficos;20230811;1;1;0;11/08/2023
Graficos;20230812;1;1;0;12/08/2023
Gremio - Arena do Gremio;20230809;1;1;0;09/08/2023
Gremio - Arena do Gremio;20230811;1;1;0;11/08/2023
Gremio - Brasileiro;20230806;1;1;0;06/08/2023
Gremio - Brasileiro - Arena do Gremio;20230809;1;1;0;09/08/2023
Gremio - Brasileiro 2015;20230812;1;1;0;12/08/2023
Gremio - Brasileiro 2016;20230812;1;1;0;12/08/2023
Gremio - Brasileiro 2017;20230812;1;1;0;12/08/2023
Gremio - Brasileiro 2018;20230812;1;1;0;12/08/2023
Gremio - Brasileiro 2019;20230812;1;1;0;12/08/2023
Gremio - Brasileiro 2020;20230812;1;1;0;12/08/2023
Gremio - Brasileiro 2021;20230812;1;1;0;12/08/2023
Gremio - Moinhos de Ventos;20230811;1;1;0;11/08/2023
Gremio - Olimpico;20230811;1;1;0;11/08/2023
Gremio 1 X 0 Fluminense;20230808;1;1;0;08/08/2023
Gremio 1 X 1 Fluminense;20230807;1;1;0;07/08/2023
Gremio 1 X 2 Fluminense;20230805;1;1;0;05/08/2023
Gremio 1 X 2 Fluminense;20230810;1;1;0;10/08/2023
Gremio 2 X 0 Fluminense;20230805;1;1;0;05/08/2023
Gremio 3 X 1 Fluminense;20230806;1;1;0;06/08/2023
Gremio 3 X 2 Fluminense;20230804;1;1;0;04/08/2023
Gremio 4 X 4 Fluminense;20230812;1;1;0;12/08/2023
Guarani 1 X 2 Fluminense;20230807;1;1;0;07/08/2023
Guarani 3 X 1 Fluminense;20230804;1;1;0;04/08/2023
Guarani 4 X 1 Fluminense;20230805;1;1;0;05/08/2023
Guga 2023;20230806;1;1;0;06/08/2023
Guga 2023;20230809;1;1;0;09/08/2023
Guilherme Mattis 2015;20230808;1;1;0;08/08/2023
Gum 2018;20230806;1;1;0;06/08/2023
Gum 2018 - Libertadores da America;20230810;1;1;0;10/08/2023
Gustavo Scarpa 2017;20230806;1;1;0;06/08/2023
Hat Tricks;20230808;1;1;0;08/08/2023
Heart Line;20230809;1;1;0;09/08/2023
Hector Baldassi;20230809;1;1;0;09/08/2023
Hector Baldassi;20230810;1;1;0;10/08/2023
Hector Baldassi;20230812;1;1;0;12/08/2023
Henrique Dourado 2018;20230806;1;1;0;06/08/2023
Heraldo 1983;20230810;1;1;0;10/08/2023
Hernando Siles;20230809;1;1;0;09/08/2023
Honved 2 X 0 Fluminense;20230807;1;1;0;07/08/2023
Horizonte 3 X 1 Fluminense;20230808;1;1;0;08/08/2023
Huachipato 1 X 2 Fluminense;20230809;1;1;0;09/08/2023
Hugo 1924;20230812;1;1;1;12/08/2023
Hugo 1998;20230803;1;1;0;03/08/2023
Hyundai;20230809;1;1;0;09/08/2023
Heber Roberto Lopes;20230807;1;1;0;07/08/2023
Ibanez 2019;20230806;1;1;0;06/08/2023
Ibanez 2019;20230807;1;0;0;07/08/2023
Independiente Sta Fe 1 X 2 Fluminense;20230809;1;1;0;09/08/2023
Independiente Sta Fe 1 X 2 Fluminense;20230811;1;1;0;11/08/2023
Informacoes Gerais;20230811;1;1;0;11/08/2023
Inter Limeira 0 X 3 Fluminense;20230807;1;1;0;07/08/2023
Inter Limeira 2 X 2 Fluminense;20230807;1;1;0;07/08/2023
Internacional 0 X 0 Fluminense;20230805;1;1;0;05/08/2023
Internacional 0 X 0 Fluminense;20230807;1;1;0;07/08/2023
Internacional 0 X 0 Fluminense;20230809;1;1;0;09/08/2023
Internacional 0 X 1 Fluminense;20230811;1;1;0;11/08/2023
Internacional 1 X 1 Fluminense;20230807;1;1;0;07/08/2023
Internacional 1 X 2 Fluminense;20230811;1;1;0;11/08/2023
Internacional 2 X 0 Fluminense;20230803;1;1;0;03/08/2023
Internacional 2 X 0 Fluminense;20230807;1;1;0;07/08/2023
Internacional 2 X 1 Fluminense;20230811;1;1;0;11/08/2023
Internacional 2 X 3 Fluminense;20230807;1;1;0;07/08/2023
Internacional 3 X 0 Fluminense;20230811;1;1;0;11/08/2023
Internacional 3 X 1 Fluminense;20230807;1;1;0;07/08/2023
Internacional 4 X 2 Fluminense;20230811;1;1;0;11/08/2023
Internacional SC 2 X 1 Fluminense;20230807;1;1;0;07/08/2023
Isaac 2023;20230809;1;1;0;09/08/2023
Isidoro 1979;20230807;1;1;0;07/08/2023
Itabaiana 0 X 4 Fluminense;20230807;1;1;0;07/08/2023
Itabera 1992;20230807;1;1;0;07/08/2023
Itumbiara 0 X 3 Fluminense;20230807;1;1;0;07/08/2023
Ivan 1970;20230803;1;1;0;03/08/2023
Ivan Goncalves;20230807;1;1;0;07/08/2023
Jacarezinho 1 X 3 Fluminense;20230812;1;1;0;12/08/2023
Jair Francisco 1962;20230806;1;1;0;06/08/2023
Jair Pereira 1973;20230806;1;1;0;06/08/2023
Jair Pereira 1973;20230807;1;1;0;07/08/2023
Jair Santana 1960;20230806;1;1;0;06/08/2023
Jairo 1958;20230810;1;1;0;10/08/2023
Jairo 1971;20230803;1;1;0;03/08/2023
Jandir 1994;20230810;1;1;0;10/08/2023
Jean 2006;20230812;1;1;0;12/08/2023
Jean 2015;20230806;1;1;0;06/08/2023
Jean 2015;20230808;1;1;0;08/08/2023
Jerry 1993;20230804;1;1;0;04/08/2023
Jerry 1993;20230811;1;1;0;11/08/2023
Jhon Arias 2023;20230803;1;1;0;03/08/2023
Jhon Arias 2023;20230805;1;1;0;05/08/2023
Jhon Arias 2023;20230808;1;1;0;08/08/2023
Jhon Arias 2023;20230810;1;1;0;10/08/2023
Jhon Arias 2023;20230811;1;1;0;11/08/2023
Jhon Arias 2023 - Brasileiro;20230806;1;1;0;06/08/2023
Joaquim Gregorio dos Santos;20230812;1;1;0;12/08/2023
Jogador e Tecnico;20230810;1;1;0;10/08/2023
Jogador x Adversario;20230804;1;1;0;04/08/2023
Jogador x Campeonato;20230806;1;1;0;06/08/2023
Jogador x Campeonato;20230809;1;1;0;09/08/2023
Jogador x Campeonato;20230812;1;1;0;12/08/2023
Jogador x Estadio;20230808;1;1;0;08/08/2023
Jogador x Estadio;20230809;1;1;0;09/08/2023
Jogador x Jogador;20230808;1;1;0;08/08/2023
Jogadores com mais campeonatos disputados;20230812;1;1;0;12/08/2023
Jogadores com mais derrotas;20230807;1;1;0;07/08/2023
Jogadores com mais derrotas;20230808;1;1;0;08/08/2023
Jogadores com mais jogos;20230805;1;1;0;05/08/2023
Jogadores com mais jogos;20230806;1;1;0;06/08/2023
Jogadores com mais jogos;20230808;1;1;0;08/08/2023
Jogadores com mais jogos;20230810;1;1;0;10/08/2023
Jogadores com mais jogos;20230811;1;1;0;11/08/2023
Jogadores com mais jogos;20230812;1;1;0;12/08/2023
Jogadores com mais titulos;20230804;1;1;0;04/08/2023
Jogadores com mais vitorias;20230804;1;1;0;04/08/2023
Jogadores com mais vitorias;20230807;1;1;0;07/08/2023
Jogadores com mais vitorias;20230808;1;1;0;08/08/2023
Jogadores com mais vitorias oficiais;20230810;1;1;0;10/08/2023
Jogadores do(a) Colombia;20230806;1;1;0;06/08/2023
Jogadores mais novos;20230808;1;1;0;08/08/2023
Jogadores mais novos;20230812;1;1;0;12/08/2023
Jogadores mais velhos;20230808;1;1;0;08/08/2023
Jogo Numero 5950;20230809;1;1;0;09/08/2023
Jogo Numero 5951;20230809;1;1;0;09/08/2023
Jogo Numero 5952;20230809;1;1;0;09/08/2023
Jogo Numero 5953;20230809;1;1;0;09/08/2023
Jogo Numero 5954;20230809;1;1;0;09/08/2023
Jogo Numero 5955;20230809;1;1;0;09/08/2023
Jogo Numero 5956;20230809;1;1;0;09/08/2023
Jogo Numero 5957;20230809;1;1;0;09/08/2023
Jogo Numero 5958;20230809;1;1;0;09/08/2023
Jogo Numero 5959;20230809;1;1;0;09/08/2023
Jogo Numero 5960;20230809;1;1;0;09/08/2023
Jogo Numero 5961;20230809;1;1;0;09/08/2023
Jogo Numero 5962;20230809;1;1;0;09/08/2023
Jogo Numero 5963;20230809;1;1;0;09/08/2023
Jogo Numero 5964;20230809;1;1;0;09/08/2023
Jogo Numero 5965;20230809;1;1;0;09/08/2023
Jogo Numero 5966;20230809;1;1;0;09/08/2023
Jogo Numero 5967;20230809;1;1;0;09/08/2023
Jogo Numero 5968;20230809;1;1;0;09/08/2023
Jogo Numero 5969;20230809;1;1;0;09/08/2023
Jogo Numero 5970;20230809;1;1;0;09/08/2023
Jogo Numero 5971;20230809;1;1;0;09/08/2023
Jogo Numero 5972;20230809;1;1;0;09/08/2023
Jogos Eliminatorios - Argentina;20230809;1;1;0;09/08/2023
Jogos Eliminatorios por Pais;20230809;1;1;0;09/08/2023
Jogos Inesqueciveis;20230803;1;1;0;03/08/2023
Jogos Inesqueciveis;20230805;1;1;0;05/08/2023
Jogos Inesqueciveis;20230811;1;1;0;11/08/2023
Jogos em 03 / 08;20230803;1;1;0;03/08/2023
Jogos em 04 / 08;20230804;1;1;0;04/08/2023
Jogos em 04 / 08;20230805;1;1;0;05/08/2023
Jogos em 05 / 08;20230805;1;1;0;05/08/2023
Jogos em 08 / 08;20230808;1;1;0;08/08/2023
Jogos em Estadio por ano;20230808;1;1;0;08/08/2023
Jogos em Estadio por ano;20230810;1;1;0;10/08/2023
Jogos em dd/mm;20230804;1;1;0;04/08/2023
Jogos em dd/mm;20230808;1;1;0;08/08/2023
Jogos em dd/mm;20230812;1;1;0;12/08/2023
Jogos em mm/aaaa;20230808;1;1;0;08/08/2023
Jogos no(a) Maracana em 2010;20230807;1;1;0;07/08/2023
Jogos no(a) Maracana em 2013;20230807;1;1;0;07/08/2023
Jogos no(a) Maracana em 2014;20230807;1;1;0;07/08/2023
Jogos no(a) Maracana em 2017;20230807;1;1;0;07/08/2023
Jogos no(a) Maracana em 2019;20230807;1;1;0;07/08/2023
Jogos no(a) Maracana em 2023;20230810;1;1;0;10/08/2023
Jogos x Gols;20230810;1;1;0;10/08/2023
Jogos x Gols em campeonato;20230812;1;1;0;12/08/2023
Jogos Ã s 21:00;20230805;1;1;0;05/08/2023
John Kennedy 2023;20230803;1;1;0;03/08/2023
John Kennedy 2023;20230804;1;1;0;04/08/2023
John Kennedy 2023;20230810;1;1;0;10/08/2023
John Kennedy 2023;20230811;1;1;0;11/08/2023
John Kennedy 2023 - Gols por Adversario;20230808;1;1;0;08/08/2023
John Kennedy 2023 - Gols por Campeonato;20230809;1;1;0;09/08/2023
John Kennedy 2023 - Libertadores da America;20230811;1;1;0;11/08/2023
Joinville 0 X 0 Fluminense;20230807;1;1;0;07/08/2023
Joinville 0 X 2 Fluminense;20230810;1;1;0;10/08/2023
Joinville 1 X 1 Fluminense;20230807;1;1;0;07/08/2023
Jonathan 2003;20230805;1;1;0;05/08/2023
Jonathan 2016;20230808;1;1;0;08/08/2023
Jorge Luis 1977;20230805;1;1;0;05/08/2023
Jorge Luiz 1978;20230807;1;1;0;07/08/2023
Jorge Luiz 1978;20230810;1;1;0;10/08/2023
Jose Aldo Pereira;20230810;1;1;0;10/08/2023
Jose Aldo Pereira;20230811;1;1;0;11/08/2023
Jose Aparecido de Oliveira;20230812;1;1;0;12/08/2023
Jose Faville Neto;20230806;1;1;1;06/08/2023
Jose Gil Carneiro de Mendonca em classicos;20230807;1;1;0;07/08/2023
Jose Silva 1982;20230807;1;1;0;07/08/2023
Joao Carlos 1955;20230811;1;1;0;11/08/2023
Joao Leal 1912;20230807;1;1;0;07/08/2023
Joao Luis 1995;20230807;1;1;0;07/08/2023
Joao Neto 2021;20230808;1;1;0;08/08/2023
Joao Pedro 2019;20230812;1;1;0;12/08/2023
Juiz de Fora 0 X 1 Fluminense;20230807;1;1;0;07/08/2023
Juiz de Fora 1 X 2 Fluminense;20230807;1;1;0;07/08/2023
Juiz de Fora 3 X 3 Fluminense;20230812;1;1;0;12/08/2023
Julinho 1993;20230804;1;1;0;04/08/2023
Julinho 1993;20230807;1;1;0;07/08/2023
Julio 1971;20230808;1;1;0;08/08/2023
Julio Cesar 2011;20230806;1;1;0;06/08/2023
Julio Cesar 2011 - Gols por Adversario;20230806;1;1;0;06/08/2023
