Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios
/link_adversario/109;20230819;3;3;0
/link_adversario/115;20230901;3;3;0
/link_adversario/418;20230828;3;3;0
/link_adversario/461;20230906;3;0;0
/link_adversario/741;20230831;3;3;0
/link_arbitro/418;20230820;3;1;0
/link_batedor/8490;20230824;3;3;0
/link_estadio/102;20230903;3;3;0
/link_estadio/23;20230820;3;3;1
/link_estadio/23;20230828;3;3;3
/link_estadio/316;20230825;3;3;0
/link_gol/2421;20230901;3;3;0
/link_jogador/1198;20230906;3;1;0
/link_jogador/2204;20230819;3;3;0
/link_jogador/2350;20230825;3;2;0
/link_jogador/2350;20230826;3;3;0
/link_jogador/2367;20230819;3;3;0
/link_jogador/2367;20230901;3;3;0
/link_jogador/2376;20230827;3;3;0
/link_jogador/2409;20230827;3;3;0
/link_jogador/2409;20230828;3;2;0
/link_jogador/2411;20230905;3;2;0
/link_jogador/2415;20230902;3;3;0
/link_jogador/2421;20230907;3;2;0
/link_jogador/2422;20230904;3;3;0
/link_jogador/2475;20230828;3;3;0
/link_jogador/2476;20230901;3;2;0
/link_jogador/2492;20230826;3;3;0
/link_jogador/2493;20230825;3;3;0
/link_jogador/2493;20230826;3;3;0
/link_jogador/501;20230822;3;2;1
/link_jogador/774;20230908;3;3;3
/link_jogador/854;20230829;3;3;3
/link_jogador/950;20230827;3;3;1
/link_jogador/950;20230828;3;3;0
/link_jogador/950;20230829;3;2;0
/link_jogo/2328;20230824;3;1;1
/link_jogo/2328;20230829;3;3;3
/link_jogo/2517;20230817;3;2;2
/link_jogo/2934;20230825;3;3;3
/link_jogo/2934;20230827;3;3;3
/link_jogo/3039;20230825;3;3;3
/link_jogo/3777;20230902;3;2;0
/link_jogo/3789;20230904;3;2;0
/link_jogo/3845;20230903;3;1;0
/link_jogo/4111;20230909;3;2;1
/link_jogo/4112;20230910;3;3;1
/link_jogo/4156;20230909;3;1;0
/link_jogo/4263;20230909;3;1;0
/link_jogo/4264;20230909;3;1;0
/link_jogo/4265;20230909;3;1;0
/link_jogo/4266;20230909;3;1;0
/link_jogo/4267;20230909;3;1;0
/link_jogo/4268;20230909;3;1;0
/link_jogo/4269;20230909;3;1;0
/link_jogo/4270;20230909;3;1;0
/link_jogo/4271;20230909;3;1;0
/link_jogo/4272;20230909;3;1;0
/link_jogo/4273;20230909;3;1;0
/link_jogo/4274;20230909;3;1;0
/link_jogo/4275;20230909;3;1;0
/link_jogo/4406;20230817;3;1;0
/link_jogo/4659;20230905;3;2;0
/link_jogo/4990;20230818;3;1;1
/link_jogo/4990;20230830;3;3;3
/link_jogo/4990;20230906;3;3;2
/link_jogo/6352;20230829;3;1;0
/link_jogo/6559;20230816;3;1;0
/link_jogo/7114;20230910;3;2;1
/link_jogo/7137;20230825;3;2;2
/link_jogo/7165;20230909;3;2;0
/link_jogo/7194;20230909;3;1;0
/link_jogo/7354;20230903;3;1;1
/link_jogo/7461;20230828;3;2;0
/link_jogo/7607;20230815;3;2;0
/link_jogo/7891;20230902;3;3;1
/link_jogo/7897;20230826;3;2;0
/link_jogo/8229;20230818;3;2;0
/link_jogo/8433;20230828;3;3;0
/link_jogo/8664;20230827;3;1;0
/link_jogo/8699;20230827;3;3;0
/link_jogo/8702;20230831;3;3;0
/link_jogo/8714;20230905;3;3;0
/link_jogo/8716;20230825;3;2;0
/link_jogo/8718;20230814;3;2;0
/link_jogo/8719;20230828;3;2;0
/link_jogo/8720;20230828;3;2;0
/link_jogo/8721;20230828;3;2;0
/link_jogo/8722;20230828;3;2;0
/link_jogo/8725;20230820;3;3;0
/link_jogo/8725;20230825;3;2;0
/link_jogo/8725;20230828;3;2;0
/link_jogo/8726;20230820;3;3;0
/link_jogo/8726;20230828;3;2;0
/link_jogo/8726;20230831;3;3;0
/link_jogo/8726;20230901;3;3;0
/link_jogo/8727;20230828;3;2;0
/link_jogo/8728;20230824;3;3;0
/link_jogo/8728;20230825;3;2;0
/link_jogo/8728;20230828;3;2;0
/link_jogo/8728;20230902;3;2;0
/link_jogo/8729;20230831;3;3;0
/link_jogo/8732;20230903;3;3;0
/link_jogo/8732;20230905;3;3;0
/link_jogo/97;20230908;3;2;0
/link_jogo/98;20230908;3;2;0
/link_mascote/686;20230901;3;3;3
/link_mascote/686;20230904;3;1;1
/link_video/8730;20230828;3;2;0
/maiores_publicos_classicos;20230824;3;3;2
/media_publico;20230826;3;2;0
/mostra_arbitro;20230819;3;2;0
/mostra_campeonato;20230816;3;2;0
/mostra_campeonato;20230909;3;2;0
/mostra_espadv2;20230831;3;3;0
/mostra_especial/;20230816;3;3;0
/mostra_especial/;20230820;3;3;0
/mostra_especial/;20230822;3;3;0
/mostra_especial/;20230906;3;3;0
/mostra_especial_jogo;20230816;3;2;0
/mostra_especial_jogo;20230818;3;3;0
/mostra_especial_jogo;20230821;3;2;0
/mostra_especial_jogo;20230830;3;2;0
/mostra_estadio;20230830;3;3;0
/mostra_estadio;20230906;3;3;0
/mostra_estadio;20230909;3;3;0
/mostra_jogador_gols;20230814;3;3;0
/mostra_jogador_gols;20230819;3;3;0
/mostra_jogador_gols;20230820;3;2;0
/mostra_jogador_gols;20230822;3;1;0
/mostra_jogador_gols;20230823;3;2;0
/mostra_jogador_gols;20230825;3;2;0
/mostra_ranking/800000000000;20230902;3;2;0
/mostra_ranking/800800000000;20230901;3;3;0
/mostra_ranking/800801000000;20230820;3;3;0
/mostra_ranking/800801000000;20230901;3;3;0
/mostra_ranking/800805000000;20230814;3;2;0
/mostra_ranking/800805000000;20230901;3;3;0
/mostra_ranking/800805000000;20230903;3;3;0
/mostra_ranking/800900000000;20230815;3;2;0
/mostra_ranking/801000000000;20230826;3;3;0
/mostra_ranking/801000000000;20230827;3;3;0
/mostra_ranking/801000000000;20230907;3;1;0
/mostra_ranking/867000000000;20230815;3;3;0
/mostra_ranking/867000000000;20230820;3;3;0
/mostra_ranking/867000000000;20230827;3;3;0
/mostra_ranking/867000000000;20230901;3;3;0
/mostra_ranking/900000000000;20230821;3;3;0
/mostra_ranking/900000000000;20230826;3;3;0
/mostra_ranking/900000000000;20230902;3;3;0
/mostra_ranking/900000000000;20230903;3;3;0
/mostra_ranking/900000000000;20230905;3;3;0
/mostra_ranking/900900000000;20230820;3;3;0
/mostra_ranking/900900000000;20230825;3;3;0
/mostra_ranking/900910000000;20230820;3;3;0
/mostra_ranking/900910000000;20230825;3;3;0
/mostra_ranking/904000000000;20230820;3;3;0
/mostra_rkg/;20230818;3;3;0
/mostra_rkg/;20230821;3;3;0
/mostra_rkg/;20230826;3;3;0
/mostra_rkg/;20230830;3;3;0
/mostra_tecnico;20230822;3;3;0
/mostra_tecnico;20230827;3;2;0
/mostra_tecnico;20230904;3;3;0
/mostra_tecnico;20230906;3;3;0
/mostra_tempodet/;20230821;3;2;0
/mostra_tempodet/;20230909;3;1;0
/mostra_todos;20230821;3;2;0
/mostra_todos;20230902;3;2;0
/mostra_todos;20230905;3;2;0
/mostra_todos_jogador;20230825;3;2;0
/mostra_turno;20230815;3;1;0
/presenca_turno;20230814;3;1;0
/proximos_jogos;20230905;3;2;0
/tecnico;20230820;3;3;0
/tecnico;20230822;3;3;0
/tecnico;20230827;3;3;0
/tecnico;20230903;3;3;0
/tecnico;20230904;3;3;0
/adversario;20230814;2;2;1
/arbitro;20230822;2;1;0
/arbitro;20230829;2;2;0
/arbitro;20230910;2;2;0
/camisa;20230815;2;2;0
/camisa;20230821;2;2;0
/camisa;20230827;2;2;0
/camisa;20230831;2;2;0
/camisa;20230906;2;2;0
/campeonato;20230818;2;2;0
/campeonato_cartao;20230814;2;2;0
/consulta_camisa/400300000;20230901;2;2;0
/consulta_camisa/400500000;20230901;2;2;0
/consulta_campeonato/103550000;20230814;2;2;0
/consulta_campeonato/103999000;20230823;2;2;0
/consulta_campeonato/103999000;20230902;2;1;0
/consulta_campeonato/103999000;20230904;2;1;0
/consulta_especial/100102000;20230815;2;1;0
/consulta_especial/100102000;20230906;2;2;0
/consulta_especial/100103000;20230814;2;2;0
/consulta_especial/100103000;20230818;2;2;0
/consulta_especial/100103000;20230820;2;1;0
/consulta_especial/100103000;20230901;2;2;0
/consulta_especial/100103000;20230903;2;1;0
/consulta_especial/100999000;20230814;2;2;0
/consulta_especial/100999000;20230819;2;2;0
/consulta_especial/100999000;20230821;2;2;0
/consulta_especial/100999000;20230823;2;2;0
/consulta_especial/100999000;20230830;2;2;0
/consulta_especial/100999000;20230902;2;2;0
/consulta_especial/100999000;20230904;2;2;0
/consulta_especial/100999000;20230905;2;2;0
/consulta_especial/102100000;20230905;2;2;0
/consulta_especial/102103000;20230821;2;2;0
/consulta_especial/102103000;20230904;2;2;0
/consulta_especial/102104000;20230819;2;2;0
/consulta_especial/103102000;20230902;2;2;0
/consulta_especial/104102000;20230819;2;1;0
/consulta_especial/104102000;20230825;2;2;0
/consulta_especial/104104000;20230814;2;2;0
/consulta_especial/105104000;20230907;2;1;0
/consulta_especial_adversario;20230816;2;2;0
/consulta_especial_adversario;20230826;2;2;0
/consulta_especial_arbitro;20230908;2;2;0
/consulta_especial_brasileiro;20230815;2;1;0
/consulta_especial_brasileiro;20230816;2;2;0
/consulta_especial_brasileiro;20230818;2;2;0
/consulta_especial_brasileiro;20230825;2;2;0
/consulta_especial_campeonato;20230825;2;2;0
/consulta_especial_campeonato;20230830;2;2;0
/consulta_especial_campeonato;20230903;2;2;0
/consulta_especial_campeonato;20230904;2;1;0
/consulta_especial_campeonato;20230906;2;2;0
/consulta_especial_classico;20230905;2;2;0
/consulta_especial_estadio;20230815;2;2;0
/consulta_especial_estadio;20230817;2;2;0
/consulta_especial_estadio;20230820;2;2;0
/consulta_especial_estadio;20230906;2;2;0
/consulta_especial_estadio;20230910;2;2;0
/consulta_especial_gerais;20230820;2;1;0
/consulta_especial_gerais;20230824;2;2;0
/consulta_especial_gerais;20230827;2;2;0
/consulta_especial_gerais;20230829;2;2;0
/consulta_especial_gerais;20230830;2;2;0
/consulta_especial_gerais;20230831;2;2;0
/consulta_especial_gerais;20230906;2;2;0
/consulta_especial_gerais;20230909;2;2;0
/consulta_especial_jogador;20230907;2;2;0
/consulta_especial_jogador;20230910;2;2;0
/consulta_especial_jogos;20230816;2;2;0
/consulta_especial_jogos;20230822;2;1;0
/consulta_especial_jogos;20230824;2;2;0
/consulta_especial_jogos;20230906;2;2;0
/consulta_especial_jogos;20230907;2;1;0
/consulta_especial_jogos;20230909;2;2;0
/consulta_especial_resultados;20230815;2;1;0
/consulta_especial_resultados;20230816;2;2;0
/consulta_especial_resultados;20230901;2;2;0
/consulta_especial_resultados;20230903;2;2;0
/consulta_especial_resultados;20230909;2;2;0
/consulta_especial_sequencia;20230814;2;2;0
/consulta_especial_sequencia;20230904;2;2;0
/consulta_especial_tecadv;20230831;2;2;0
/consulta_especial_tecnico;20230817;2;2;0
/consulta_especial_tecnico;20230818;2;2;0
/consulta_especial_tecnico;20230826;2;2;0
/consulta_especial_tecnico;20230905;2;2;0
/consulta_estadio/102451000;20230904;2;2;0
/consulta_estadio/102999000;20230824;2;2;0
/consulta_estadio/102999000;20230903;2;2;0
/consulta_hattrick/750000000000;20230820;2;2;0
/consulta_importante/515000000;20230814;2;2;0
/consulta_importante/515000000;20230903;2;1;0
/consulta_jogador/104999000;20230816;2;1;0
/consulta_jogador/104999000;20230831;2;2;0
/consulta_jogador/104999000;20230904;2;2;0
/consulta_jogador/104999000;20230905;2;2;0
/consulta_jogador/268102000;20230814;2;2;0
/consulta_jogador/268102000;20230825;2;1;0
/consulta_jogador/268106000;20230819;2;2;0
/consulta_jogador/268106000;20230820;2;2;0
/consulta_jogador/268106000;20230824;2;2;0
/consulta_jogador/268106000;20230831;2;2;0
/consulta_jogador/268106000;20230902;2;1;0
/consulta_jogador/268106000;20230906;2;1;0
/consulta_jogador/268106000;20230907;2;2;0
/consulta_jogo/654000000;20230816;2;2;0
/consulta_jogo/654000000;20230823;2;2;0
/consulta_jogo/654000000;20230826;2;2;0
/consulta_jogo/654000000;20230827;2;1;0
/consulta_jogo/654000000;20230901;2;1;0
/consulta_jogo/655000000;20230817;2;1;0
/consulta_jogo/655000000;20230828;2;1;0
/consulta_jogo/658000000;20230814;2;1;0
/consulta_jogo/658000000;20230815;2;2;0
/consulta_jogo/658000000;20230820;2;2;0
/consulta_jogo/658000000;20230828;2;2;0
/consulta_jogo/658000000;20230904;2;2;0
/consulta_jogo/658700000;20230821;2;1;0
/consulta_jogo/658700000;20230905;2;2;0
/consulta_numeracao;20230820;2;1;0
/consulta_numeracao;20230830;2;2;0
/consulta_placar/680103000;20230905;2;2;0
/consulta_placar/689103102;20230826;2;1;0
/consulta_ranking/290206000000;20230828;2;2;0
/consulta_ranking/800102000000;20230905;2;1;0
/consulta_ranking/800103000000;20230818;2;2;0
/consulta_ranking/800103000000;20230820;2;2;0
/consulta_ranking/900100000000;20230814;2;2;0
/consulta_ranking/900100000000;20230821;2;2;0
/consulta_ranking/900100000000;20230825;2;2;0
/consulta_ranking/900100000000;20230826;2;2;0
/consulta_ranking/900102000000;20230821;2;2;0
/consulta_ranking/900102000000;20230823;2;2;0
/consulta_ranking/900102000000;20230826;2;2;0
/consulta_ranking/900103000000;20230820;2;2;0
/consulta_ranking/900103000000;20230827;2;2;0
/consulta_ranking/900103000000;20230830;2;2;0
/consulta_ranking/900106000000;20230816;2;2;0
/consulta_ranking/900106000000;20230824;2;1;0
/consulta_ranking/900106000000;20230827;2;2;0
/consulta_ranking/900107000000;20230823;2;2;0
/consulta_ranking/900107000000;20230901;2;2;0
/consulta_ranking/900107000000;20230902;2;1;0
/consulta_ranking/900126000000;20230828;2;2;0
/consulta_ranking/900126000000;20230901;2;2;0
/consulta_tecadv/113000000;20230831;2;2;0
/consulta_tempo/102528000;20230825;2;2;0
/consulta_tempo/103528000;20230821;2;2;0
/consulta_turno;20230815;2;1;0
/credito;20230825;2;2;0
/curiosidade;20230822;2;2;0
/curiosidade;20230823;2;2;0
/curiosidade;20230906;2;2;0
/curiosidade;20230908;2;2;0
/detalhamento_gols/653000000;20230814;2;2;0
/duelo_eliminatorio_saldo/344000000;20230829;2;1;0
/estadio;20230814;2;2;0
/estadio;20230817;2;2;0
/estadio;20230818;2;2;0
/estadio;20230908;2;2;0
/estadio_curiosidade;20230825;2;2;0
/estadio_curiosidade;20230904;2;2;0
/estadio_todos;20230814;2;2;0
/estadio_todos;20230819;2;2;0
/estadio_todos;20230823;2;2;0
/estadio_todos;20230906;2;1;0
/estat_periodo/183000000;20230901;2;2;0
/estatistica_data/692000000;20230901;2;2;0
/estrangeiro_temporada;20230901;2;2;0
/generico_adversario/680100000;20230826;2;2;0
/generico_ano/10610600;20230824;2;2;0
/generico_ano/10610600;20230825;2;2;0
/generico_ano/10610600;20230826;2;2;0
/generico_ano/10610600;20230901;2;2;0
/generico_ano/10610600;20230903;2;2;0
/generico_ano/10610600;20230905;2;2;0
/generico_ano/663000000;20230814;2;2;0
/generico_ano/69310600;20230901;2;2;0
/generico_campeonato/867103000000;20230818;2;2;0
/generico_campeonato/867103000000;20230825;2;2;0
/generico_campeonato/867103143000;20230825;2;2;0
/generico_tecnico/105875000;20230904;2;1;0
/generico_tecnico/105999000;20230908;2;1;0
/generico_tecnico/900834000;20230820;2;2;0
/geral;20230817;2;2;0
/geral;20230829;2;2;0
/geral;20230830;2;2;0
/goleiro_gols/462000000;20230825;2;2;0
/goleiro_gols/462000000;20230904;2;2;0
/grafico;20230814;2;2;0
/grafico;20230815;2;2;0
/grafico;20230816;2;2;0
/grafico;20230820;2;2;0
/grafico;20230830;2;2;0
/grafico;20230906;2;2;1
/grafico;20230908;2;2;0
/grafico_adversario/200;20230821;2;2;0
/grafico_adversario/200;20230823;2;2;0
/grafico_adversario/200;20230827;2;1;0
/grafico_arbitro/101;20230830;2;2;0
/grafico_artilheiro/420;20230830;2;2;0
/grafico_artilheiro/500;20230820;2;2;1
/grafico_artilheiro/500;20230822;2;2;0
/grafico_artilheiro/500;20230825;2;2;0
/grafico_artilheiro/500;20230826;2;2;0
/grafico_artilheiro/500;20230905;2;2;0
/grafico_artilheiro/501;20230830;2;2;0
/grafico_artilheiro/502;20230821;2;1;0
/grafico_artilheiro/502;20230823;2;1;0
/grafico_artilheiro/502;20230824;2;1;0
/grafico_artilheiro/502;20230901;2;1;0
/grafico_artilheiro/515;20230823;2;2;0
/grafico_artilheiro/562;20230818;2;1;0
/grafico_artilheiro/562;20230821;2;2;0
/grafico_artilheiro/563;20230823;2;2;0
/grafico_artilheiro/608;20230823;2;2;0
/grafico_assistencia/601;20230823;2;2;0
/grafico_assistencia/624;20230823;2;1;0
/grafico_assistencia/624;20230826;2;2;0
/grafico_campeonato/203;20230826;2;1;0
/grafico_campeonato/303;20230824;2;1;0
/grafico_campeonato/517;20230821;2;1;0
/grafico_campeonato/517;20230823;2;2;0
/grafico_campeonato/518;20230823;2;2;0
/grafico_estadio/202;20230823;2;2;0
/grafico_tecnico/105;20230821;2;1;0
/grafico_tecnico/305;20230821;2;1;0
/idades/661000000000;20230823;2;2;0
/idades/662000000000;20230823;2;2;0
/idades/662000000000;20230901;2;2;0
/link_adversario/106;20230908;2;1;0
/link_adversario/109;20230824;2;2;0
/link_adversario/147;20230905;2;2;2
/link_adversario/168;20230902;2;2;0
/link_adversario/168;20230903;2;2;0
/link_adversario/325;20230817;2;1;1
/link_adversario/35;20230827;2;1;0
/link_adversario/40;20230821;2;2;0
/link_adversario/418;20230826;2;2;0
/link_adversario/461;20230830;2;2;2
/link_adversario/461;20230903;2;1;1
/link_adversario/48;20230820;2;2;2
/link_adversario/49;20230814;2;2;0
/link_adversario/49;20230823;2;2;0
/link_adversario/49;20230830;2;2;0
/link_adversario/510;20230830;2;2;1
/link_adversario/511;20230823;2;2;2
/link_adversario/511;20230904;2;2;1
/link_adversario/513;20230908;2;1;0
/link_adversario/575;20230815;2;2;1
/link_adversario/62;20230821;2;2;0
/link_adversario/62;20230828;2;2;0
/link_adversario/74;20230821;2;2;0
/link_adversario/741;20230823;2;1;0
/link_adversario/741;20230825;2;2;0
/link_adversario/741;20230827;2;2;0
/link_adversario/741;20230829;2;2;0
/link_adversario/741;20230830;2;2;0
/link_arbitro/1130;20230817;2;1;0
/link_arbitro/1292;20230819;2;1;0
/link_arbitro/1308;20230820;2;2;0
/link_arbitro/1334;20230825;2;1;0
/link_arbitro/246;20230910;2;1;1
/link_assist/2070;20230830;2;2;0
/link_assist/2415;20230902;2;2;0
/link_assist/2476;20230901;2;1;0
/link_assist/2476;20230902;2;2;0
/link_batedor/8490;20230830;2;2;0
/link_camisa/111;20230903;2;2;0
/link_camisa/79;20230828;2;2;0
/link_campeonato/123;20230908;2;1;1
/link_campeonato/331;20230823;2;1;0
/link_campeonato/367;20230816;2;2;2
/link_campeonato/367;20230831;2;2;1
/link_campeonato/367;20230909;2;2;2
/link_campeonato/416;20230823;2;2;2
/link_campeonato/421;20230814;2;2;2
/link_campeonato/445;20230819;2;2;2
/link_campeonato/445;20230820;2;2;2
/link_campeonato/743;20230821;2;1;0
/link_campeonato/799;20230825;2;2;0
/link_campeonato/799;20230901;2;2;0
/link_campeonato/801;20230820;2;2;0
/link_detgol/7244;20230823;2;2;1
/link_detgol/7244;20230825;2;2;1
/link_estadio/102;20230904;2;2;0
/link_estadio/151;20230831;2;1;0
/link_estadio/158;20230826;2;1;0
/link_estadio/23;20230824;2;2;2
/link_estadio/23;20230906;2;2;2
/link_estadio/30;20230904;2;1;0
/link_estadio/316;20230831;2;2;0
/link_estadio/48;20230816;2;2;2
/link_estadio/48;20230820;2;2;1
/link_estadio/48;20230901;2;1;1
/link_estadio/55;20230819;2;2;0
/link_estadio/55;20230831;2;2;0
/link_estadio/55;20230908;2;2;0
/link_estadio/626;20230909;2;0;0
/link_estadio/664;20230822;2;2;2
/link_estadio/67;20230908;2;2;2
/link_gol/1221;20230830;2;1;0
/link_gol/2476;20230826;2;1;0
/link_gol/702;20230830;2;1;0
/link_jogador/1057;20230910;2;1;1
/link_jogador/106;20230831;2;2;0
/link_jogador/1060;20230817;2;1;0
/link_jogador/1086;20230822;2;2;2
/link_jogador/1086;20230825;2;1;1
/link_jogador/1086;20230830;2;1;1
/link_jogador/1156;20230905;2;2;0
/link_jogador/1165;20230908;2;1;0
/link_jogador/1221;20230830;2;1;0
/link_jogador/1240;20230901;2;2;2
/link_jogador/1242;20230815;2;2;2
/link_jogador/1242;20230821;2;2;2
/link_jogador/1303;20230908;2;1;0
/link_jogador/154;20230829;2;2;0
/link_jogador/1799;20230824;2;1;1
/link_jogador/2015;20230905;2;2;0
/link_jogador/2046;20230815;2;1;0
/link_jogador/2059;20230828;2;2;0
/link_jogador/2070;20230830;2;2;0
/link_jogador/2137;20230828;2;2;0
/link_jogador/2137;20230904;2;2;0
/link_jogador/2200;20230827;2;2;0
/link_jogador/2204;20230820;2;2;0
/link_jogador/2204;20230826;2;2;0
/link_jogador/2208;20230820;2;2;0
/link_jogador/2208;20230826;2;2;0
/link_jogador/2208;20230828;2;1;0
/link_jogador/2350;20230829;2;2;0
/link_jogador/2363;20230824;2;2;0
/link_jogador/2363;20230826;2;2;0
/link_jogador/2367;20230821;2;2;0
/link_jogador/2367;20230826;2;2;0
/link_jogador/2367;20230827;2;2;0
/link_jogador/2367;20230828;2;2;0
/link_jogador/2376;20230828;2;1;0
/link_jogador/2406;20230828;2;1;1
/link_jogador/2411;20230904;2;2;0
/link_jogador/2415;20230826;2;2;0
/link_jogador/2418;20230825;2;2;0
/link_jogador/2418;20230826;2;2;0
/link_jogador/2421;20230821;2;2;0
/link_jogador/2421;20230903;2;2;0
/link_jogador/2422;20230901;2;2;0
/link_jogador/2476;20230823;2;1;0
/link_jogador/2476;20230902;2;2;0
/link_jogador/2478;20230827;2;2;0
/link_jogador/2487;20230826;2;2;0
/link_jogador/2487;20230827;2;2;0
/link_jogador/2493;20230904;2;2;0
/link_jogador/296;20230815;2;1;1
/link_jogador/298;20230822;2;2;1
/link_jogador/385;20230902;2;2;2
/link_jogador/386;20230821;2;1;1
/link_jogador/438;20230826;2;2;0
/link_jogador/458;20230826;2;2;0
/link_jogador/463;20230830;2;1;1
/link_jogador/517;20230822;2;1;0
/link_jogador/549;20230815;2;1;0
/link_jogador/550;20230817;2;1;0
/link_jogador/600;20230905;2;1;0
/link_jogador/606;20230903;2;2;2
/link_jogador/667;20230823;2;2;2
/link_jogador/667;20230824;2;2;1
/link_jogador/667;20230827;2;2;2
/link_jogador/667;20230830;2;2;1
/link_jogador/667;20230908;2;1;1
/link_jogador/854;20230905;2;2;2
/link_jogador/871;20230817;2;1;0
/link_jogador/942;20230909;2;1;0
/link_jogador/991;20230828;2;1;0
/link_jogo/142;20230822;2;1;1
/link_jogo/142;20230830;2;2;2
/link_jogo/1449;20230826;2;2;0
/link_jogo/1487;20230814;2;2;0
/link_jogo/1499;20230814;2;2;0
/link_jogo/1501;20230814;2;2;0
/link_jogo/192;20230908;2;1;0
/link_jogo/2084;20230829;2;1;0
/link_jogo/2085;20230829;2;1;0
/link_jogo/2284;20230815;2;1;0
/link_jogo/2285;20230815;2;1;0
/link_jogo/2286;20230815;2;1;0
/link_jogo/2341;20230816;2;1;0
/link_jogo/2342;20230816;2;1;0
/link_jogo/2430;20230905;2;1;0
/link_jogo/2517;20230822;2;2;1
/link_jogo/2541;20230824;2;1;0
/link_jogo/2542;20230824;2;1;0
/link_jogo/2544;20230824;2;1;0
/link_jogo/2545;20230824;2;1;0
/link_jogo/2546;20230824;2;1;0
/link_jogo/2548;20230824;2;1;0
/link_jogo/2554;20230818;2;1;0
/link_jogo/2934;20230814;2;2;1
/link_jogo/2934;20230817;2;2;1
/link_jogo/2934;20230822;2;2;2
/link_jogo/2934;20230823;2;2;1
/link_jogo/2934;20230826;2;2;2
/link_jogo/2934;20230902;2;2;2
/link_jogo/2957;20230819;2;0;0
/link_jogo/2992;20230825;2;2;0
/link_jogo/3032;20230830;2;2;0
/link_jogo/3033;20230830;2;2;0
/link_jogo/3034;20230830;2;2;0
/link_jogo/3039;20230817;2;2;2
/link_jogo/3040;20230825;2;2;0
/link_jogo/3107;20230818;2;2;2
/link_jogo/3117;20230822;2;1;1
/link_jogo/3178;20230909;2;2;1
/link_jogo/3342;20230902;2;2;2
/link_jogo/3459;20230906;2;2;2
/link_jogo/3471;20230814;2;1;0
/link_jogo/3471;20230908;2;2;0
/link_jogo/3474;20230908;2;2;0
/link_jogo/3478;20230831;2;1;1
/link_jogo/3574;20230822;2;2;2
/link_jogo/3577;20230817;2;1;0
/link_jogo/3782;20230902;2;1;0
/link_jogo/3789;20230903;2;2;0
/link_jogo/3791;20230902;2;2;0
/link_jogo/3799;20230902;2;1;0
/link_jogo/3809;20230902;2;1;0
/link_jogo/3991;20230830;2;2;2
/link_jogo/3991;20230909;2;2;1
/link_jogo/4039;20230909;2;1;0
/link_jogo/4040;20230909;2;1;0
/link_jogo/4041;20230908;2;1;0
/link_jogo/4041;20230909;2;1;0
/link_jogo/4042;20230909;2;1;0
/link_jogo/4043;20230909;2;1;0
/link_jogo/4044;20230909;2;1;0
/link_jogo/4046;20230909;2;1;0
/link_jogo/4047;20230909;2;1;0
/link_jogo/4048;20230909;2;1;0
/link_jogo/4049;20230908;2;1;0
/link_jogo/4049;20230909;2;1;0
/link_jogo/4050;20230909;2;1;0
/link_jogo/4051;20230909;2;1;0
/link_jogo/4052;20230909;2;1;0
/link_jogo/4093;20230909;2;1;0
/link_jogo/4094;20230909;2;1;0
/link_jogo/4095;20230909;2;1;0
/link_jogo/4096;20230909;2;1;0
/link_jogo/4097;20230909;2;1;0
/link_jogo/4098;20230909;2;1;0
/link_jogo/4099;20230909;2;1;0
/link_jogo/4100;20230909;2;1;0
/link_jogo/4101;20230909;2;1;0
/link_jogo/4102;20230909;2;1;0
/link_jogo/4103;20230909;2;1;0
/link_jogo/4104;20230909;2;1;0
/link_jogo/4105;20230909;2;1;0
/link_jogo/4107;20230909;2;1;0
/link_jogo/4108;20230909;2;1;0
/link_jogo/4109;20230909;2;1;0
/link_jogo/4109;20230910;2;2;0
/link_jogo/4110;20230909;2;1;0
/link_jogo/4110;20230910;2;2;0
/link_jogo/4111;20230910;2;2;0
/link_jogo/4112;20230909;2;1;0
/link_jogo/4113;20230909;2;1;0
/link_jogo/4113;20230910;2;2;0
/link_jogo/4114;20230909;2;1;0
/link_jogo/4114;20230910;2;2;0
/link_jogo/4115;20230909;2;1;0
/link_jogo/4115;20230910;2;2;0
/link_jogo/4116;20230909;2;1;0
/link_jogo/4116;20230910;2;2;0
/link_jogo/4117;20230909;2;1;0
/link_jogo/4117;20230910;2;2;0
/link_jogo/4118;20230909;2;1;0
/link_jogo/4118;20230910;2;2;0
/link_jogo/4119;20230909;2;1;0
/link_jogo/4119;20230910;2;2;0
/link_jogo/4125;20230907;2;1;0
/link_jogo/4136;20230910;2;2;0
/link_jogo/4157;20230909;2;1;0
/link_jogo/4158;20230909;2;1;0
/link_jogo/4160;20230909;2;1;0
/link_jogo/4161;20230909;2;1;0
/link_jogo/4162;20230909;2;1;0
/link_jogo/4163;20230909;2;1;0
/link_jogo/4166;20230909;2;1;0
/link_jogo/4168;20230909;2;1;0
/link_jogo/4169;20230909;2;1;0
/link_jogo/4170;20230909;2;1;0
/link_jogo/4171;20230909;2;1;0
/link_jogo/4172;20230909;2;1;0
/link_jogo/4173;20230909;2;1;0
/link_jogo/4174;20230909;2;1;0
/link_jogo/4175;20230909;2;1;0
/link_jogo/4176;20230909;2;1;0
/link_jogo/4177;20230909;2;1;0
/link_jogo/4178;20230909;2;1;0
/link_jogo/4179;20230909;2;1;0
/link_jogo/4180;20230909;2;1;0
