Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios
/jogo;20230816;12;9;0
/mostra_adversario;20230906;12;8;0
/mostra_adversario;20230907;12;8;1
/mostra_campeonato;20230824;12;11;0
/mostra_campeonato;20230901;12;12;0
/mostra_campeonato;20230906;12;7;0
/mostra_jogador;20230822;12;10;0
/mostra_jogo;20230815;12;6;0
/mostra_jogo;20230818;12;6;0
/mostra_jogo;20230829;12;8;0
/mostra_jogo;20230901;12;10;0
/mostra_tecnico;20230831;12;10;0
/tecnico;20230831;12;12;0
/adversario;20230910;11;9;0
/campeonato;20230814;11;6;1
/consulta_especial_jogador;20230824;11;11;0
/consulta_especial_jogador;20230905;11;10;0
/consulta_especial_jogos;20230825;11;5;0
/especial;20230816;11;9;0
/especial;20230822;11;6;0
/estadio;20230831;11;11;0
/geral;20230824;11;9;0
/geral;20230901;11;10;0
/jogo;20230819;11;10;0
/jogo;20230820;11;11;0
/jogo;20230910;11;8;0
/mostra_arbitro;20230827;11;10;0
/mostra_campeonato;20230827;11;9;0
/mostra_campeonato;20230830;11;9;0
/mostra_jogo;20230820;11;8;0
/mostra_jogo;20230822;11;6;0
/mostra_jogo;20230830;11;9;0
/mostra_ranking/900000000000;20230825;11;11;0
/mostra_rkg/;20230820;11;10;0
/mostra_tecnico;20230815;11;8;0
/adversario;20230817;10;8;0
/adversario;20230820;10;10;0
/adversario;20230907;10;7;2
/arbitro;20230827;10;10;0
/campeonato;20230826;10;9;0
/campeonato;20230829;10;10;0
/campeonato;20230830;10;10;0
/consulta_especial_adversario;20230903;10;7;0
/consulta_especial_estadio;20230903;10;8;0
/consulta_especial_jogos;20230905;10;8;0
/especial;20230906;10;9;0
/geral;20230820;10;10;0
/jogador;20230816;10;9;0
/jogo;20230817;10;7;0
/jogo;20230829;10;9;0
/jogo;20230909;10;8;0
/link_jogo/8728;20230820;10;7;0
/mostra_adversario;20230909;10;6;0
/mostra_especial/;20230905;10;8;0
/mostra_jogo;20230817;10;6;0
/mostra_jogo;20230823;10;9;0
/mostra_jogo;20230906;10;8;0
/mostra_ranking/900000000000;20230901;10;9;0
/mostra_rkg/;20230819;10;9;0
/arbitro;20230903;9;7;0
/campeonato;20230820;9;9;0
/consulta_especial_adversario;20230905;9;7;0
/consulta_especial_gerais;20230825;9;8;0
/consulta_especial_jogador;20230821;9;7;0
/consulta_especial_jogador;20230826;9;9;0
/consulta_ranking/900103000000;20230901;9;9;0
/especial;20230829;9;9;0
/estadio;20230827;9;8;0
/estadio;20230905;9;9;0
/geral;20230904;9;6;0
/grafico;20230823;9;5;0
/grafico;20230831;9;9;0
/jogo;20230907;9;7;0
/link_adversario/741;20230901;9;8;0
/link_jogo/8730;20230828;9;7;0
/link_jogo/8731;20230901;9;9;0
/mostra_adversario;20230817;9;7;0
/mostra_adversario;20230820;9;9;0
/mostra_arbitro;20230906;9;8;0
/mostra_campeonato;20230814;9;5;0
/mostra_campeonato;20230829;9;9;0
/mostra_especial/;20230823;9;7;0
/mostra_especial/;20230903;9;6;0
/mostra_especial_jogo;20230905;9;6;0
/mostra_estadio;20230825;9;8;0
/mostra_estadio;20230827;9;7;0
/mostra_estadio;20230905;9;9;0
/mostra_jogador;20230816;9;9;1
/mostra_jogo;20230814;9;5;0
/mostra_jogo;20230824;9;7;0
/mostra_jogo;20230907;9;5;0
/mostra_jogo;20230908;9;9;0
/mostra_rkg/;20230831;9;7;0
/mostra_rkg/;20230903;9;8;0
/tecnico;20230815;9;8;0
/tecnico;20230901;9;9;0
/adversario;20230815;8;7;0
/arbitro;20230818;8;8;0
/consulta_especial_adversario;20230814;8;7;0
/consulta_especial_jogador;20230823;8;7;0
/consulta_especial_jogador;20230827;8;8;0
/consulta_especial_jogador;20230904;8;7;0
/estadio;20230825;8;8;0
/geral;20230819;8;8;0
/jogo;20230902;8;7;0
/link_mascote/686;20230824;8;8;8
/mostra_campeonato;20230821;8;6;0
/mostra_campeonato;20230826;8;7;0
/mostra_especial_jogo;20230825;8;4;0
/mostra_especial_jogo;20230828;8;5;0
/mostra_jogador_gols;20230901;8;5;0
/mostra_jogo;20230827;8;7;0
/mostra_jogo;20230831;8;8;0
/mostra_ranking/801000000000;20230901;8;8;0
/mostra_ranking/900000000000;20230820;8;8;2
/mostra_tecnico;20230901;8;7;0
/tecnico;20230814;8;7;0
/adversario;20230816;7;7;0
/arbitro;20230906;7;7;0
/campeonato;20230821;7;6;0
/campeonato;20230904;7;7;0
/campeonato;20230905;7;5;0
/campeonato;20230907;7;5;0
/consulta_especial_adversario;20230831;7;7;0
/consulta_especial_brasileiro;20230814;7;4;0
/consulta_especial_jogador;20230815;7;6;0
/consulta_especial_jogador;20230818;7;6;0
/consulta_especial_jogador;20230822;7;3;0
/consulta_especial_jogador;20230828;7;6;0
/curiosidade;20230825;7;5;1
/especial;20230910;7;7;0
/estadio;20230821;7;6;0
/estadio;20230901;7;7;0
/estadio;20230902;7;7;0
/estadio;20230910;7;5;0
/geral;20230903;7;7;0
/grafico;20230824;7;4;0
/jogo;20230822;7;7;0
/link_jogador/2421;20230819;7;6;0
/link_jogo/2934;20230815;7;6;5
/link_jogo/3789;20230902;7;4;0
/link_jogo/4990;20230820;7;7;6
/link_jogo/4990;20230826;7;6;5
/mostra_adversario;20230815;7;6;0
/mostra_arbitro;20230826;7;5;0
/mostra_campeonato;20230820;7;7;0
/mostra_campeonato;20230823;7;6;0
/mostra_campeonato;20230902;7;5;0
/mostra_especial/;20230825;7;7;0
/mostra_especial/;20230902;7;5;0
/mostra_especial/;20230904;7;5;0
/mostra_especial_jogo;20230901;7;4;0
/mostra_estadio;20230821;7;5;0
/mostra_estadio;20230901;7;6;0
/mostra_ranking/801000000000;20230825;7;7;0
/mostra_ranking/900000000000;20230819;7;6;0
/mostra_rkg/;20230905;7;6;0
/mostra_tecnico;20230819;7;4;0
/camisa;20230814;6;5;0
/camisa;20230826;6;6;0
/campeonato;20230815;6;5;0
/campeonato;20230817;6;4;0
/campeonato;20230823;6;6;0
/campeonato;20230828;6;5;0
/campeonato;20230902;6;5;0
/consulta_especial/102103000;20230823;6;4;0
/consulta_especial_adversario;20230901;6;6;0
/consulta_especial_adversario;20230902;6;5;0
/consulta_especial_estadio;20230823;6;5;0
/consulta_especial_estadio;20230825;6;6;0
/consulta_especial_estadio;20230902;6;4;0
/consulta_especial_gerais;20230826;6;5;0
/consulta_especial_jogador;20230830;6;5;0
/consulta_especial_sequencia;20230825;6;5;0
/consulta_especial_tecnico;20230819;6;6;0
/consulta_especial_tecnico;20230825;6;5;0
/consulta_especial_tecnico;20230904;6;5;0
/especial;20230909;6;4;0
/estadio;20230823;6;6;0
/geral;20230823;6;6;0
/geral;20230905;6;6;0
/link_jogador/2421;20230831;6;6;0
/link_jogo/4990;20230831;6;5;5
/link_jogo/8490;20230830;6;3;0
/link_jogo/8729;20230828;6;4;0
/link_todos/109/100;20230819;6;4;0
/mostra_arbitro;20230905;6;5;0
/mostra_campeonato;20230905;6;5;0
/mostra_campeonato;20230907;6;4;0
/mostra_especial/;20230901;6;3;0
/mostra_especial_jogo;20230829;6;3;0
/mostra_estadio;20230823;6;6;0
/mostra_jogo;20230819;6;6;0
/mostra_ranking/801000000000;20230903;6;5;0
/mostra_rkg/;20230827;6;6;0
/mostra_rkg/;20230902;6;5;0
/tecnico;20230819;6;6;0
/arbitro;20230824;5;5;0
/arbitro;20230825;5;5;0
/arbitro;20230828;5;5;2
/arbitro;20230905;5;5;1
/campeonato;20230903;5;5;0
/campeonato;20230908;5;4;0
/consulta_especial/100102000;20230905;5;5;0
/consulta_especial/102103000;20230903;5;3;0
/consulta_especial_adversario;20230815;5;4;0
/consulta_especial_adversario;20230904;5;5;0
/consulta_especial_brasileiro;20230828;5;1;0
/consulta_especial_campeonato;20230814;5;4;0
