# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Título da página e nome da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
Fluminense 0 X 1 Argentino Juniors;20230808;12;12;10;43;0;0
Informações Gerais;20230808;12;11;0;41;0;0
Jogo;20230810;12;12;3;47.333333333333336;0;0
Jogo;20230813;12;10;0;31.333333333333332;0;0
Jogo;20230816;12;9;0;48.5;0;0
Árbitros;20230805;12;10;1;15.833333333333334;0;0
Adversários;20230803;11;9;0;96.27272727272727;0;0
Campeonatos;20230814;11;6;1;37.09090909090909;0;0
Consultas Especiais;20230816;11;9;0;18.09090909090909;0;0
Especiais Jogadores;20230813;11;9;0;24.363636363636363;0;0
Fluminense x América MG-MG;20230818;11;9;0;15.727272727272727;0;0
Fluminense x Guarani Paraguai-Paraguai;20230809;11;10;9;39.54545454545455;0;0
German Cano 2023;20230819;11;10;0;16.181818181818183;0;0
Informações Gerais;20230813;11;9;0;23.09090909090909;0;0
Jogo;20230808;11;10;1;78.81818181818181;0;0
Jogo;20230819;11;10;0;18.272727272727273;0;0
Jogo;20230820;11;11;0;28.181818181818183;0;0
Árbitros;20230803;11;10;2;17.363636363636363;0;0
Adversários;20230817;10;8;0;11.8;0;0
Adversários;20230820;10;10;0;16.8;0;0
Campeonatos;20230803;10;10;1;21.8;0;0
Estádios;20230811;10;10;0;8;0;0
Fluminense 3 X 1 Olimpia;20230811;10;9;0;6.8;0;0
Fluminense x Grêmio-RS;20230812;10;9;0;33.5;0;0
Informações Gerais;20230820;10;10;0;33.7;0;0
Jogo;20230817;10;7;0;46.1;0;0
John Kennedy 2023;20230809;10;8;0;10.1;0;0
Maiores Artilheiros;20230820;10;10;3;86;0;0
Campeonatos;20230820;9;9;0;9.444444444444445;0;0
Clinamute Vieira França;20230804;9;3;3;8.11111111111111;0;0
Especiais Jogadores;20230807;9;9;0;23.666666666666668;0;0
Fluminense x Argentino Juniors-Argentina;20230807;9;8;0;22.22222222222222;0;0
Fluminense x San Lorenzo-Argentina;20230808;9;8;7;19.77777777777778;0;0
Informações Gerais;20230806;9;8;0;18;0;0
Jogo;20230805;9;8;1;82.55555555555556;0;0
John Kennedy 2023;20230806;9;8;0;37.111111111111114;0;0
Olimpia 2 X 1 Fluminense;20230811;9;8;0;10.444444444444445;0;0
Ramon Abatti Abel;20230803;9;7;0;31.22222222222222;0;0
Técnico;20230815;9;8;0;30.88888888888889;0;0
(not set);20230810;8;5;0;15.75;0;0
Adversários;20230815;8;7;0;26;0;0
Campeonatos;20230806;8;7;0;76.125;0;0
Campeonatos;20230808;8;8;0;12.375;0;0
Especiais Adversários;20230810;8;8;0;9.375;0;0
Especiais Adversários;20230814;8;7;0;8.75;0;0
Especiais Jogos;20230811;8;5;0;8.875;0;0
Fluminense x Botafogo-RJ;20230804;8;5;0;35.875;0;0
Fluminense x Olimpia-Paraguai;20230812;8;5;0;25.625;0;0
Fluminense x Palmeiras-SP;20230802;8;7;0;101.125;0;0
Fluminense x Palmeiras-SP;20230803;8;8;0;162;0;0
Fluminense x Palmeiras-SP;20230807;8;8;0;54.125;0;0
Fábio 2023;20230817;8;7;0;16.625;0;0
Informações Gerais;20230819;8;8;0;10.875;0;0
Jogador;20230802;8;8;1;9.375;0;0
Maiores Artilheiros;20230819;8;6;0;40.5;0;0
Olimpia 2 X 0 Fluminense;20230811;8;7;0;28.625;0;0
Tec - Fernando Diniz;20230819;8;5;0;11.875;0;0
Todos os Jogos contra América MG-MG;20230819;8;6;0;35.25;0;0
Técnico;20230814;8;7;0;5.25;0;0
Árbitros;20230818;8;8;0;26.625;0;0
Adversários;20230816;7;7;0;10.714285714285714;0;0
Alexis Herrera;20230805;7;6;0;25.714285714285715;0;0
Campeonatos;20230810;7;7;1;28;0;0
Campeonatos;20230812;7;4;0;23;0;0
Especiais Adversários;20230803;7;4;0;3.4285714285714284;0;0
Especiais Adversários;20230806;7;5;0;7;0;0
Especiais Adversários;20230809;7;7;0;11.142857142857142;0;0
Especiais Brasileirão;20230814;7;4;0;15.857142857142858;0;0
Especiais Estádios;20230807;7;5;0;19;0;0
Especiais Jogadores;20230805;7;7;0;18.142857142857142;0;0
Especiais Jogadores;20230811;7;7;0;26.571428571428573;0;0
Especiais Jogadores;20230812;7;5;0;48.57142857142857;0;0
Especiais Jogadores;20230815;7;6;0;23.714285714285715;0;0
Especiais Jogadores;20230818;7;6;0;48.714285714285715;0;0
Especiais Sequências;20230810;7;3;0;40.285714285714285;0;0
Estádios;20230809;7;5;0;8.285714285714286;0;0
Fluminense 1 X 0 Bayern de Munique;20230815;7;6;5;11.857142857142858;0;0
Fluminense 2 X 0 Argentino Juniors;20230809;7;6;0;5.571428571428571;0;0
Fluminense 2 X 3 ABC;20230820;7;7;6;16.428571428571427;0;0
Fluminense x Argentino Juniors-Argentina;20230809;7;7;0;29;0;0
Informações Gerais;20230810;7;7;0;38;0;0
Jogo;20230812;7;6;0;61.57142857142857;0;0
John Kennedy 2023;20230819;7;7;0;19.571428571428573;0;0
Samuel Xavier 2023;20230808;7;7;1;13.285714285714286;0;0
Samuel Xavier 2023;20230809;7;7;1;23.285714285714285;0;0
Técnico;20230803;7;7;1;12.857142857142858;0;0
Técnico;20230813;7;6;0;16.285714285714285;0;0
Árbitros;20230813;7;7;1;18.142857142857142;0;0
Camisa;20230813;6;5;0;4.833333333333333;0;0
Camisa;20230814;6;5;0;16;0;0
Campeonatos;20230811;6;6;0;14.166666666666666;0;0
Campeonatos;20230815;6;5;0;13;0;0
Campeonatos;20230817;6;4;0;11.666666666666666;0;0
Consultas Especiais;20230802;6;6;0;6.166666666666667;0;0
Curiosidades e Títulos;20230804;6;6;0;31;0;0
Curiosidades e Títulos;20230807;6;6;0;17.333333333333332;0;0
Curiosidades e Títulos;20230809;6;6;0;20;0;0
Especiais Gerais;20230803;6;4;2;20.166666666666668;0;0
Especiais Jogos;20230805;6;5;0;12.166666666666666;0;0
Especiais Técnico;20230819;6;6;0;7.833333333333333;0;0
Fluminense 2 X 0 Argentino Juniors;20230808;6;5;0;27;0;0
Fluminense 3 X 1 América MG;20230819;6;6;0;19.333333333333332;0;0
Fluminense 3 X 1 Toluca;20230804;6;4;4;30.166666666666668;0;0
Fluminense x América MG-MG;20230815;6;5;0;34.333333333333336;0;0
Fluminense x Cuiaba-MT;20230806;6;6;0;24.166666666666668;0;0
Fluminense x Flamengo-RJ;20230806;6;6;0;32.166666666666664;0;0
Fluminense x Internacional-RS;20230813;6;5;0;22.5;0;0
Fluminense x Olimpia-Paraguai;20230809;6;5;0;13.166666666666666;0;0
Fluminense x Vasco-RJ;20230804;6;4;0;12.166666666666666;0;0
German Cano 2023;20230804;6;4;1;43.666666666666664;0;0
Grêmio 4 X 5 Fluminense;20230812;6;4;0;21.333333333333332;0;0
Jhon Arias 2023;20230806;6;6;0;26.5;0;0
Jhon Arias 2023;20230820;6;6;0;20.5;0;0
Mascotes;20230808;6;6;5;20.5;0;0
Nélio 1970;20230813;6;5;3;7.666666666666667;0;0
Rodrigo José Pereira de Lima;20230813;6;5;0;14.833333333333334;0;0
Todos os jogos de Adversário;20230806;6;4;0;48.666666666666664;0;0
Técnico;20230819;6;6;0;6.666666666666667;0;0
Árbitros;20230810;6;6;0;15.5;0;0
Argentino Juniors 1 X 1 Fluminense;20230808;5;3;0;5.8;0;0
Branca 2023;20230813;5;3;0;4.8;0;0
Branca 2023;20230814;5;1;0;1.8;0;0
Campeonatos;20230804;5;5;0;45.6;0;0
Campeonatos;20230813;5;4;0;17.4;0;0
Curiosidades e Títulos;20230815;5;5;0;50;0;0
Curiosidades e Títulos;20230820;5;5;0;21.8;0;0
Danielzinho 2023;20230809;5;5;0;44.6;0;0
Danielzinho 2023;20230813;5;5;0;13.8;0;0
Especiais Adversários;20230807;5;5;0;30.8;0;0
Especiais Adversários;20230813;5;3;0;26.4;0;0
Especiais Adversários;20230815;5;4;0;22.8;0;0
Especiais Campeonatos;20230807;5;5;0;10.6;0;0
Especiais Campeonatos;20230808;5;5;0;12.8;0;0
Especiais Campeonatos;20230809;5;4;0;3;0;0
Especiais Campeonatos;20230814;5;4;0;12;0;0
Especiais Estádios;20230806;5;5;0;4.6;0;0
Especiais Estádios;20230809;5;5;0;11.6;0;0
Especiais Gerais;20230809;5;5;0;35.2;0;0
Especiais Gerais;20230813;5;3;0;15.2;0;0
Especiais Jogadores;20230803;5;5;0;10.6;0;0
Especiais Jogadores;20230804;5;5;0;74.4;0;0
Especiais Jogadores;20230816;5;4;0;24.8;0;0
Especiais Jogadores;20230817;5;5;0;31.8;0;0
Especiais Jogos;20230808;5;3;0;10.8;0;0
Especiais Jogos;20230809;5;5;0;9.2;0;0
Especiais Jogos;20230814;5;3;0;26.8;0;0
Estádios;20230813;5;5;0;33.6;0;0
Estádios;20230816;5;5;0;10.6;0;0
Fluminense 0 X 1 Argentino Juniors;20230807;5;5;2;24.4;0;0
Fluminense 0 X 1 Argentinos Juniors;20230809;5;5;5;80.6;0;0
Fluminense 1 X 0 Bayern de Munique;20230806;5;4;4;11.2;0;0
Fluminense 1 X 0 Santos;20230813;5;4;0;8.2;0;0
Fluminense 2 X 0 Argentinos Juniors;20230809;5;5;0;30.4;0;0
Fluminense 2 X 0 Argentinos Juniors;20230810;5;5;0;40.6;0;0
Fluminense 2 X 1 Palmeiras;20230807;5;3;0;14.8;0;0
Fluminense 2 X 3 ABC;20230810;5;5;4;23.4;0;0
Fluminense 2 X 3 ABC;20230816;5;5;5;20.4;0;0
Fluminense x Botafogo-RJ;20230807;5;3;0;14.8;0;0
Fluminense x Flamengo-RJ;20230804;5;4;0;43.6;0;0
Fluminense x Grêmio-RS;20230807;5;4;0;55.2;0;0
Fluminense x Grêmio-RS;20230809;5;4;0;41.4;0;0
Fluminense x Guarani Paraguai-Paraguai;20230802;5;5;4;29.8;0;0
Fábio 2023;20230808;5;5;0;8.8;0;0
German Cano 2023;20230807;5;4;0;25.8;0;0
Gráficos;20230803;5;5;0;10;0;0
Gráficos;20230809;5;5;0;14.8;0;0
Grêmio 2 X 1 Fluminense;20230814;5;5;0;13.8;0;0
Informações Gerais;20230803;5;5;0;33.4;0;0
Informações Gerais;20230805;5;4;0;6;0;0
Informações Gerais;20230807;5;5;0;6.8;0;0
Jogador x Campeonato;20230810;5;4;0;16.6;0;0
Jogo;20230802;5;5;0;39;0;0
John Kennedy 2023;20230807;5;4;0;42.6;0;0
John Kennedy 2023;20230820;5;5;0;26.6;0;0
Kashima Antlers 2 X 0 Fluminense;20230804;5;2;2;34.4;0;0
Maiores Artilheiros;20230803;5;5;0;60.8;0;0
Maiores Artilheiros;20230813;5;5;0;104.8;0;0
Maiores Artilheiros;20230818;5;5;0;79;0;0
Mais jogos no elenco atual;20230806;5;5;0;56.2;0;0
Mais jogos no elenco atual;20230808;5;4;0;83.2;0;0
Mais jogos no elenco atual;20230809;5;3;0;49.8;0;0
Mais jogos no elenco atual;20230819;5;4;0;25.2;0;0
Marcelo 2023;20230806;5;4;0;17;0;0
Paulistano 2 X 2 Fluminense;20230813;5;3;0;19.2;0;0
Paulo 1961;20230816;5;5;5;182.4;0;0
Próximos Jogos;20230811;5;4;0;41.8;0;0
Ramon Abatti Abel;20230805;5;4;0;13;0;0
Ranking de Assistências;20230820;5;5;0;43.8;0;0
Ranking de turnos;20230814;5;3;0;25.4;0;0
Rio Cricket 1 X 7 Fluminense;20230810;5;5;0;42;0;0
Samuel Xavier 2023;20230811;5;5;1;31;0;0
Tec - Fernando Diniz;20230803;5;4;0;12.4;0;0
Tec - Fernando Diniz;20230815;5;5;0;11.4;0;0
