# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230821
# Data de termino: 20230917
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/jogador;20230913;20;19;0;32.15;0;0
/jogo;20230901;20;20;0;54.1;0;0
/mostra_adversario;20230902;20;17;0;34.55;0;0
/mostra_adversario;20230913;20;14;0;89.15;0;0
/mostra_jogador;20230909;20;14;0;90.65;0;0
/adversario;20230821;19;19;0;18.36842105263158;0;0
/especial;20230912;19;16;0;24.789473684210527;0;0
/link_mascote/686;20230831;19;18;17;19.63157894736842;0;0
/mostra_jogador;20230826;19;14;0;32.63157894736842;0;0
/mostra_jogador;20230905;19;11;0;13.105263157894736;0;0
/mostra_jogador;20230913;19;17;0;56.473684210526315;0;0
/adversario;20230828;18;17;0;49.388888888888886;0;0
/especial;20230828;18;13;0;9.333333333333334;0;0
/jogador;20230828;18;16;0;184.83333333333334;0;0
/mostra_adversario;20230821;18;15;0;33.388888888888886;0;0
/mostra_adversario;20230828;18;16;0;176.61111111111111;0;0
/mostra_adversario;20230829;18;15;0;237.44444444444446;0;0
/mostra_adversario;20230914;18;14;0;103.61111111111111;0;0
/mostra_jogo;20230915;18;11;0;58.611111111111114;0;0
/adversario;20230823;17;17;0;21;0;0
/adversario;20230829;17;16;0;84.3529411764706;0;0
/adversario;20230913;17;13;0;87;0;0
/especial;20230904;17;14;0;11.764705882352942;0;0
/jogador;20230909;17;14;0;16.764705882352942;0;0
/jogo;20230914;17;12;0;57.588235294117645;0;0
/link_jogo/8729;20230825;17;11;0;19.647058823529413;0;0
/mostra_jogador;20230902;17;12;0;31.941176470588236;0;0
/mostra_jogo;20230825;17;12;0;67.70588235294117;0;0
/mostra_rkg/;20230825;17;12;0;41.588235294117645;0;0
/adversario;20230911;16;13;1;42.375;0;0
/especial;20230821;16;11;0;7.625;0;0
/jogo;20230821;16;14;0;19.375;0;0
/jogo;20230824;16;16;1;24.6875;0;0
/jogo;20230826;16;13;1;47.875;0;0
/jogo;20230831;16;16;1;35.9375;0;0
/mostra_jogador;20230828;16;14;0;143.25;0;0
/mostra_jogador;20230904;16;12;0;32.3125;0;0
/mostra_jogador;20230910;16;11;1;24.5625;0;0
/mostra_jogador;20230917;16;12;0;28.1875;0;0
/mostra_jogo;20230821;16;12;0;18.5625;0;0
/mostra_jogo;20230914;16;9;0;72.125;0;0
/mostra_rkg/;20230901;16;15;0;50.1875;0;0
/consulta_especial_jogador;20230831;15;13;0;26.466666666666665;0;0
/consulta_especial_jogador;20230915;15;10;0;61.266666666666666;0;0
/jogador;20230904;15;11;0;14.133333333333333;0;0
/jogo;20230827;15;14;0;38.333333333333336;0;0
/jogo;20230905;15;11;0;24.266666666666666;0;0
/mostra_adversario;20230823;15;14;0;44.93333333333333;0;0
/mostra_adversario;20230904;15;12;1;55.06666666666667;0;0
/mostra_jogador;20230829;15;12;0;171.53333333333333;0;0
/mostra_jogo;20230910;15;8;0;202.33333333333334;0;0
/adversario;20230912;14;13;0;113.71428571428571;0;0
/campeonato;20230825;14;13;0;48.5;0;0
/campeonato;20230827;14;14;0;17.428571428571427;0;0
/campeonato;20230901;14;14;0;38.57142857142857;0;0
/consulta_especial_jogador;20230903;14;13;0;15.928571428571429;0;0
/especial;20230830;14;11;0;5.714285714285714;0;0
/especial;20230911;14;7;0;65.57142857142857;0;0
/especial;20230913;14;9;0;2.7857142857142856;0;0
/geral;20230825;14;11;1;31.357142857142858;0;0
/jogador;20230829;14;12;0;109.85714285714286;0;0
/jogador;20230910;14;13;0;18.214285714285715;0;0
/jogo;20230830;14;12;0;22.857142857142858;0;0
/jogo;20230903;14;13;0;23.714285714285715;0;0
/jogo;20230904;14;13;0;20.785714285714285;0;0
/jogo;20230906;14;13;0;45.714285714285715;0;0
/jogo;20230913;14;13;0;96.64285714285714;0;0
/jogo;20230917;14;12;0;78.21428571428571;0;0
/mostra_adversario;20230908;14;9;0;18.357142857142858;0;0
/mostra_campeonato;20230825;14;12;0;62.142857142857146;0;0
/adversario;20230906;13;12;2;54.69230769230769;0;0
/adversario;20230909;13;7;0;32.30769230769231;0;0
/campeonato;20230824;13;12;0;21.615384615384617;0;0
/campeonato;20230831;13;13;0;19;0;0
/especial;20230827;13;12;0;12.23076923076923;0;0
/especial;20230908;13;8;0;5.846153846153846;0;0
/jogador;20230917;13;12;2;58;0;0
/jogo;20230823;13;11;0;28.692307692307693;0;0
/jogo;20230908;13;13;0;97;0;0
/mostra_adversario;20230910;13;9;0;38.69230769230769;0;0
/mostra_campeonato;20230831;13;13;0;25.384615384615383;0;0
/mostra_estadio;20230831;13;10;0;65.6923076923077;0;0
/mostra_jogo;20230826;13;6;0;22.846153846153847;0;0
/mostra_jogo;20230903;13;10;0;12.153846153846153;0;0
/mostra_jogo;20230904;13;10;0;8.846153846153847;0;0
/mostra_jogo;20230905;13;7;0;14.461538461538462;0;0
/mostra_jogo;20230909;13;7;0;119.92307692307692;0;0
/adversario;20230904;12;11;1;37.166666666666664;0;0
/adversario;20230908;12;11;1;18.333333333333332;0;0
/arbitro;20230831;12;12;0;21.166666666666668;0;0
/campeonato;20230906;12;7;0;14.583333333333334;0;0
/consulta_especial_jogador;20230902;12;10;0;17.25;0;0
/geral;20230831;12;12;1;15.666666666666666;0;0
/jogador;20230822;12;10;0;67.25;0;0
/mostra_adversario;20230906;12;8;0;63.666666666666664;0;0
/mostra_adversario;20230907;12;8;1;46.5;0;0
/mostra_adversario;20230911;12;10;0;115.91666666666667;0;0
/mostra_campeonato;20230824;12;11;0;50.666666666666664;0;0
/mostra_campeonato;20230901;12;12;0;25.333333333333332;0;0
/mostra_campeonato;20230906;12;7;0;28.583333333333332;0;0
/mostra_jogador;20230822;12;10;0;69.75;0;0
/mostra_jogo;20230829;12;8;0;49.5;0;0
/mostra_jogo;20230901;12;10;0;27.416666666666668;0;0
/mostra_tecnico;20230831;12;10;0;19.916666666666668;0;0
/tecnico;20230831;12;12;0;12.583333333333334;0;0
/adversario;20230910;11;9;0;39.36363636363637;0;0
/camisa;20230915;11;11;0;4.636363636363637;0;0
/consulta_especial_jogador;20230824;11;11;0;19.727272727272727;0;0
/consulta_especial_jogador;20230905;11;10;0;37.09090909090909;0;0
/consulta_especial_jogador;20230914;11;10;0;19;0;0
/consulta_especial_jogos;20230825;11;5;0;15.090909090909092;0;0
/especial;20230822;11;6;0;6.636363636363637;0;0
/estadio;20230831;11;11;0;49.09090909090909;0;0
/geral;20230824;11;9;0;13;0;0
/geral;20230901;11;10;0;27.818181818181817;0;0
/jogo;20230910;11;8;0;193.27272727272728;0;0
/jogo;20230911;11;11;0;159.0909090909091;0;0
/mostra_adversario;20230912;11;9;0;264;0;0
/mostra_arbitro;20230827;11;10;0;39;0;0
/mostra_arbitro;20230917;11;11;1;54.18181818181818;0;0
/mostra_campeonato;20230827;11;9;0;44.18181818181818;0;0
/mostra_campeonato;20230830;11;9;0;256.3636363636364;0;0
/mostra_jogo;20230822;11;6;0;26.90909090909091;0;0
/mostra_jogo;20230830;11;9;0;18.636363636363637;0;0
/mostra_ranking/900000000000;20230825;11;11;0;46.27272727272727;0;0
/adversario;20230907;10;7;2;59.9;0;0
/adversario;20230917;10;9;0;18.1;0;0
/arbitro;20230827;10;10;0;23;0;0
/arbitro;20230917;10;10;0;28.6;0;0
/campeonato;20230826;10;9;0;56.9;0;0
/campeonato;20230829;10;10;0;58;0;0
/campeonato;20230830;10;10;0;54.1;0;0
/consulta_especial_adversario;20230903;10;7;0;12;0;0
/consulta_especial_estadio;20230903;10;8;0;4.3;0;0
/consulta_especial_jogos;20230905;10;8;0;8.1;0;0
/especial;20230906;10;9;0;13.2;0;0
/especial;20230917;10;6;0;4.1;0;0
/jogo;20230829;10;9;0;228.6;0;0
/jogo;20230909;10;8;0;65.3;0;0
/mostra_adversario;20230909;10;6;0;55.8;0;0
/mostra_especial/;20230905;10;8;0;178.6;0;0
/mostra_jogo;20230823;10;9;0;98;0;0
/mostra_jogo;20230906;10;8;0;33.9;0;0
/mostra_jogo;20230912;10;6;0;35.9;0;0
/mostra_jogo;20230917;10;7;0;134.8;0;0
/mostra_ranking/900000000000;20230901;10;9;0;44.7;0;0
/arbitro;20230903;9;7;0;15.11111111111111;0;0
/campeonato;20230911;9;8;0;31.22222222222222;0;0
/consulta_especial_adversario;20230905;9;7;0;10;0;0
/consulta_especial_gerais;20230825;9;8;0;20.444444444444443;0;0
/consulta_especial_jogador;20230821;9;7;0;27.333333333333332;0;0
/consulta_especial_jogador;20230826;9;9;0;18.11111111111111;0;0
/consulta_ranking/900103000000;20230901;9;9;0;11.777777777777779;0;0
/especial;20230829;9;9;0;11;0;0
/estadio;20230827;9;8;0;15.666666666666666;0;0
/estadio;20230905;9;9;0;9.88888888888889;0;0
/estadio;20230915;9;9;0;16.11111111111111;0;0
/geral;20230904;9;6;0;10.444444444444445;0;0
/grafico;20230823;9;5;0;47.333333333333336;0;0
/grafico;20230831;9;9;0;6.555555555555555;0;0
/jogo;20230907;9;7;0;22.11111111111111;0;0
/jogo;20230912;9;9;1;22.77777777777778;0;0
/link_adversario/62;20230915;9;9;2;19.555555555555557;0;0
/link_adversario/741;20230901;9;8;0;27.22222222222222;0;0
/link_jogo/8730;20230828;9;7;0;53;0;0
/link_jogo/8731;20230901;9;9;0;23.555555555555557;0;0
/mostra_adversario;20230917;9;8;0;26.666666666666668;0;0
/mostra_arbitro;20230906;9;8;0;91.44444444444444;0;0
/mostra_campeonato;20230829;9;9;0;124;0;0
/mostra_especial/;20230823;9;7;0;39;0;0
/mostra_especial/;20230903;9;6;0;61.666666666666664;0;0
/mostra_especial/;20230914;9;9;0;62.333333333333336;0;0
/mostra_especial/;20230915;9;7;0;18.88888888888889;0;0
/mostra_especial_jogo;20230905;9;6;0;20.555555555555557;0;0
/mostra_estadio;20230825;9;8;0;30.666666666666668;0;0
/mostra_estadio;20230827;9;7;0;21.666666666666668;0;0
/mostra_estadio;20230905;9;9;0;32;0;0
/mostra_jogo;20230824;9;7;0;22.11111111111111;0;0
/mostra_jogo;20230907;9;5;0;6.111111111111111;0;0
/mostra_jogo;20230908;9;9;0;42.888888888888886;0;0
/mostra_jogo;20230911;9;8;0;33.55555555555556;0;0
/mostra_jogo;20230913;9;9;0;24;0;0
/mostra_rkg/;20230831;9;7;0;17.555555555555557;0;0
/mostra_rkg/;20230903;9;8;0;62;0;0
/tecnico;20230901;9;9;0;5.666666666666667;0;0
/consulta_especial_adversario;20230912;8;8;0;5.375;0;0
/consulta_especial_adversario;20230915;8;5;0;3.625;0;0
/consulta_especial_jogador;20230823;8;7;0;41.75;0;0
/consulta_especial_jogador;20230827;8;8;0;30.625;0;0
/consulta_especial_jogador;20230904;8;7;0;16.5;0;0
/especial;20230916;8;7;0;10.375;0;0
/estadio;20230825;8;8;0;9.5;0;0
/estadio;20230911;8;7;0;15;0;0
/jogo;20230902;8;7;0;24.5;0;0
/link_mascote/686;20230824;8;8;8;19.5;0;0
/mostra_campeonato;20230821;8;6;0;101.125;0;0
/mostra_campeonato;20230826;8;7;0;48;0;0
/mostra_campeonato;20230911;8;7;0;29;0;0
/mostra_especial_jogo;20230825;8;4;0;129.75;0;0
/mostra_especial_jogo;20230828;8;5;0;14;0;0
/mostra_jogador_gols;20230901;8;5;0;23.875;0;0
/mostra_jogo;20230827;8;7;0;71.5;0;0
/mostra_jogo;20230831;8;8;0;235.75;0;0
/mostra_ranking/801000000000;20230901;8;8;0;35.125;0;0
/mostra_tecnico;20230901;8;7;0;10.75;0;0
/arbitro;20230906;7;7;0;21.571428571428573;0;0
/campeonato;20230821;7;6;0;24.857142857142858;0;0
/campeonato;20230904;7;7;0;13.428571428571429;0;0
/campeonato;20230905;7;5;0;9.428571428571429;0;0
/campeonato;20230907;7;5;0;8.285714285714286;0;0
/campeonato;20230916;7;7;0;20.714285714285715;0;0
/consulta_especial_adversario;20230831;7;7;0;5.142857142857143;0;0
/consulta_especial_campeonato;20230914;7;7;0;10;0;0
/consulta_especial_gerais;20230914;7;7;0;26.285714285714285;0;0
/consulta_especial_jogador;20230822;7;3;0;33.57142857142857;0;0
/consulta_especial_jogador;20230828;7;6;0;26.285714285714285;0;0
/curiosidade;20230825;7;5;1;63.142857142857146;0;0
/curiosidade;20230915;7;7;1;17.571428571428573;0;0
/especial;20230910;7;7;0;3.5714285714285716;0;0
/estadio;20230821;7;6;0;13.714285714285714;0;0
/estadio;20230901;7;7;0;16.142857142857142;0;0
/estadio;20230902;7;7;0;9.571428571428571;0;0
/estadio;20230910;7;5;0;7.142857142857143;0;0
/estadio;20230913;7;5;0;10.857142857142858;0;0
/geral;20230903;7;7;0;25.142857142857142;0;0
/grafico;20230824;7;4;0;45.42857142857143;0;0
/jogo;20230822;7;7;0;41.285714285714285;0;0
/jogo;20230916;7;6;0;72.28571428571429;0;0
/link_jogo/3789;20230902;7;4;0;36.57142857142857;0;0
/link_jogo/4990;20230826;7;6;5;11.714285714285714;0;0
/link_todos/62/100;20230915;7;6;0;73.57142857142857;0;0
/mostra_arbitro;20230826;7;5;0;1.4285714285714286;0;0
/mostra_campeonato;20230823;7;6;0;92.57142857142857;0;0
/mostra_campeonato;20230902;7;5;0;35.857142857142854;0;0
/mostra_especial/;20230825;7;7;0;41;0;0
/mostra_especial/;20230902;7;5;0;36.285714285714285;0;0
/mostra_especial/;20230904;7;5;0;49.57142857142857;0;0
/mostra_especial/;20230912;7;5;0;51.142857142857146;0;0
/mostra_especial_jogo;20230901;7;4;0;30.571428571428573;0;0
/mostra_estadio;20230821;7;5;0;35.57142857142857;0;0
/mostra_estadio;20230901;7;6;0;31.571428571428573;0;0
/mostra_estadio;20230911;7;6;0;46.142857142857146;0;0
/mostra_estadio;20230914;7;5;0;15.285714285714286;0;0
/mostra_estadio;20230915;7;7;0;43;0;0
/mostra_jogo;20230916;7;3;0;4.857142857142857;0;0
/mostra_ranking/801000000000;20230825;7;7;0;36.714285714285715;0;0
/mostra_rkg/;20230905;7;6;0;73.57142857142857;0;0
/arbitro;20230915;6;6;0;11;0;0
/camisa;20230826;6;6;0;11;0;0
/campeonato;20230823;6;6;0;57.666666666666664;0;0
/campeonato;20230828;6;5;0;28.333333333333332;0;0
/campeonato;20230902;6;5;0;12.666666666666666;0;0
/consulta_especial/100999000;20230915;6;2;0;3.5;0;0
/consulta_especial/102103000;20230823;6;4;0;27.166666666666668;0;0
/consulta_especial_adversario;20230901;6;6;0;17.166666666666668;0;0
/consulta_especial_adversario;20230902;6;5;0;4.5;0;0
/consulta_especial_estadio;20230823;6;5;0;20;0;0
/consulta_especial_estadio;20230825;6;6;0;17.333333333333332;0;0
/consulta_especial_estadio;20230902;6;4;0;9.5;0;0
/consulta_especial_gerais;20230826;6;5;0;21.833333333333332;0;0
/consulta_especial_jogador;20230830;6;5;0;10.5;0;0
/consulta_especial_jogador;20230911;6;5;0;30.5;0;0
/consulta_especial_jogador;20230913;6;4;0;8.166666666666666;0;0
/consulta_especial_sequencia;20230825;6;5;0;9.5;0;0
/consulta_especial_tecnico;20230825;6;5;0;8.5;0;0
/consulta_especial_tecnico;20230904;6;5;0;7.5;0;0
/especial;20230909;6;4;0;11.5;0;0
/estadio;20230823;6;6;0;20.333333333333332;0;0
/estadio;20230914;6;6;0;9.333333333333334;0;0
/geral;20230823;6;6;0;8.833333333333334;0;0
/geral;20230905;6;6;0;12.5;0;0
/geral;20230915;6;6;0;9.5;0;0
/geral;20230916;6;6;0;13.833333333333334;0;0
/grafico;20230914;6;6;0;10;0;0
/link_jogador/2421;20230831;6;6;0;19.5;0;0
/link_jogo/4990;20230831;6;5;5;10.833333333333334;0;0
/link_jogo/8490;20230830;6;3;0;23.833333333333332;0;0
/link_jogo/8729;20230828;6;4;0;14.666666666666666;0;0
/mostra_arbitro;20230905;6;5;0;25.5;0;0
/mostra_arbitro;20230915;6;5;0;8.5;0;0
/mostra_campeonato;20230905;6;5;0;44.5;0;0
/mostra_campeonato;20230907;6;4;0;16;0;0
/mostra_especial/;20230901;6;3;0;65.16666666666667;0;0
/mostra_especial_jogo;20230829;6;3;0;12.833333333333334;0;0
/mostra_estadio;20230823;6;6;0;32;0;0
/mostra_ranking/801000000000;20230903;6;5;0;53.166666666666664;0;0
/mostra_rkg/;20230827;6;6;0;128.66666666666666;0;0
/mostra_rkg/;20230902;6;5;0;38;0;0
/tecnico;20230916;6;4;0;14.166666666666666;0;0
/arbitro;20230824;5;5;0;22;0;0
/arbitro;20230825;5;5;0;11.8;0;0
/arbitro;20230828;5;5;2;17.4;0;0
/arbitro;20230905;5;5;1;33.8;0;0
/campeonato;20230903;5;5;0;18.4;0;0
/campeonato;20230908;5;4;0;9.4;0;0
/campeonato;20230914;5;4;0;17;0;0
/campeonato;20230915;5;5;0;7.8;0;0
/consulta_especial/100102000;20230905;5;5;0;17.2;0;0
/consulta_especial/102103000;20230903;5;3;0;111.8;0;0
/consulta_especial_adversario;20230904;5;5;0;9.6;0;0
/consulta_especial_adversario;20230913;5;5;0;4;0;0
/consulta_especial_brasileiro;20230828;5;1;0;8.6;0;0
/consulta_especial_campeonato;20230824;5;5;0;28.6;0;0
/consulta_especial_campeonato;20230901;5;3;0;18.6;0;0
/consulta_especial_estadio;20230904;5;5;0;12.2;0;0
/consulta_especial_estadio;20230905;5;5;0;6.4;0;0
/consulta_especial_estadio;20230915;5;3;0;6.2;0;0
/consulta_especial_gerais;20230828;5;3;0;9.8;0;0
/consulta_especial_gerais;20230903;5;5;0;37.2;0;0
/consulta_especial_gerais;20230911;5;4;0;35;0;0
/consulta_especial_jogador;20230829;5;5;0;33.8;0;0
/consulta_especial_jogador;20230912;5;5;0;11.6;0;0
/consulta_especial_jogos;20230828;5;4;0;7.6;0;0
/consulta_especial_jogos;20230901;5;4;0;7.4;0;0
/consulta_especial_jogos;20230902;5;4;0;3.4;0;0
/consulta_especial_jogos;20230911;5;3;0;11.2;0;0
/consulta_especial_jogos;20230914;5;5;0;7.8;0;0
/consulta_especial_tecnico;20230901;5;5;0;16.8;0;0
/consulta_jogador/268106000;20230901;5;4;0;16;0;0
/consulta_ranking/800103000000;20230901;5;4;0;10.6;0;0
/consulta_ranking/900106000000;20230901;5;4;0;3;0;0
/curiosidade;20230821;5;4;0;40.4;0;0
/curiosidade;20230828;5;5;1;51.2;0;0
/curiosidade;20230905;5;5;0;44;0;0
/especial;20230907;5;4;0;10.2;0;0
/estadio;20230824;5;5;0;9;0;0
/estadio;20230826;5;4;0;5.2;0;0
/estadio;20230906;5;5;0;27.8;0;0
/estadio_todos;20230824;5;5;0;139.6;0;0
/estadio_todos;20230902;5;2;0;116;0;0
/estadio_todos;20230904;5;3;0;67.8;0;0
