# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Caminho da página e classe da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
/link_jogo/8486;20230811;2;2;0;3.5;0;0
/link_jogo/8611;20230805;2;2;0;9;0;0
/link_jogo/8611;20230807;2;2;0;19.5;0;0
/link_jogo/8622;20230807;2;2;0;8;0;0
/link_jogo/8633;20230820;2;1;0;4;0;0
/link_jogo/8654;20230820;2;2;0;22.5;0;0
/link_jogo/8660;20230820;2;1;0;20.5;0;0
/link_jogo/8663;20230804;2;2;0;17.5;0;0
/link_jogo/8663;20230819;2;1;0;12.5;0;0
/link_jogo/8665;20230820;2;2;0;1;0;0
/link_jogo/8669;20230805;2;1;0;0;0;0
/link_jogo/8675;20230820;2;1;0;13.5;0;0
/link_jogo/8677;20230820;2;2;0;25;0;0
/link_jogo/8687;20230814;2;1;0;2;0;0
/link_jogo/8687;20230820;2;1;0;11.5;0;0
/link_jogo/8689;20230820;2;1;0;14;0;0
/link_jogo/8691;20230820;2;1;0;3;0;0
/link_jogo/8693;20230809;2;2;0;3;0;0
/link_jogo/8697;20230818;2;1;0;0;0;0
/link_jogo/8697;20230819;2;2;0;22;0;0
/link_jogo/8697;20230820;2;2;0;9.5;0;0
/link_jogo/8698;20230809;2;2;0;3.5;0;0
/link_jogo/8698;20230811;2;2;0;2.5;0;0
/link_jogo/8702;20230809;2;2;0;5;0;0
/link_jogo/8702;20230811;2;2;0;6;0;0
/link_jogo/8702;20230820;2;1;0;5;0;0
/link_jogo/8711;20230811;2;2;0;9.5;0;0
/link_jogo/8714;20230805;2;2;0;7.5;0;0
/link_jogo/8715;20230806;2;2;0;1;0;0
/link_jogo/8716;20230811;2;2;0;5.5;0;0
/link_jogo/8718;20230809;2;2;0;4.5;0;0
/link_jogo/8718;20230811;2;1;0;1.5;0;0
/link_jogo/8718;20230820;2;1;0;2.5;0;0
/link_jogo/8719;20230814;2;2;0;1.5;0;0
/link_jogo/8720;20230814;2;2;0;2.5;0;0
/link_jogo/8721;20230811;2;2;0;15;0;0
/link_jogo/8721;20230814;2;2;0;8;0;0
/link_jogo/8721;20230820;2;2;0;6.5;0;0
/link_jogo/8722;20230802;2;2;0;7.5;0;0
/link_jogo/8722;20230820;2;2;0;34.5;0;0
/link_jogo/8725;20230809;2;2;0;9;0;0
/link_jogo/8725;20230813;2;2;0;4.5;0;0
/link_jogo/8725;20230814;2;2;0;5;0;0
/link_jogo/8726;20230810;2;2;0;11.5;0;0
/link_jogo/8727;20230813;2;2;0;46;0;0
/link_jogo/8727;20230820;2;2;0;4;0;0
/link_tecnico/117;20230818;2;1;0;4.5;0;0
/link_tecnico/70;20230816;2;1;0;0;0;0
/link_tecnico/88;20230813;2;2;1;0.5;0;0
/link_tecnicoadv/146;20230804;2;1;0;24;0;0
/link_tecnicoadv/58;20230819;2;1;0;2.5;0;0
/link_todos/117/100;20230807;2;1;0;123.5;0;0
/link_todos/1334/300;20230805;2;1;0;0;0;0
/link_todos/152/100;20230804;2;2;0;22.5;0;0
/link_todos/49/200;20230805;2;2;2;46.5;0;0
/link_todos/49/200;20230809;2;1;1;0;0;0
/link_todos/80/100;20230808;2;1;0;20.5;0;0
/link_turno/774;20230814;2;1;0;0;0;0
/lista_camp;20230819;2;1;0;0;0;0
/maiores_publicos;20230811;2;2;0;9.5;0;0
/maiores_publicos2;20230809;2;2;0;107;0;0
/maiores_publicos3;20230803;2;1;0;23;0;0
/maiores_publicos_classicos;20230813;2;2;2;40;0;0
/maiores_publicos_classicos;20230814;2;2;2;80.5;0;0
/marcas_historicas;20230812;2;2;0;22;0;0
/media_goleiro/270300000;20230808;2;2;0;69.5;0;0
/mostra_arbitro;20230814;2;2;0;72;0;0
/mostra_arbitro;20230815;2;2;0;30;0;0
/mostra_arbitro;20230820;2;2;0;27;0;0
/mostra_camisa;20230814;2;2;0;11;0;0
/mostra_campeonato;20230802;2;2;0;118.5;0;0
/mostra_campeonato;20230805;2;2;0;101;0;0
/mostra_campeonato;20230818;2;2;0;17;0;0
/mostra_espadv/202000000;20230807;2;2;0;60;0;0
/mostra_espadv/202000000;20230809;2;2;0;48;0;0
/mostra_espadv2;20230804;2;2;0;96;0;0
/mostra_espadv2;20230809;2;2;0;82.5;0;0
/mostra_espadv2;20230812;2;2;0;110;0;0
/mostra_especial/;20230814;2;2;0;95.5;0;0
/mostra_especial/;20230817;2;2;0;13.5;0;0
/mostra_especial/;20230818;2;2;0;44.5;0;0
/mostra_especial_jogo;20230803;2;2;0;13.5;0;0
/mostra_especial_jogo;20230804;2;1;0;22.5;0;0
/mostra_especial_jogo;20230806;2;1;0;8.5;0;0
/mostra_especial_jogo;20230808;2;1;0;33.5;0;0
/mostra_especial_jogo;20230810;2;1;0;42;0;0
/mostra_especial_jogo;20230813;2;2;0;11.5;0;0
/mostra_estadio;20230804;2;2;0;22;0;0
/mostra_estadio;20230807;2;2;0;80.5;0;0
/mostra_estadio;20230808;2;2;0;7;0;0
/mostra_estadio;20230810;2;2;0;22;0;0
/mostra_estadio;20230817;2;2;0;14.5;0;0
/mostra_estadio;20230818;2;2;0;76.5;0;0
/mostra_estadio;20230819;2;2;0;89;0;0
/mostra_goleada/610000000;20230815;2;1;0;31.5;0;0
/mostra_goltempo;20230814;2;2;0;13;0;0
/mostra_numeracao_gols;20230808;2;1;0;3.5;0;0
/mostra_numeracao_gols;20230820;2;1;0;59.5;0;0
/mostra_ranking/800000000000;20230804;2;2;0;14;0;0
/mostra_ranking/800000000000;20230814;2;2;0;2.5;0;0
/mostra_ranking/800800000000;20230806;2;2;0;2.5;0;0
/mostra_ranking/800800000000;20230814;2;2;0;17.5;0;0
/mostra_ranking/800800000000;20230818;2;2;0;88;0;0
/mostra_ranking/800800000000;20230819;2;2;0;52;0;0
/mostra_ranking/800801000000;20230818;2;2;0;79.5;0;0
/mostra_ranking/800805000000;20230806;2;2;0;59.5;0;0
/mostra_ranking/800805000000;20230817;2;2;0;54;0;0
/mostra_ranking/800805000000;20230819;2;2;0;18;0;0
/mostra_ranking/801000000000;20230803;2;2;0;189;0;0
/mostra_ranking/801000000000;20230804;2;2;0;93.5;0;0
/mostra_ranking/801000000000;20230811;2;2;0;65;0;0
/mostra_ranking/801000000000;20230814;2;2;0;16;0;0
/mostra_ranking/801000000000;20230818;2;2;0;10;0;0
/mostra_ranking/804000000000;20230819;2;1;0;0;0;0
/mostra_ranking/814000000000;20230814;2;1;0;4;0;0
/mostra_ranking/814700000000;20230814;2;1;0;4.5;0;0
/mostra_ranking/867000000000;20230806;2;2;0;58;0;0
/mostra_ranking/867000000000;20230808;2;1;0;0;0;0
/mostra_ranking/867000000000;20230818;2;2;0;58.5;0;0
/mostra_ranking/900910000000;20230813;2;2;0;7.5;0;0
/mostra_ranking/902000000000;20230819;2;2;0;131;0;0
/mostra_rkg/;20230802;2;2;0;74.5;0;0
/mostra_sequencia/500000400;20230810;2;1;0;20;0;0
/mostra_sequencia2;20230804;2;2;0;19.5;0;0
/mostra_tecnico;20230811;2;2;0;44;0;0
/mostra_tecnico;20230820;2;2;0;23.5;0;0
/mostra_tempodet/;20230810;2;2;0;29;0;0
/mostra_tempodet/;20230820;2;1;0;353;0;0
/mostra_todos;20230804;2;1;0;0;0;0
/mostra_todos;20230809;2;2;0;12;0;0
/mostra_todos;20230811;2;2;0;37;0;0
/mostra_todos;20230813;2;2;0;18;0;0
/mostra_todos;20230814;2;2;0;44;0;0
/mostra_todos;20230819;2;2;0;138;0;0
/mostra_todos_jogador;20230803;2;1;0;6;0;0
/mostra_todos_jogador;20230806;2;2;0;58.5;0;0
/mostra_todos_jogador;20230810;2;2;0;46;0;0
/mostra_todos_jogador;20230820;2;1;0;310.5;0;0
/mostra_turno;20230814;2;2;0;6;0;0
/proximos_jogos;20230808;2;1;0;86.5;0;0
/publico_ano;20230810;2;2;0;41;0;0
/publico_ano2;20230809;2;2;0;32.5;0;0
/tecnico;20230805;2;1;0;4.5;0;0
/todas_camisas/400000000;20230814;2;1;0;2;0;0
/trabalhos_longos/105492000;20230810;2;2;0;25;0;0
/var_campeonato;20230813;2;1;0;0;0;0
/arbitro;20230809;1;1;0;4;0;0
/artilheiro_turno;20230809;1;1;0;18;0;0
/artilheiro_turno;20230814;1;1;0;15;0;0
/artilheiro_turno;20230818;1;1;0;37;0;0
/avaliacao;20230805;1;1;0;8;0;0
/avaliacao;20230808;1;1;0;8;0;0
/avaliacao;20230814;1;1;0;50;0;0
/camisa;20230805;1;1;1;14;0;0
/camisa;20230807;1;1;0;3;0;0
/camisa;20230808;1;1;0;4;0;0
/camisa;20230816;1;1;0;11;0;0
/camisa;20230818;1;1;0;1;0;0
/camisa;20230820;1;1;0;6;0;0
/cartao_ano;20230802;1;1;0;9;0;0
/cartao_ano;20230812;1;1;0;2;0;0
/cartao_ano;20230814;1;1;0;16;0;0
/consolida_turno;20230818;1;1;0;22;0;0
/consulta_camisa/400001000;20230808;1;1;0;1;0;0
/consulta_camisa/400001000;20230810;1;1;0;3;0;0
/consulta_camisa/400001000;20230814;1;1;0;1;0;0
/consulta_camisa/400001000;20230815;1;1;0;6;0;0
/consulta_camisa/400103000;20230813;1;1;0;15;0;0
/consulta_camisa/400104000;20230814;1;1;0;41;0;0
/consulta_camisa/400104000;20230816;1;1;0;21;0;0
/consulta_camisa/400106000;20230814;1;1;0;8;0;0
/consulta_camisa/400300000;20230804;1;1;0;3;0;0
/consulta_camisa/400345000;20230804;1;1;0;19;0;0
/consulta_campano/106720000;20230808;1;1;0;2;0;0
/consulta_campeonato/103451000;20230808;1;1;0;4;0;0
/consulta_campeonato/103451000;20230814;1;1;0;23;0;0
/consulta_campeonato/103451000;20230819;1;1;0;5;0;0
/consulta_campeonato/103451000;20230820;1;1;0;21;0;0
/consulta_campeonato/103701000;20230812;1;1;0;19;0;0
/consulta_campeonato/103701000;20230814;1;1;0;1;0;0
/consulta_campeonato/103701000;20230819;1;1;0;1;0;0
/consulta_campeonato/103702000;20230814;1;1;0;11;0;0
/consulta_campeonato/103877000;20230812;1;1;0;7;0;0
/consulta_campeonato/103877000;20230813;1;1;0;10;0;0
/consulta_campeonato/103897000;20230814;1;1;0;5;0;0
/consulta_campeonato/103999000;20230806;1;1;0;7;0;0
/consulta_campeonato/103999000;20230814;1;1;0;12;0;0
/consulta_campeonato/103999000;20230819;1;1;0;3;0;0
/consulta_campeonato/103999000;20230820;1;1;0;14;0;0
/consulta_cores/720002000;20230815;1;1;0;0;0;0
/consulta_cores/720003000;20230810;1;1;0;18;0;0
/consulta_espadv/106100000;20230804;1;1;0;81;0;0
/consulta_espadv/106100000;20230806;1;1;0;19;0;0
/consulta_espadv/106100000;20230807;1;1;0;1;0;0
/consulta_espadv/106100000;20230809;1;1;0;3;0;0
/consulta_espadv/106100000;20230811;1;1;0;1;0;0
/consulta_espadv/106100000;20230812;1;1;0;8;0;0
/consulta_espadv/106100000;20230814;1;1;0;0;0;0
/consulta_espadv/106100000;20230815;1;1;0;10;0;0
/consulta_espadv/200000000;20230803;1;1;0;3;0;0
/consulta_espadv/200000000;20230804;1;1;0;12;0;0
/consulta_espadv/200000000;20230808;1;1;0;22;0;0
/consulta_espadv/200000000;20230809;1;1;0;4;0;0
/consulta_espadv/200000000;20230812;1;1;0;15;0;0
/consulta_espadv/200000000;20230814;1;1;0;26;0;0
/consulta_espadv/200000000;20230820;1;1;0;202;0;0
/consulta_espadv/200150000;20230809;1;1;0;107;0;0
/consulta_espadv/200150000;20230810;1;1;0;6;0;0
/consulta_espadv/200150000;20230812;1;1;0;4;0;0
/consulta_espadv/201000000;20230813;1;1;0;4;0;0
/consulta_espadv/203000000;20230804;1;1;0;106;0;0
/consulta_espadv/203000000;20230815;1;1;0;0;0;0
/consulta_espadv/203000000;20230816;1;1;0;5;0;0
/consulta_espadv/210150000;20230808;1;1;0;4;0;0
/consulta_especial/100101000;20230803;1;1;0;6;0;0
/consulta_especial/100101000;20230813;1;1;0;5;0;0
/consulta_especial/100102000;20230802;1;1;0;24;0;0
/consulta_especial/100102000;20230804;1;1;0;14;0;0
/consulta_especial/100102000;20230807;1;1;0;18;0;0
/consulta_especial/100102000;20230809;1;1;0;9;0;0
/consulta_especial/100102000;20230811;1;1;0;32;0;0
/consulta_especial/100102000;20230813;1;1;0;5;0;0
/consulta_especial/100102000;20230814;1;1;0;25;0;0
/consulta_especial/100102000;20230816;1;1;0;10;0;0
/consulta_especial/100102000;20230817;1;1;0;14;0;0
/consulta_especial/100102000;20230819;1;1;0;6;0;0
/consulta_especial/100102492;20230812;1;1;0;25;0;0
/consulta_especial/100103000;20230808;1;1;0;62;0;0
/consulta_especial/100103000;20230812;1;1;0;95;0;0
/consulta_especial/100103000;20230815;1;1;0;20;0;0
/consulta_especial/100103000;20230816;1;1;0;30;0;0
/consulta_especial/100103000;20230817;1;1;0;27;0;0
/consulta_especial/100103000;20230819;1;1;0;13;0;0
/consulta_especial/100103102;20230806;1;1;0;15;0;0
/consulta_especial/100103102;20230809;1;1;0;26;0;0
/consulta_especial/100103999;20230803;1;1;0;29;0;0
/consulta_especial/100103999;20230819;1;1;0;16;0;0
/consulta_especial/100104000;20230813;1;1;0;7;0;0
/consulta_especial/100104000;20230818;1;1;0;2;0;0
/consulta_especial/100104000;20230819;1;1;0;16;0;0
/consulta_especial/100104000;20230820;1;1;0;3;0;0
/consulta_especial/100153000;20230804;1;1;0;12;0;0
/consulta_especial/100358000;20230810;1;1;0;16;0;0
/consulta_especial/100451000;20230813;1;1;0;25;0;0
/consulta_especial/100998000;20230813;1;1;0;0;0;0
/consulta_especial/100998000;20230814;1;1;0;0;0;0
/consulta_especial/100999000;20230804;1;1;0;4;0;0
/consulta_especial/100999000;20230808;1;1;0;13;0;0
/consulta_especial/100999000;20230813;1;1;0;74;0;0
/consulta_especial/101100000;20230813;1;1;0;0;0;0
/consulta_especial/102100000;20230803;1;1;0;12;0;0
/consulta_especial/102100000;20230804;1;1;0;8;0;0
/consulta_especial/102100000;20230807;1;1;0;23;0;0
/consulta_especial/102100000;20230816;1;1;0;80;0;0
/consulta_especial/102103000;20230806;1;1;0;19;0;0
/consulta_especial/102103000;20230810;1;1;0;61;0;0
/consulta_especial/102103000;20230811;1;1;0;31;0;0
/consulta_especial/102103000;20230813;1;1;0;12;0;0
/consulta_especial/102103000;20230815;1;1;0;14;0;0
/consulta_especial/102103000;20230817;1;1;0;21;0;0
/consulta_especial/102103800;20230815;1;1;0;12;0;0
/consulta_especial/102104000;20230804;1;1;0;63;0;0
/consulta_especial/103100000;20230807;1;1;0;24;0;0
/consulta_especial/103100000;20230813;1;1;0;28;0;0
/consulta_especial/103100000;20230815;1;1;0;7;0;0
/consulta_especial/103100000;20230819;1;1;0;14;0;0
/consulta_especial/103102000;20230803;1;1;0;18;0;0
/consulta_especial/103102000;20230811;1;1;0;13;0;0
/consulta_especial/103104000;20230808;1;1;0;113;0;0
/consulta_especial/103104000;20230812;1;1;0;7;0;0
/consulta_especial/103104000;20230815;1;1;0;29;0;0
/consulta_especial/104100000;20230804;1;1;0;4;0;0
/consulta_especial/104102000;20230808;1;1;0;2;0;0
/consulta_especial/104102000;20230809;1;1;0;36;0;0
/consulta_especial/104103000;20230806;1;1;0;43;0;0
/consulta_especial/104103000;20230809;1;1;0;13;0;0
/consulta_especial/104103000;20230812;1;1;0;12;0;0
/consulta_especial/104104000;20230808;1;1;0;54;0;0
/consulta_especial/104104000;20230813;1;1;0;17;0;0
/consulta_especial/105100000;20230813;1;1;0;1;0;0
/consulta_especial/105102000;20230815;1;1;0;20;0;0
/consulta_especial/105103000;20230811;1;1;0;2;0;0
/consulta_especial/105103000;20230813;1;1;0;8;0;0
/consulta_especial/105103000;20230820;1;1;0;4;0;0
/consulta_especial/105452000;20230813;1;1;0;3;0;0
/consulta_especial_adversario;20230805;1;1;0;4;0;0
/consulta_especial_arbitro;20230808;1;1;0;2;0;0
/consulta_especial_arbitro;20230813;1;1;0;91;0;0
/consulta_especial_arbitro;20230814;1;1;0;4;0;0
/consulta_especial_arbitro;20230815;1;1;0;0;0;0
/consulta_especial_arbitro;20230820;1;1;0;11;0;0
/consulta_especial_brasileiro;20230808;1;1;0;28;0;0
/consulta_especial_brasileiro;20230809;1;1;0;7;0;0
/consulta_especial_brasileiro;20230810;1;1;0;5;0;0
/consulta_especial_brasileiro;20230812;1;1;0;45;0;0
/consulta_especial_brasileiro;20230819;1;1;0;14;0;0
/consulta_especial_brasileiro;20230820;1;1;0;4;0;0
/consulta_especial_classico;20230810;1;1;0;20;0;0
/consulta_especial_classico;20230812;1;1;0;31;0;0
/consulta_especial_classico;20230820;1;1;0;32;0;0
/consulta_especial_estadio;20230803;1;1;0;23;0;0
/consulta_especial_estadio;20230805;1;1;0;2;0;0
/consulta_especial_estadio;20230812;1;1;0;1;0;0
/consulta_especial_estadio;20230814;1;1;0;2;0;0
/consulta_especial_estadio;20230816;1;1;0;11;0;0
/consulta_especial_gerais;20230806;1;1;0;1;0;0
/consulta_especial_gerais;20230808;1;1;0;27;0;0
/consulta_especial_gerais;20230816;1;1;0;3;0;0
/consulta_especial_gerais;20230817;1;1;0;2;0;0
/consulta_especial_gerais;20230818;1;1;0;86;0;0
/consulta_especial_jogos;20230818;1;1;0;8;0;0
/consulta_especial_presidente;20230804;1;1;0;10;0;0
/consulta_especial_presidente;20230807;1;1;0;1;0;0
/consulta_especial_presidente;20230813;1;1;0;7;0;0
/consulta_especial_presidente;20230814;1;1;0;12;0;0
/consulta_especial_presidente;20230816;1;1;0;2;0;0
/consulta_especial_presidente;20230820;1;1;0;47;0;0
/consulta_especial_resultados;20230802;1;1;0;4;0;0
/consulta_especial_resultados;20230807;1;1;0;3;0;0
/consulta_especial_resultados;20230808;1;1;0;13;0;0
/consulta_especial_sequencia;20230804;1;1;0;26;0;0
/consulta_especial_sequencia;20230806;1;1;0;836;0;0
/consulta_especial_sequencia;20230808;1;1;0;32;0;0
/consulta_especial_sequencia;20230809;1;1;0;90;0;0
/consulta_especial_sequencia;20230815;1;1;0;16;0;0
/consulta_especial_sequencia;20230820;1;1;0;49;0;0
/consulta_especial_tecadv;20230806;1;1;0;5;0;0
/consulta_especial_tecadv;20230811;1;1;0;1;0;0
/consulta_especial_tecadv;20230813;1;1;0;2;0;0
/consulta_especial_tecadv;20230814;1;1;0;14;0;0
/consulta_especial_tecadv;20230820;1;1;0;13;0;0
/consulta_especial_tecnico;20230802;1;1;0;9;0;0
/consulta_especial_tecnico;20230808;1;1;0;34;0;0
/consulta_estadio/102451000;20230805;1;1;0;19;0;0
/consulta_estadio/102451000;20230806;1;1;0;15;0;0
/consulta_estadio/102451000;20230809;1;1;0;12;0;0
/consulta_estadio/102451000;20230819;1;1;0;1;0;0
/consulta_estadio/102452000;20230808;1;1;0;8;0;0
/consulta_estadio/102452000;20230810;1;1;0;12;0;0
/consulta_estadio/102452000;20230815;1;1;0;10;0;0
/consulta_estadio/102999000;20230805;1;1;0;20;0;0
/consulta_estadio/102999000;20230807;1;1;0;3;0;0
/consulta_estadio/102999000;20230811;1;1;0;8;0;0
/consulta_estadio/102999000;20230820;1;1;0;9;0;0
/consulta_fornecedor/400125000;20230808;1;1;0;2;0;0
/consulta_goleiro/270000100;20230812;1;1;0;4;0;0
/consulta_goleiro/270000102;20230812;1;1;0;5;0;0
/consulta_goleiro/270000103;20230812;1;1;0;8;0;0
/consulta_hattrick/750000000000;20230808;1;1;0;135;0;0
/consulta_hattrick/750000000000;20230815;1;1;0;25;0;0
/consulta_hattrick/750000000000;20230818;1;1;0;20;0;0
/consulta_horario/661192000;20230805;1;1;0;3;0;0
/consulta_importante/515000000;20230803;1;1;0;0;0;0
/consulta_importante/515000000;20230805;1;1;0;0;0;0
/consulta_importante/515000000;20230811;1;1;0;43;0;0
/consulta_importante/515000000;20230820;1;1;0;41;0;0
/consulta_jogador/104999000;20230803;1;1;0;10;0;0
/consulta_jogador/104999000;20230808;1;1;0;13;0;0
/consulta_jogador/104999000;20230809;1;1;0;27;0;0
/consulta_jogador/104999000;20230812;1;1;0;4;0;0
/consulta_jogador/104999000;20230814;1;1;0;16;0;0
/consulta_jogador/104999000;20230820;1;1;0;67;0;0
/consulta_jogador/268100000;20230803;1;1;0;7;0;0
/consulta_jogador/268100000;20230806;1;1;0;20;0;0
/consulta_jogador/268100000;20230808;1;1;0;27;0;0
/consulta_jogador/268100000;20230809;1;1;0;5;0;0
/consulta_jogador/268100000;20230813;1;1;0;7;0;0
/consulta_jogador/268100000;20230814;1;1;0;8;0;0
/consulta_jogador/268100000;20230819;1;1;0;10;0;0
/consulta_jogador/268103000;20230809;1;1;0;20;0;0
/consulta_jogador/268103000;20230813;1;1;0;10;0;0
/consulta_jogador/268103000;20230818;1;1;0;1;0;0
/consulta_jogador/268106000;20230802;1;1;0;5;0;0
/consulta_jogador/268106000;20230803;1;1;0;8;0;0
/consulta_jogador/268106000;20230810;1;1;0;8;0;0
/consulta_jogador/268106000;20230814;1;1;0;12;0;0
/consulta_jogador/268106000;20230816;1;1;0;6;0;0
/consulta_jogador/268106000;20230818;1;1;0;1;0;0
/consulta_jogador/570570000;20230816;1;1;0;1;0;0
/consulta_jogador/570570000;20230817;1;1;0;0;0;0
/consulta_jogador/571571000;20230814;1;1;0;0;0;0
/consulta_jogador/571571000;20230815;1;1;0;7;0;0
/consulta_jogo/654000000;20230804;1;1;0;3;0;0
/consulta_jogo/654000000;20230808;1;1;0;4;0;0
/consulta_jogo/654000000;20230812;1;1;0;7;0;0
/consulta_jogo/654000000;20230814;1;1;0;7;0;0
/consulta_jogo/654000000;20230818;1;1;0;25;0;0
/consulta_jogo/654000000;20230820;1;1;0;4;0;0
/consulta_jogo/654106000;20230812;1;1;0;8;0;0
/consulta_jogo/654106000;20230813;1;1;0;6;0;0
/consulta_jogo/654106000;20230818;1;1;0;3;0;0
/consulta_jogo/655000000;20230802;1;1;0;34;0;0
/consulta_jogo/655000000;20230808;1;1;0;6;0;0
/consulta_jogo/655000000;20230820;1;1;0;9;0;0
/consulta_jogo/656000000;20230803;1;1;0;1;0;0
/consulta_jogo/656000000;20230805;1;1;0;16;0;0
/consulta_jogo/656000000;20230809;1;1;0;49;0;0
/consulta_jogo/656000000;20230814;1;1;0;28;0;0
/consulta_jogo/658000000;20230804;1;1;0;8;0;0
/consulta_jogo/658000000;20230812;1;1;0;9;0;0
/consulta_jogo/658000000;20230819;1;1;0;29;0;0
/consulta_jogo/658700000;20230806;1;1;0;4;0;0
/consulta_jogo/658700000;20230807;1;1;0;4;0;0
/consulta_jogo/658700000;20230808;1;1;0;3;0;0
/consulta_jogo/658700000;20230810;1;1;0;6;0;0
/consulta_jogo/658700000;20230814;1;1;0;15;0;0
/consulta_jogo/658700000;20230820;1;1;0;6;0;0
/consulta_jogo/658701000;20230813;1;1;0;7;0;0
/consulta_jogo/660000000;20230805;1;1;0;3;0;0
/consulta_jogo/660103000;20230805;1;1;0;12;0;0
/consulta_jogo/660106000;20230814;1;1;0;4;0;0
/consulta_numeracao;20230809;1;1;0;7;0;0
/consulta_numeracao;20230813;1;1;0;7;0;0
/consulta_numeracao;20230814;1;1;0;7;0;0
/consulta_paiscamp;20230804;1;1;0;18;0;0
/consulta_paiscamp;20230807;1;1;0;20;0;0
/consulta_paiscamp;20230808;1;1;0;30;0;0
/consulta_paiscamp;20230811;1;1;0;11;0;0
/consulta_patrocinio/400130000;20230809;1;1;0;102;0;0
/consulta_placar/620103000;20230815;1;1;0;13;0;0
/consulta_placar/680103000;20230811;1;1;0;26;0;0
/consulta_placar/680103000;20230820;1;1;0;26;0;0
/consulta_placar/681102000;20230813;1;1;0;4;0;0
/consulta_placar/681102000;20230817;1;1;0;14;0;0
/consulta_placar/689100000;20230812;1;1;0;5;0;0
/consulta_placar/689100000;20230818;1;1;0;153;0;0
/consulta_placar/689102000;20230818;1;1;0;46;0;0
/consulta_placar/689103000;20230818;1;1;0;42;0;0
/consulta_presidente/130000000;20230820;1;1;0;36;0;0
/consulta_presidente/130100000;20230804;1;1;0;33;0;0
/consulta_presidente/130103000;20230820;1;1;0;49;0;0
/consulta_presidente/130104000;20230813;1;1;0;29;0;0
/consulta_presidente/130104000;20230814;1;1;0;4;0;0
/consulta_presidente/130106000;20230814;1;1;0;3;0;0
/consulta_presidente/130140000;20230807;1;1;0;74;0;0
/consulta_presidente/130140000;20230820;1;1;0;1;0;0
/consulta_prinadv/250102000;20230807;1;1;0;4;0;0
/consulta_prinadv/250103000;20230814;1;1;0;19;0;0
/consulta_prinadv/250103000;20230816;1;1;0;18;0;0
/consulta_ranking/290206000000;20230804;1;1;0;1;0;0
/consulta_ranking/290206000000;20230820;1;1;0;3;0;0
/consulta_ranking/293103000000;20230816;1;1;0;1;0;0
/consulta_ranking/296306000000;20230807;1;1;0;2;0;0
/consulta_ranking/296306000000;20230809;1;1;0;4;0;0
/consulta_ranking/296306000000;20230813;1;1;0;31;0;0
/consulta_ranking/296306000000;20230814;1;1;0;3;0;0
/consulta_ranking/298106000000;20230813;1;1;0;10;0;0
/consulta_ranking/800100000000;20230807;1;1;0;5;0;0
/consulta_ranking/800100000000;20230812;1;1;0;8;0;0
/consulta_ranking/800100000000;20230816;1;1;0;7;0;0
/consulta_ranking/800100103000;20230812;1;1;0;11;0;0
/consulta_ranking/800102000000;20230818;1;1;0;28;0;0
/consulta_ranking/800103000000;20230802;1;1;0;4;0;0
/consulta_ranking/800103000000;20230804;1;1;0;4;0;0
/consulta_ranking/800103000000;20230806;1;1;0;5;0;0
/consulta_ranking/800103000000;20230807;1;1;0;9;0;0
/consulta_ranking/800103000000;20230813;1;1;0;2;0;0
/consulta_ranking/800103000000;20230819;1;1;0;3;0;0
/consulta_ranking/801106000000;20230811;1;1;0;20;0;0
/consulta_ranking/801106000000;20230813;1;1;0;1;0;0
/consulta_ranking/801106000000;20230820;1;1;0;44;0;0
/consulta_ranking/805106000000;20230804;1;1;0;11;0;0
/consulta_ranking/805106000000;20230811;1;1;0;6;0;0
/consulta_ranking/805106000000;20230813;1;1;0;2;0;0
/consulta_ranking/900100000000;20230803;1;1;0;15;0;0
/consulta_ranking/900100000000;20230804;1;1;0;9;0;0
/consulta_ranking/900100000000;20230808;1;1;0;10;0;0
/consulta_ranking/900100000000;20230811;1;1;0;9;0;0
/consulta_ranking/900100000000;20230818;1;1;0;8;0;0
/consulta_ranking/900100000000;20230819;1;1;0;10;0;0
/consulta_ranking/900100000000;20230820;1;1;0;9;0;0
/consulta_ranking/900102000000;20230808;1;1;0;19;0;0
/consulta_ranking/900102000000;20230818;1;1;0;22;0;0
/consulta_ranking/900103000000;20230804;1;1;0;15;0;0
/consulta_ranking/900103000000;20230807;1;1;0;3;0;0
/consulta_ranking/900103000000;20230813;1;1;0;10;0;0
/consulta_ranking/900103000000;20230818;1;1;0;41;0;0
/consulta_ranking/900103000000;20230819;1;1;0;5;0;0
/consulta_ranking/900106000000;20230802;1;1;0;14;0;0
/consulta_ranking/900106000000;20230804;1;1;0;1;0;0
/consulta_ranking/900106000000;20230809;1;1;0;15;0;0
/consulta_ranking/900106000000;20230813;1;1;0;2;0;0
/consulta_ranking/900106000000;20230814;1;1;0;18;0;0
/consulta_ranking/900106000000;20230820;1;1;0;1;0;0
/consulta_ranking/900107000000;20230802;1;1;0;12;0;0
/consulta_ranking/900107000000;20230819;1;1;0;7;0;0
/consulta_ranking/900126000000;20230816;1;1;0;1;0;0
/consulta_rodada/616000000;20230814;1;1;0;9;0;0
/consulta_substituicao;20230807;1;1;0;3;0;0
