# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Caminho da página e classe da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
/campeonato;20230807;12;11;0;20.833333333333332;0;0
/campeonato;20230809;12;11;0;34.583333333333336;0;0
/consulta_especial_jogador;20230809;12;10;0;17.333333333333332;0;0
/especial;20230805;12;10;0;16.166666666666668;0;0
/especial;20230817;12;9;0;9.5;0;0
/especial;20230818;12;9;0;5.083333333333333;0;0
/geral;20230808;12;11;0;41;0;0
/jogo;20230810;12;12;3;47.333333333333336;0;0
/jogo;20230813;12;10;0;31.333333333333332;0;0
/jogo;20230816;12;9;0;48.5;0;0
/link_jogo/7137;20230808;12;12;10;43;0;0
/mostra_campeonato;20230807;12;10;0;52.166666666666664;0;0
/mostra_jogador;20230811;12;10;0;100.66666666666667;0;0
/mostra_jogo;20230807;12;9;0;95.75;0;0
/mostra_jogo;20230813;12;8;0;29.833333333333332;0;0
/mostra_jogo;20230815;12;6;0;42.916666666666664;0;0
/mostra_jogo;20230818;12;6;0;13;0;0
/adversario;20230803;11;9;0;96.27272727272727;0;0
/arbitro;20230803;11;10;2;17.363636363636363;0;0
/campeonato;20230814;11;6;1;37.09090909090909;0;0
/consulta_especial_jogador;20230813;11;9;0;24.363636363636363;0;0
/especial;20230816;11;9;0;18.09090909090909;0;0
/geral;20230813;11;9;0;23.09090909090909;0;0
/jogo;20230808;11;10;1;78.81818181818181;0;0
/jogo;20230819;11;10;0;18.272727272727273;0;0
/jogo;20230820;11;11;0;28.181818181818183;0;0
/link_adversario/656;20230809;11;10;9;39.54545454545455;0;0
/mostra_arbitro;20230803;11;9;0;29.818181818181817;0;0
/mostra_campeonato;20230809;11;10;0;122.63636363636364;0;0
/mostra_jogador;20230812;11;11;0;42.36363636363637;0;0
/mostra_jogo;20230820;11;8;0;10.545454545454545;0;0
/mostra_rkg/;20230820;11;10;0;53.63636363636363;0;0
/mostra_tecnico;20230815;11;8;0;31.545454545454547;0;0
/adversario;20230817;10;8;0;11.8;0;0
/adversario;20230820;10;10;0;16.8;0;0
/campeonato;20230803;10;10;1;21.8;0;0
/estadio;20230811;10;10;0;8;0;0
/geral;20230820;10;10;0;33.7;0;0
/jogador;20230816;10;9;0;25;0;0
/jogo;20230817;10;7;0;46.1;0;0
/link_jogo/8488;20230811;10;9;0;6.8;0;0
/link_jogo/8725;20230806;10;8;0;8.4;0;0
/link_jogo/8728;20230820;10;7;0;31.5;0;0
/mostra_adversario;20230803;10;9;0;185.2;0;0
/mostra_estadio;20230811;10;8;0;38.3;0;0
/mostra_jogador;20230802;10;8;1;12.1;0;0
/mostra_jogo;20230804;10;9;0;125.1;0;0
/mostra_jogo;20230806;10;7;0;169.3;0;0
/mostra_jogo;20230817;10;6;0;35.5;0;0
/mostra_rkg/;20230819;10;9;0;43.8;0;0
/campeonato;20230820;9;9;0;9.444444444444445;0;0
/consulta_especial_jogador;20230807;9;9;0;23.666666666666668;0;0
/geral;20230806;9;8;0;18;0;0
/jogo;20230805;9;8;1;82.55555555555556;0;0
/link_arbitro/317;20230804;9;3;3;8.11111111111111;0;0
/link_jogo/7811;20230811;9;8;0;10.444444444444445;0;0
/mostra_adversario;20230817;9;7;0;31;0;0
/mostra_adversario;20230820;9;9;0;42.55555555555556;0;0
/mostra_campeonato;20230814;9;5;0;67.55555555555556;0;0
/mostra_jogador;20230816;9;9;1;73.66666666666667;0;0
/mostra_jogo;20230810;9;9;0;103.88888888888889;0;0
/mostra_jogo;20230814;9;5;0;20.77777777777778;0;0
/mostra_rkg/;20230808;9;7;0;58.55555555555556;0;0
/tecnico;20230815;9;8;0;30.88888888888889;0;0
/adversario;20230815;8;7;0;26;0;0
/arbitro;20230818;8;8;0;26.625;0;0
/campeonato;20230806;8;7;0;76.125;0;0
/campeonato;20230808;8;8;0;12.375;0;0
/consulta_especial_adversario;20230810;8;8;0;9.375;0;0
/consulta_especial_adversario;20230814;8;7;0;8.75;0;0
/consulta_especial_jogos;20230811;8;5;0;8.875;0;0
/estadio_todos;20230807;8;5;0;35;0;0
/geral;20230819;8;8;0;10.875;0;0
/link_adversario/125;20230808;8;7;7;21.75;0;0
/link_jogo/8490;20230811;8;7;0;28.625;0;0
/mostra_jogo;20230803;8;6;0;324.625;0;0
/mostra_jogo;20230809;8;6;0;28;0;0
/mostra_jogo;20230811;8;8;0;382.625;0;0
/mostra_ranking/900000000000;20230820;8;8;2;81.25;0;0
/mostra_tecnico;20230803;8;7;0;19.375;0;0
/tecnico;20230814;8;7;0;5.25;0;0
/adversario;20230816;7;7;0;10.714285714285714;0;0
/arbitro;20230813;7;7;1;18.142857142857142;0;0
/campeonato;20230810;7;7;1;28;0;0
/campeonato;20230812;7;4;0;23;0;0
/consulta_especial_adversario;20230803;7;4;0;3.4285714285714284;0;0
/consulta_especial_adversario;20230806;7;5;0;7;0;0
/consulta_especial_adversario;20230809;7;7;0;11.142857142857142;0;0
/consulta_especial_brasileiro;20230814;7;4;0;15.857142857142858;0;0
/consulta_especial_estadio;20230807;7;5;0;19;0;0
/consulta_especial_jogador;20230805;7;7;0;18.142857142857142;0;0
/consulta_especial_jogador;20230811;7;7;0;26.571428571428573;0;0
/consulta_especial_jogador;20230812;7;5;0;48.57142857142857;0;0
/consulta_especial_jogador;20230815;7;6;0;23.714285714285715;0;0
/consulta_especial_jogador;20230818;7;6;0;48.714285714285715;0;0
/consulta_especial_sequencia;20230810;7;3;0;40.285714285714285;0;0
/estadio;20230809;7;5;0;8.285714285714286;0;0
/geral;20230810;7;7;0;38;0;0
/jogador;20230802;7;7;1;10;0;0
/jogo;20230812;7;6;0;61.57142857142857;0;0
/link_jogador/2421;20230819;7;6;0;14.714285714285714;0;0
/link_jogo/2934;20230815;7;6;5;11.857142857142858;0;0
/link_jogo/4990;20230820;7;7;6;16.428571428571427;0;0
/link_jogo/7137;20230809;7;7;7;58.714285714285715;0;0
/link_jogo/8726;20230809;7;7;0;9;0;0
/mostra_adversario;20230815;7;6;0;66.71428571428571;0;0
/mostra_arbitro;20230813;7;6;0;12.714285714285714;0;0
/mostra_campeonato;20230803;7;7;0;53;0;0
/mostra_campeonato;20230811;7;6;0;28.571428571428573;0;0
/mostra_campeonato;20230812;7;4;0;41.142857142857146;0;0
/mostra_campeonato;20230820;7;7;0;48.285714285714285;0;0
/mostra_especial_jogo;20230811;7;4;0;27;0;0
/mostra_jogo;20230808;7;6;0;78.57142857142857;0;0
/mostra_ranking/900000000000;20230819;7;6;0;44.42857142857143;0;0
/mostra_tecnico;20230819;7;4;0;12.285714285714286;0;0
/tecnico;20230803;7;7;1;12.857142857142858;0;0
/tecnico;20230813;7;6;0;16.285714285714285;0;0
/arbitro;20230810;6;6;0;15.5;0;0
/camisa;20230813;6;5;0;4.833333333333333;0;0
/camisa;20230814;6;5;0;16;0;0
/campeonato;20230811;6;6;0;14.166666666666666;0;0
/campeonato;20230815;6;5;0;13;0;0
/campeonato;20230817;6;4;0;11.666666666666666;0;0
/consulta_especial/100999000;20230806;6;4;0;48.666666666666664;0;0
/consulta_especial_gerais;20230803;6;4;2;20.166666666666668;0;0
/consulta_especial_jogos;20230805;6;5;0;12.166666666666666;0;0
/consulta_especial_tecnico;20230819;6;6;0;7.833333333333333;0;0
/curiosidade;20230804;6;6;0;31;0;0
/curiosidade;20230807;6;6;0;17.333333333333332;0;0
/curiosidade;20230809;6;6;0;20;0;0
/especial;20230802;6;6;0;6.166666666666667;0;0
/link_adversario/741;20230811;6;6;0;26.166666666666668;0;0
/link_jogo/3574;20230804;6;4;4;30.166666666666668;0;0
/link_jogo/8726;20230808;6;5;0;27;0;0
/link_todos/109/100;20230819;6;4;0;32.166666666666664;0;0
/mostra_campeonato;20230806;6;5;0;85.16666666666667;0;0
/mostra_campeonato;20230808;6;6;0;40.5;0;0
/mostra_campeonato;20230810;6;6;0;70;0;0
/mostra_especial/;20230803;6;2;0;27.666666666666668;0;0
/mostra_especial/;20230806;6;2;0;95.83333333333333;0;0
/mostra_especial/;20230809;6;5;0;28;0;0
/mostra_estadio;20230809;6;5;0;18.833333333333332;0;0
/mostra_jogo;20230819;6;6;0;13.833333333333334;0;0
/mostra_rkg/;20230809;6;4;0;28.166666666666668;0;0
/mostra_rkg/;20230810;6;6;0;32;0;0
/mostra_tecnico;20230813;6;5;0;38.333333333333336;0;0
/tecnico;20230819;6;6;0;6.666666666666667;0;0
/campeonato;20230804;5;5;0;45.6;0;0
/campeonato;20230813;5;4;0;17.4;0;0
/consulta_especial/104103000;20230810;5;4;0;16.6;0;0
/consulta_especial_adversario;20230807;5;5;0;30.8;0;0
/consulta_especial_adversario;20230813;5;3;0;26.4;0;0
/consulta_especial_adversario;20230815;5;4;0;22.8;0;0
/consulta_especial_campeonato;20230807;5;5;0;10.6;0;0
/consulta_especial_campeonato;20230808;5;5;0;12.8;0;0
/consulta_especial_campeonato;20230809;5;4;0;3;0;0
/consulta_especial_campeonato;20230814;5;4;0;12;0;0
/consulta_especial_estadio;20230806;5;5;0;4.6;0;0
/consulta_especial_estadio;20230809;5;5;0;11.6;0;0
/consulta_especial_gerais;20230809;5;5;0;35.2;0;0
/consulta_especial_gerais;20230813;5;3;0;15.2;0;0
